CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
025072158,AVLC,AMERICAN CENTY ETF TR,207241,41359,13.01M,2.6M,+24.9%,6.2%
922908769,VTI,VANGUARD INDEX FDS,31649,7329,8.47M,1.96M,+30.1%,4%
25434V401,DFUS,DIMENSIONAL ETF TRUST,58490,30590,3.44M,1.8M,+109.6%,1.6%
25434V708,DFAC,DIMENSIONAL ETF TRUST,991735,29592,31.97M,954.05K,+3.1%,15.1%
25434V625,DCOR,DIMENSIONAL ETF TRUST,38881,15193,2.31M,904.3K,+64.1%,1.1%
25434V799,DFIC,DIMENSIONAL ETF TRUST,324600,26984,8.53M,709.41K,+9.1%,4%
67066G104,NVDA,NVIDIA CORPORATION,5979,5294,738.65K,654.02K,+772.8%,0.35%
922908363,VOO,VANGUARD INDEX FDS,15634,1284,7.82M,642.17K,+8.9%,3.7%
45409F827,MMIT,INDEXIQ ACTIVE ETF TR,121361,14431,2.93M,348.94K,+13.5%,1.4%
025072885,AVUS,AMERICAN CENTY ETF TR,46767,3858,4.22M,347.96K,+9%,2%
25434V203,DFAI,DIMENSIONAL ETF TRUST,35033,10780,1.04M,319.85K,+44.4%,0.49%
25459W862,SPXL,DIREXION SHS ETF TR,2179,2179,318.29K,318.29K,NEW,0.15%
11135F101,AVGO,BROADCOM INC,161,161,258.49K,258.49K,NEW,0.12%
025072356,AVRE,AMERICAN CENTY ETF TR,5127,5127,211.35K,211.35K,NEW,0.1%
025072802,AVDV,AMERICAN CENTY ETF TR,54680,2321,3.55M,150.75K,+4.4%,1.7%
25434V880,DFAX,DIMENSIONAL ETF TRUST,56222,5152,1.43M,130.96K,+10.1%,0.68%
025072141,AVEE,AMERICAN CENTY ETF TR,6354,1348,352.2K,74.72K,+26.9%,0.17%
30231G102,XOM,EXXON MOBIL CORP,58957,516,6.79M,59.4K,+0.9%,3.2%
25434V815,DFSV,DIMENSIONAL ETF TRUST,17053,1900,490.79K,54.68K,+12.5%,0.23%
25434V658,DFGR,DIMENSIONAL ETF TRUST,52070,2187,1.3M,54.65K,+4.4%,0.62%
025072604,AVEM,AMERICAN CENTY ETF TR,65986,887,4.03M,54.19K,+1.4%,1.9%
025072323,AVSC,AMERICAN CENTY ETF TR,39252,938,1.96M,46.82K,+2.4%,0.93%
808524847,SCHH,SCHWAB STRATEGIC TR,130628,2192,2.61M,43.77K,+1.7%,1.2%
