CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
25470MAF6,DISHB,DISH NETWORK CORPORATION,75425000,75425000,55.44M,55.44M,NEW,15.1%
25470MAB5,,DISH NETWORK CORPORATION,35623000,35623000,22.09M,22.09M,NEW,6%
848577AB8,,SPIRIT AIRLS INC,111462000,9925000,54.73M,4.87M,+9.8%,14.9%
74347G416,SDS,PROSHARES TR,0,-10000,0,-248.6K,CLOSE,0%
34984V209,FET,FORUM ENERGY TECHNOLOGIES IN,0,-19433,0,-388.27K,CLOSE,0%
Y41053102,INSW,INTERNATIONAL SEAWAYS INC,0,-30638,0,-1.63M,CLOSE,0%
46090R104,ICMB,INVESTCORP CR MGMT BDC INC,0,-670270,0,-2.08M,CLOSE,0%
366505105,GTX,GARRETT MOTION INC,27341177,-493222,234.86M,-4.24M,-1.8%,64%
419879101,,HAWAIIAN HOLDINGS INC,0,-1163357,0,-15.51M,CLOSE,0%
69036R863,SFGRX,OVERSEAS SHIPHOLDING GROUP I,0,-4264087,0,-27.29M,CLOSE,0%
Total,,,,,367.13M,31.02M,+8.4%,100%
