CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
722304102,PDD,PDD HOLDINGS INC,2784180,957984,370.16M,127.36M,+52.5%,40%
81141R100,SE,SEA LTD,4821080,1560124,344.32M,111.42M,+47.8%,37.3%
04965M106,ATAT,ATOUR LIFESTYLE HOLDINGS LTD,2051093,2025093,37.64M,37.16M,+7788.8%,4.1%
50202M102,LI,LI AUTO INC,1648062,1648062,29.47M,29.47M,NEW,3.2%
74969N103,RLX,RLX TECHNOLOGY INC,21281184,7306782,39.16M,13.44M,+52.3%,4.2%
98923K103,ZK,ZEEKR INTELLIGENT TECHNOLOGY,12982,12982,244.58K,244.58K,NEW,0.03%
25809K105,DASH,DOORDASH INC,178869,0,19.46M,0,NO CHANGE,2.1%
090040106,BILI,BILIBILI INC,1933086,-189476,29.85M,-2.93M,-8.9%,3.2%
88557W101,QFIN,QIFU TECHNOLOGY INC,2736280,-321210,53.99M,-6.34M,-10.5%,5.8%
Total,,,,,924.28M,309.84M,+59.6%,100%
