CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
984245100,YPF,YPF SOCIEDAD ANONIMA,2568400,2568400,51.68M,51.68M,NEW,32.4%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,772600,772600,23.61M,23.61M,NEW,14.8%
05961W105,BMA,BANCO MACRO SA,215004,215004,12.33M,12.33M,NEW,7.7%
058934100,BBAR,BANCO BBVA ARGENTINA S A,1220900,1220900,11.29M,11.29M,NEW,7.1%
037833100,AAPL,APPLE INC,44400,44400,9.35M,9.35M,NEW,5.9%
46090E103,QQQ,INVESCO QQQ TR,17700,17700,8.48M,8.48M,NEW,5.3%
500767306,KWEB,KRANESHARES TRUST,231000,231000,6.24M,6.24M,NEW,3.9%
023135106,AMZN,AMAZON COM INC,22100,22100,4.27M,4.27M,NEW,2.7%
594918104,MSFT,MICROSOFT CORP,6300,6300,2.82M,2.82M,NEW,1.8%
697660207,PAM,PAMPA ENERGIA S A,55800,55800,2.47M,2.47M,NEW,1.5%
40054A108,SUPV,GRUPO SUPERVIELLE S.A.,321200,321200,2.18M,2.18M,NEW,1.4%
464287655,IWM,ISHARES TR,10600,10600,2.15M,2.15M,NEW,1.3%
464287184,FXI,ISHARES TR,81000,81000,2.11M,2.11M,NEW,1.3%
464286400,EWZ,ISHARES INC,75700,75700,2.07M,2.07M,NEW,1.3%
46434G822,EWJ,ISHARES INC,20000,20000,1.36M,1.36M,NEW,0.86%
L00849106,AGRO,ADECOAGRO S A,113000,113000,1.1M,1.1M,NEW,0.69%
29244A102,EDN,EMPRESA DIST Y COMERCIAL NOR,57400,57400,940.79K,940.79K,NEW,0.59%
78468R556,XOP,SPDR SER TR,6000,6000,872.82K,872.82K,NEW,0.55%
88160R101,TSLA,TESLA INC,4200,4200,831.1K,831.1K,NEW,0.52%
097023105,BA,BOEING CO,4300,4300,782.64K,782.64K,NEW,0.49%
226406106,CRESY,CRESUD S A C I F Y A,94000,94000,772.68K,772.68K,NEW,0.48%
893870204,TGS,TRANSPORTADORA DE GAS SUR,40000,40000,759.2K,759.2K,NEW,0.48%
71654V408,PBR,PETROLEO BRASILEIRO SA PETRO,50100,50100,725.95K,725.95K,NEW,0.45%
54150E104,LOMA,LOMA NEGRA C I A S A MTN 14,104000,104000,703.04K,703.04K,NEW,0.44%
172967424,C,CITIGROUP INC,11000,11000,698.06K,698.06K,NEW,0.44%
464287556,IBB,ISHARES TR,4500,4500,617.67K,617.67K,NEW,0.39%
580135101,MCD,MCDONALDS CORP,2200,2200,560.65K,560.65K,NEW,0.35%
D18190898,DB,DEUTSCHE BANK A G,30000,30000,478.2K,478.2K,NEW,0.3%
055622104,BP,BP PLC,13000,13000,469.3K,469.3K,NEW,0.29%
G1117K114,BIOX,BIOCERES CROP SOLUTIONS CORP,40000,40000,448.4K,448.4K,NEW,0.28%
91912E105,VALE,VALE S A,40000,40000,446.8K,446.8K,NEW,0.28%
674599105,OXY,OCCIDENTAL PETE CORP,7000,7000,441.21K,441.21K,NEW,0.28%
01609W102,BABA,ALIBABA GROUP HLDG LTD,6000,6000,432K,432K,NEW,0.27%
279158109,EC,ECOPETROL S A,38000,38000,425.22K,425.22K,NEW,0.27%
30303M102,META,META PLATFORMS INC,800,800,403.38K,403.38K,NEW,0.25%
155038201,CEPU,CENTRAL PUERTO S A,43000,43000,390.01K,390.01K,NEW,0.24%
L1995B107,CAAP,CORPORACION AMER ARPTS S A,23000,23000,382.72K,382.72K,NEW,0.24%
47215P106,JD,JD.COM INC,13000,13000,335.92K,335.92K,NEW,0.21%
007903107,AMD,ADVANCED MICRO DEVICES INC,2000,2000,324.42K,324.42K,NEW,0.2%
717081103,PFE,PFIZER INC,11000,11000,307.78K,307.78K,NEW,0.19%
450047303,IRS,IRSA INVERSIONES Y REP S A,32300,32300,289.41K,289.41K,NEW,0.18%
78464A870,XBI,SPDR SER TR,3000,3000,278.13K,278.13K,NEW,0.17%
254687106,DIS,DISNEY WALT CO,2500,2500,248.22K,248.23K,NEW,0.16%
00214Q302,ARKG,ARK ETF TR,10100,10100,237.15K,237.15K,NEW,0.15%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,3000,3000,233.76K,233.76K,NEW,0.15%
464288513,HYG,ISHARES TR,3000,3000,231.42K,231.42K,NEW,0.15%
02376R102,AAL,AMERICAN AIRLS GROUP INC,20000,20000,226.6K,226.6K,NEW,0.14%
244199105,DE,DEERE & CO,600,600,224.18K,224.18K,NEW,0.14%
056752108,BIDU,BAIDU INC,2500,2500,216.2K,216.2K,NEW,0.14%
N97284108,NBIS,YANDEX N V,10000,10000,189.4K,189.4K,NEW,0.12%
345370860,F,FORD MTR CO DEL,10000,10000,125.4K,125.4K,NEW,0.08%
53681K100,,LITHIUM AMERICAS ARGENTINA C,11000,11000,35.2K,35.2K,NEW,0.02%
Total,,,,,159.59M,159.59M,+100%,100%
