CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
651639106,NEM,Newmont Mining Corp,164558,71841,6.89M,3.01M,+77.5%,21%
023135106,AMZN,Amazon.com Inc.,40047,7638,7.74M,1.48M,+23.6%,23.6%
067901108,B,Barrick Gold Corp,311325,62850,5.18M,1.05M,+25.3%,15.8%
654106103,NKE,NIKE Inc,12213,12213,920.49K,920.49K,NEW,2.8%
349942102,FSM,Fortuna Silver Mines Inc,74600,74600,364.79K,364.79K,NEW,1.1%
N53745100,LYB,Lyondellbasell Industries NV,150,50,14.35K,4.78K,+50%,0.04%
697900108,PAAS,Pan American Silver Corp,158825,0,3.16M,0,NO CHANGE,9.6%
011532108,AGI,Alamos Gold Inc-Class A,38500,0,602.65K,0,NO CHANGE,1.8%
82835P103,SVM,Silvercorp Metals Inc,56300,0,188.08K,0,NO CHANGE,0.57%
32076V103,AG,First Majestic Silver Corp,22900,0,135.57K,0,NO CHANGE,0.41%
784730103,SSRM,Ssr Mining Inc,22400,0,101.02K,0,NO CHANGE,0.31%
49456B101,KMI,KINDER MORGAN INC,820,0,16.29K,0,NO CHANGE,0.05%
91913Y100,VLO,VALERO ENERGY CORP,100,0,15.68K,0,NO CHANGE,0.05%
277432100,EMN,Eastman Chemical Co.,130,0,12.74K,0,NO CHANGE,0.04%
726503105,PAA,"Plains All American Pipeline, L.p.",660,0,11.79K,0,NO CHANGE,0.04%
907818108,UNP,Union Pacific Corporation,50,0,11.31K,0,NO CHANGE,0.03%
718546104,PSX,Phillips 66,80,0,11.29K,0,NO CHANGE,0.03%
231021106,CMI,Cummins INC,40,0,11.08K,0,NO CHANGE,0.03%
293792107,EPD,Enterprise Products Partners,380,0,11.01K,0,NO CHANGE,0.03%
16411R208,LNG,"Cheniere Energy, Inc.",60,0,10.49K,0,NO CHANGE,0.03%
125269100,CF,CF Industries Holdings INC,130,0,9.64K,0,NO CHANGE,0.03%
447011107,HUN,Huntsman Corp.,390,0,8.88K,0,NO CHANGE,0.03%
56585A102,MPC,Marathon Petroleum Corporation,100,-20,17.35K,-3.47K,-16.7%,0.05%
682680103,OKE,Oneok Inc.,110,-110,8.97K,-8.97K,-50%,0.03%
969457100,WMB,Williams COS INC,250,-260,10.62K,-11.05K,-51%,0.03%
343412102,FLR,Fluor Corp,0,-270,0,-11.42K,CLOSE,0%
G0378L100,AU,Anglogold Ashanti,25000,-3900,631.44K,-98.51K,-13.5%,1.9%
152006102,CGAU,Centerra Gold Inc,42900,-15800,287.88K,-106.03K,-26.9%,0.88%
780287108,RGLD,Royal Gold Inc,2260,-1100,282.86K,-137.68K,-32.7%,0.86%
11777Q209,BTG,B2Gold Corp,112500,-56000,301.16K,-149.91K,-33.2%,0.92%
422704106,HL,Hecla Mining Co,82300,-31000,399.15K,-150.35K,-27.4%,1.2%
26152H301,DRD,Drdgold Ltd - Sponsored ADR,32000,-20000,275.52K,-172.2K,-38.5%,0.84%
38059T106,GFI,Gold Fields Ltd.,43200,-12000,643.68K,-178.8K,-21.7%,2%
29446Y502,EQX,Equinox Gold Corp,59300,-35000,308.84K,-182.28K,-37.1%,0.94%
284902509,EGO,Eldorado Gold Corp,33900,-17100,501.38K,-252.91K,-33.5%,1.5%
008474108,AEM,Agnico Eagle Mines Ltd,12696,-4000,828.64K,-261.07K,-24%,2.5%
349915108,,Fortuna Silver Mines Inc,0,-95900,0,-357.71K,CLOSE,0%
962879102,WPM,Wheaton Precious Metals Corp,19700,-7500,1.03M,-392.41K,-27.6%,3.1%
496902404,KGC,Kinross Gold Corp,81600,-54000,677.94K,-448.63K,-39.8%,2.1%
413216300,HMY,Harmony Gold Mng - Spon ADR,65700,-55000,602.47K,-504.35K,-45.6%,1.8%
351858105,FNV,Franco - Nevada Corp,4550,-5600,538.32K,-662.54K,-55.2%,1.6%
Total,,,,,32.77M,2.73M,+9.9%,100%
