CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,442855,442855,85.58M,85.58M,NEW,8.3%
037833100,AAPL,APPLE INC,380103,380103,80.06M,80.06M,NEW,7.8%
67066G104,NVDA,NVIDIA CORPORATION,620544,504649,76.66M,62.34M,+435.4%,7.5%
040413106,,ARISTA NETWORKS INC,116400,106400,40.8M,37.29M,+1064%,4%
02079K107,GOOG,ALPHABET INC,188900,188900,34.65M,34.65M,NEW,3.4%
36828A101,GEV,GE VERNOVA INC,179700,179700,30.82M,30.82M,NEW,3%
595112103,MU,MICRON TECHNOLOGY INC,664942,224743,87.46M,29.56M,+51.1%,8.5%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,1730772,304712,134.53M,23.69M,+21.4%,13.1%
747525103,QCOM,QUALCOMM INC,89700,89700,17.87M,17.87M,NEW,1.7%
03831W108,APP,APPLOVIN CORP,149400,149400,12.43M,12.43M,NEW,1.2%
30303M102,META,META PLATFORMS INC,82682,19237,41.69M,9.7M,+30.3%,4.1%
65339F101,NEE,NEXTERA ENERGY INC,25000,25000,1.77M,1.77M,NEW,0.17%
74347X831,TQQQ,PROSHARES TR,20000,20000,1.48M,1.48M,NEW,0.14%
92189F676,SMH,VANECK ETF TRUST,5000,5000,1.3M,1.3M,NEW,0.13%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,113000,113000,908.52K,908.52K,NEW,0.09%
G29183103,ETN,EATON CORP PLC,132460,1260,41.53M,395.07K,+1%,4%
81141RAG5,SE,SEA LTD,9258000,0,8.07M,0,NO CHANGE,0.79%
090040AF3,BILI,BILIBILI INC,1246000,0,1.22M,0,NO CHANGE,0.12%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,-20000,0,-460.2K,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-20000,0,-534K,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,-8000,0,-912.88K,CLOSE,0%
G0260P102,AS,AMER SPORTS INC,612242,-80800,7.7M,-1.02M,-11.7%,0.75%
66981J102,MNSO,MINISO GROUP HLDG LTD,0,-56000,0,-1.15M,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-20000,0,-1.39M,CLOSE,0%
21037T109,CEG,CONSTELLATION ENERGY CORP,0,-10000,0,-1.85M,CLOSE,0%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,1263700,-140000,17.75M,-1.97M,-10%,1.7%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-35000,0,-2.53M,CLOSE,0%
38747R827,NVDL,GRANITESHARES ETF TR,0,-100000,0,-4.15M,CLOSE,0%
89677Q107,TCOM,TRIP COM GROUP LTD,0,-152148,0,-6.68M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,933702,-77524,124.14M,-10.31M,-7.7%,12.1%
874080104,TAL,TAL EDUCATION GROUP,2151755,-1068768,22.96M,-11.4M,-33.2%,2.2%
25459W458,SOXL,DIREXION SHS ETF TR,0,-305978,0,-14.24M,CLOSE,0%
032095101,APH,AMPHENOL CORP NEW,0,-127500,0,-14.71M,CLOSE,0%
64110W102,NTES,NETEASE INC,299822,-181047,28.66M,-17.3M,-37.6%,2.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,592077,-130685,102.91M,-22.71M,-18.1%,10%
26142V105,DKNG,DRAFTKINGS INC NEW,20000,-617999,763.4K,-23.59M,-96.9%,0.07%
92537N108,VRT,VERTIV HOLDINGS CO,0,-499627,0,-40.8M,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,0,-43911,0,-42.61M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-317658,0,-51.33M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,51700,-155528,23.11M,-69.51M,-75.1%,2.3%
Total,,,,,1.03B,88.67M,+8.9%,100%
