CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,2970421,2970421,541.06M,541.06M,NEW,7.7%
67066G104,NVDA,NVIDIA CORPORATION,4874091,4052155,602.15M,500.6M,+493%,8.5%
15101Q207,CLS,CELESTICA INC,7492081,7492081,429.52M,429.52M,NEW,6.1%
11135F101,AVGO,BROADCOM INC,159746,159746,256.48M,256.48M,NEW,3.6%
22266T109,CPNG,COUPANG INC,8546286,8546286,179.04M,179.04M,NEW,2.5%
72352L106,PINS,PINTEREST INC,3443489,3443489,151.75M,151.75M,NEW,2.2%
747525103,QCOM,QUALCOMM INC,673920,673920,134.23M,134.23M,NEW,1.9%
037833100,AAPL,APPLE INC,548698,548698,115.57M,115.57M,NEW,1.6%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,5128753,5128753,108.58M,108.58M,NEW,1.5%
M98068105,WIX,WIX COM LTD,524955,524955,83.5M,83.5M,NEW,1.2%
609839105,MPWR,MONOLITHIC PWR SYS INC,98110,98110,80.62M,80.62M,NEW,1.1%
83304A106,SNAP,SNAP INC,2727074,2727074,45.3M,45.3M,NEW,0.64%
19247G107,COHR,COHERENT CORP,2511183,469809,181.96M,34.04M,+23%,2.6%
03831W108,APP,APPLOVIN CORP,3210352,391378,267.17M,32.57M,+13.9%,3.8%
336433107,FSLR,FIRST SOLAR INC,143045,143045,32.25M,32.25M,NEW,0.46%
26603R106,DUOL,DUOLINGO INC,1420637,145448,296.44M,30.35M,+11.4%,4.2%
093712107,BE,BLOOM ENERGY CORP,2448364,2448364,29.97M,29.97M,NEW,0.42%
226718104,CRTO,CRITEO S A,763357,763357,28.79M,28.79M,NEW,0.41%
87305R109,TTMI,TTM TECHNOLOGIES INC,1168300,1168300,22.7M,22.7M,NEW,0.32%
888787108,TOST,TOAST INC,7863109,675675,202.63M,17.41M,+9.4%,2.9%
G3323L100,FN,FABRINET,680083,59204,166.48M,14.49M,+9.5%,2.4%
58733R102,MELI,MERCADOLIBRE INC,88333,7454,145.17M,12.25M,+9.2%,2.1%
679295105,OKTA,OKTA INC,2401573,125830,224.81M,11.78M,+5.5%,3.2%
60937P106,MDB,MONGODB INC,102308,46823,25.57M,11.7M,+84.4%,0.36%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,235664,-754,40.96M,-131.05K,-0.3%,0.58%
49845K101,KVYO,KLAVIYO INC,507881,-71232,12.64M,-1.77M,-12.3%,0.18%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,206899,-6398,63.67M,-1.97M,-3%,0.9%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,446037,-13791,121.96M,-3.77M,-3%,1.7%
722304102,PDD,PDD HOLDINGS INC,1204694,-33890,160.16M,-4.51M,-2.7%,2.3%
G6683N103,NU,NU HLDGS LTD,24445252,-559575,315.1M,-7.21M,-2.2%,4.5%
M7S64H106,MNDY,MONDAY COM LTD,389414,-41951,93.76M,-10.1M,-9.7%,1.3%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,0,-1333957,0,-18.49M,CLOSE,0%
26142V105,DKNG,DRAFTKINGS INC NEW,5182487,-996349,197.82M,-38.03M,-16.1%,2.8%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,941231,-329639,129.79M,-45.45M,-25.9%,1.8%
98138H101,WDAY,WORKDAY INC,0,-230974,0,-63M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,1088568,-178270,486.54M,-79.68M,-14.1%,6.9%
595112103,MU,MICRON TECHNOLOGY INC,447555,-610937,58.87M,-80.36M,-57.7%,0.83%
697435105,PANW,PALO ALTO NETWORKS INC,0,-319888,0,-90.89M,CLOSE,0%
443573100,HUBS,HUBSPOT INC,181328,-174942,106.95M,-103.18M,-49.1%,1.5%
N14506104,ESTC,ELASTIC N V,189552,-957672,21.59M,-109.09M,-83.5%,0.31%
418100103,HCP,HASHICORP INC,0,-4565728,0,-123.05M,CLOSE,0%
466313103,JBL,JABIL INC,0,-967518,0,-129.6M,CLOSE,0%
30212P303,EXPE,EXPEDIA GROUP INC,0,-1194326,0,-164.52M,CLOSE,0%
15101Q108,CTW.SG,CELESTICA INC,0,-3774912,0,-169.64M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-2561493,0,-181.56M,CLOSE,0%
30303M102,META,META PLATFORMS INC,838702,-450462,422.89M,-227.13M,-34.9%,6%
023135106,AMZN,AMAZON COM INC,2434332,-1204228,470.43M,-232.72M,-33.1%,6.7%
79466L302,CRM,SALESFORCE INC,0,-950736,0,-286.34M,CLOSE,0%
Total,,,,,7.05B,732.38M,+10.9%,100%
