CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
889478103,TOL,TOLL BROTHERS INC,103000,103000,15.91M,15.91M,NEW,6.7%
703343103,PATK,PATRICK INDS INC,104000,104000,14.81M,14.81M,NEW,6.3%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,1100000,1100000,14.04M,14.04M,NEW,5.9%
387328107,GVA,GRANITE CONSTR INC,151000,151000,11.97M,11.97M,NEW,5.1%
415864107,NVRI,ENVIRI CORP,1000000,1000000,10.34M,10.34M,NEW,4.4%
442487401,HOV,HOVNANIAN ENTERPRISES INC,81000,33000,16.55M,6.74M,+68.8%,7%
29415C101,EOSE,EOS ENERGY ENTERPRISES INC,1640000,1640000,4.87M,4.87M,NEW,2.1%
343412102,FLR,FLUOR CORP NEW,455000,90000,21.71M,4.29M,+24.7%,9.2%
87266J104,TPICQ,TPI COMPOSITES INC,1658000,208000,7.54M,946.4K,+14.3%,3.2%
901109108,TPC,TUTOR PERINI CORP,560000,29000,15.21M,787.64K,+5.5%,6.4%
502160104,LXU,LSB INDS INC,361000,61000,2.9M,490.44K,+20.3%,1.2%
57638P104,MBC,MASTERBRAND INC,1005000,20000,18.63M,370.8K,+2%,7.9%
483007704,KALU,KAISER ALUMINUM CORP,100000,1000,7.25M,72.52K,+1%,3.1%
095306106,BLBD,BLUE BIRD CORP,151000,1000,7.24M,47.96K,+0.7%,3.1%
11040G103,VTOL,BRISTOW GROUP INC,411000,1000,14.26M,34.69K,+0.2%,6%
12738K109,CDLR,CADELER A S,651000,1000,18.35M,28.18K,+0.2%,7.7%
749527107,REVG,REV GROUP INC,648000,1000,18.18M,28.06K,+0.2%,7.7%
F21107101,CSTM,CONSTELLIUM SE,712000,1000,11.58M,16.26K,+0.1%,4.9%
377320106,,GLATFELTER CORPORATION,1138000,1000,2.05M,1.8K,+0.1%,0.86%
12008R107,BLDR,BUILDERS FIRSTSOURCE INC,0,-45000,0,-6.23M,CLOSE,0%
073685109,BECN,BEACON ROOFING SUPPLY INC,0,-76000,0,-6.88M,CLOSE,0%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,0,-500000,0,-7.7M,CLOSE,0%
07556Q881,BZH,BEAZER HOMES USA INC,100000,-388000,3.42M,-13.26M,-79.5%,1.4%
808541106,MATV,MATIV HOLDINGS INC,0,-835000,0,-14.16M,CLOSE,0%
69036R863,SFGRX,OVERSEAS SHIPHOLDING GROUP I,0,-2150000,0,-18.23M,CLOSE,0%
Total,,,,,236.81M,19.35M,+9.6%,100%
