CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
L00849106,AGRO,ADECOAGRO S A,6941857,4363628,76.85M,48.31M,+169.2%,6.9%
697660207,PAM,PAMPA ENERGIA S A,1319415,784407,79.22M,47.1M,+146.6%,7.1%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,1587547,637303,66.26M,26.6M,+67.1%,5.9%
19425C100,CNL,COLLECTIVE MINING LTD,5681800,5681800,18.18M,18.18M,NEW,1.6%
83056P715,SKE,SKEENA RES LTD NEW,2146397,2146397,18.16M,18.16M,NEW,1.6%
L1995B107,CAAP,CORPORACION AMER ARPTS S A,8131794,746084,141.98M,13.03M,+10.1%,12.7%
29244A102,EDN,EMPRESA DIST Y COMERCIAL NOR,809902,307642,17.95M,6.82M,+61.3%,1.6%
G8588X103,SGHC,SUPER GROUP SGHC LIMITED,1771604,1771604,6.43M,6.43M,NEW,0.58%
P5626F128,IFS,INTERCORP FINL SVCS INC,974819,193474,25.47M,5.06M,+24.8%,2.3%
91822M502,VEON,VEON LTD,2788955,49680,84.84M,1.51M,+1.8%,7.6%
30034T103,EVRI,EVERI HLDGS INC,16776,16776,220.44K,220.44K,NEW,0.02%
450047303,IRS,IRSA INVERSIONES Y REP S A,1266348,0,14.41M,0,NO CHANGE,1.3%
53680QAA6,LAR,LITHIUM AMERICAS ARGENTINA C,13611000,0,10.43M,0,NO CHANGE,0.94%
226406106,CRESY,CRESUD S A C I F Y A,637624,0,5.51M,0,NO CHANGE,0.49%
29278D105,ENIC,ENEL CHILE S.A.,1842178,0,5.14M,0,NO CHANGE,0.46%
893870204,TGS,TRANSPORTADORA DE GAS SUR,220482,0,4.04M,0,NO CHANGE,0.36%
20441A102,SBS,COMPANHIA DE SANEAMENTO BASI,0,-22058,0,-296.68K,CLOSE,0%
80013R206,SAND,SANDSTORM GOLD LTD,0,-2086579,0,-11.35M,CLOSE,0%
984245100,YPF,YPF SOCIEDAD ANONIMA,3566746,-1986433,75.65M,-42.13M,-35.8%,6.8%
92837L109,VIST,VISTA ENERGY S.A.B. DE C.V.,3072390,-1368553,135.74M,-60.46M,-30.8%,12.2%
450913108,IAG,IAMGOLD CORP,0,-17070962,0,-64.02M,CLOSE,0%
284902509,EGO,ELDORADO GOLD CORP NEW,18871218,-4965361,327.79M,-86.25M,-20.8%,29.4%
Total,,,,,1.11B,-73.1M,-6.7%,100%
