CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92556H206,PSKY,PARAMOUNT GLOBAL,43159720,13222713,458.36M,140.43M,+44.2%,13.2%
806857108,SLB,SCHLUMBERGER LTD,3759808,893768,157.72M,37.49M,+31.2%,4.5%
G9460G101,VAL,VALARIS LTD,3549787,509177,197.9M,28.39M,+16.7%,5.7%
146869102,CVNA,CARVANA CO,3929935,153188,684.24M,26.67M,+4.1%,19.7%
82575P107,SBSW,SIBANYE STILLWATER LTD,27511819,4710428,113.07M,19.36M,+20.7%,3.3%
46120E602,ISRG,INTUITIVE SURGICAL INC,76357,20000,37.51M,9.83M,+35.5%,1.1%
31620R303,FNF,FIDELITY NATIONAL FINANCIAL,156604,156604,9.72M,9.72M,NEW,0.28%
92537N108,VRT,VERTIV HOLDINGS CO,93000,93000,9.25M,9.25M,NEW,0.27%
11135F101,AVGO,BROADCOM INC,50000,45000,8.62M,7.76M,+900%,0.25%
75281A109,RRC,RANGE RES CORP,6698796,247070,206.05M,7.6M,+3.8%,5.9%
516544103,LNTH,LANTHEUS HLDGS INC,55274,55274,6.07M,6.07M,NEW,0.17%
91822M502,VEON,VEON LTD,5580724,193142,169.77M,5.88M,+3.6%,4.9%
28176E108,EW,EDWARDS LIFESCIENCES CORP,78938,78938,5.21M,5.21M,NEW,0.15%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,325000,75000,20.06M,4.63M,+30%,0.58%
16411R208,LNG,CHENIERE ENERGY INC,22936,22936,4.12M,4.12M,NEW,0.12%
88160R101,TSLA,TESLA INC,88961,13500,23.27M,3.53M,+17.9%,0.67%
023135106,AMZN,AMAZON COM INC,42410,17110,7.9M,3.19M,+67.6%,0.23%
66987E206,NG,NOVAGOLD RES INC,20199418,771157,82.82M,3.16M,+4%,2.4%
37611X209,DNA,GINKGO BIOWORKS HOLDINGS INC,250282,250282,2.04M,2.04M,NEW,0.06%
368036109,GATO,GATOS SILVER INC,3626901,123232,54.69M,1.86M,+3.5%,1.6%
60770K107,MRNA,MODERNA INC,373095,25000,24.93M,1.67M,+7.2%,0.72%
90353T100,UBER,UBER TECHNOLOGIES INC,100113,21517,7.52M,1.62M,+27.4%,0.22%
594918104,MSFT,MICROSOFT CORP,105090,2530,45.22M,1.09M,+2.5%,1.3%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,26503526,40926,477.59M,737.49K,+0.2%,13.8%
02079K305,GOOGL,ALPHABET INC,29919,3322,4.96M,550.95K,+12.5%,0.14%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,131776,168,11.27M,14.37K,+0.1%,0.33%
92826C839,V,VISA INC,32390,42,8.91M,11.55K,+0.1%,0.26%
448579102,H,HYATT HOTELS CORP,31866,44,4.85M,6.7K,+0.1%,0.14%
67066G104,NVDA,NVIDIA CORPORATION,578660,0,70.27M,0,NO CHANGE,2%
88023B103,TEM,TEMPUS AI INC,933859,0,52.86M,0,NO CHANGE,1.5%
81762P102,NOW,SERVICENOW INC,36104,0,32.29M,0,NO CHANGE,0.93%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,185000,0,32.13M,0,NO CHANGE,0.93%
58733R102,MELI,MERCADOLIBRE INC,15014,0,30.81M,0,NO CHANGE,0.89%
75629V104,RXRX,RECURSION PHARMACEUTICALS IN,3675077,0,24.22M,0,NO CHANGE,0.7%
G65163100,JOBY,JOBY AVIATION INC,2338980,0,11.77M,0,NO CHANGE,0.34%
92189F106,GDX,VANECK ETF TRUST,234000,0,9.32M,0,NO CHANGE,0.27%
366505105,GTX,GARRETT MOTION INC,800000,0,6.54M,0,NO CHANGE,0.19%
29355A107,ENPH,ENPHASE ENERGY INC,39918,0,4.51M,0,NO CHANGE,0.13%
500767306,KWEB,KRANESHARES TRUST,100000,0,3.4M,0,NO CHANGE,0.1%
83066P309,SKIL,SKILLSOFT CORP,57768,0,895.4K,0,NO CHANGE,0.03%
25058X303,DM,DESKTOP METAL INC,82817,0,386.75K,0,NO CHANGE,0.01%
45784P101,PODD,INSULET CORP,15937,-132,3.71M,-30.72K,-0.8%,0.11%
971378104,WSC,WILLSCOT MOBIL MINI HLDNG CO,0,-13616,0,-512.51K,CLOSE,0%
92343E102,VRSN,VERISIGN INC,0,-6929,0,-1.23M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-30000,0,-2.1M,CLOSE,0%
336433107,FSLR,FIRST SOLAR INC,13700,-10000,3.42M,-2.49M,-42.2%,0.1%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,0,-5345,0,-2.96M,CLOSE,0%
79466L302,CRM,SALESFORCE INC,0,-13000,0,-3.34M,CLOSE,0%
37611X100,DNA.MX,GINKGO BIOWORKS HOLDINGS INC,0,-10011301,0,-3.35M,CLOSE,0%
12504L109,CBRE,CBRE GROUP INC,63017,-31048,7.84M,-3.86M,-33%,0.23%
571903202,MAR,MARRIOTT INTL INC NEW,0,-28713,0,-6.94M,CLOSE,0%
615369105,MCO,MOODYS CORP,0,-17453,0,-7.35M,CLOSE,0%
G4766E116,INDV,INDIVIOR PLC,0,-474000,0,-7.43M,CLOSE,0%
G8068L108,SN,SHARKNINJA INC,0,-112000,0,-8.42M,CLOSE,0%
413216300,HMY,HARMONY GOLD MINING CO LTD,20892214,-1089397,212.47M,-11.08M,-5%,6.1%
92189F791,GDXJ,VANECK ETF TRUST,2408678,-531694,117.57M,-25.95M,-18.1%,3.4%
Total,,,,,3.47B,254.83M,+8.6%,100%
