CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
496902404,KGC,KINROSS GOLD CORP,1225000,1225000,11.47M,11.47M,NEW,6.3%
G16258108,BEP,BROOKFIELD RENEWABLE PARTNER,508500,258500,14.36M,7.3M,+103.4%,7.8%
15101Q207,CLS,CELESTICA INC,265300,125300,13.56M,6.41M,+89.5%,7.4%
00217Y104,ATS,ATS CORP,200000,200000,5.81M,5.81M,NEW,3.2%
015658107,ASTL,ALGOMA STEEL GROUP INC,528900,528900,5.41M,5.41M,NEW,3%
063671101,BMO,BANK OF MONTREAL,50000,50000,4.51M,4.51M,NEW,2.5%
59151K108,MEOH,METHANEX CORP,105000,105000,4.34M,4.34M,NEW,2.4%
828363101,SILV,SILVERCREST METALS INC,340000,340000,3.15M,3.15M,NEW,1.7%
848560306,SPIR,SPIRE GLOBAL INC,650000,245000,6.49M,2.45M,+60.5%,3.5%
09175RAA8,BTDR,BITDEER TECHNOLOGIES GRP,1700000,1700000,2.03M,2.03M,NEW,1.1%
83056P715,SKE,SKEENA RESOURCES LTD,200000,200000,1.69M,1.69M,NEW,0.92%
65340P106,NXE,NEXGEN ENERGY LTD,250000,250000,1.63M,1.63M,NEW,0.89%
53229C107,LSPD,LIGHTSPEED COMMERCE INC,735000,60000,12.12M,989.4K,+8.9%,6.6%
163092AD1,CHGG,CHEGG INC,1000000,1000000,957.5K,957.5K,NEW,0.52%
29269R105,EFXT,ENERFLEX LTD,1395355,15455,8.33M,92.22K,+1.1%,4.5%
192108504,CDE,COEUR MINING INC,7713117,8392,53.07M,57.74K,+0.1%,29%
29250N105,ENB,ENBRIDGE INC,115000,0,4.67M,0,NO CHANGE,2.5%
706327103,PBA,PEMBINA PIPELINE,78900,0,3.25M,0,NO CHANGE,1.8%
74022D407,PDS,PRECISION DRILLING CORP,52770,0,3.25M,0,NO CHANGE,1.8%
39525U107,GFR,GREENFIRE RESOURCES LTD,130000,0,968.5K,0,NO CHANGE,0.53%
15135U109,CVE,CENOVUS ENERGY INC,300000,-20000,5.02M,-334.6K,-6.2%,2.7%
12685JAG0,CABO,CABLE ONE INC,0,-1000000,0,-745.97K,CLOSE,0%
750491102,RDNT,RADNET INC,29070,-10930,2.02M,-758.43K,-27.3%,1.1%
05534B760,BCE,BCE INC,115000,-25000,4M,-870K,-17.9%,2.2%
44955L106,IAUX,I-80 GOLD CORP,0,-1669800,0,-1.8M,CLOSE,0%
92340V107,VRN,VEREN INC,543015,-358785,3.34M,-2.21M,-39.8%,1.8%
13321L108,CCJ,CAMECO CORP,0,-45000,0,-2.21M,CLOSE,0%
00217D100,ASTS,AST SPACEMOBILE INC,0,-250000,0,-2.9M,CLOSE,0%
87241L109,TFII,TFI INTERNATIONAL INC,0,-20000,0,-2.9M,CLOSE,0%
656811106,NOA,NORTH AMERICAN CONSTRUCTION,209180,-168727,3.91M,-3.16M,-44.6%,2.1%
780087102,RY,ROYAL BANK OF CANADA,0,-35000,0,-3.72M,CLOSE,0%
443628102,HBM,HUDBAY MINERALS INC,0,-500000,0,-4.53M,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-26600,0,-5.3M,CLOSE,0%
878742204,TECK,TECK RESOURCES LTD-CLS B,75000,-104306,3.92M,-5.45M,-58.2%,2.1%
443573100,HUBS,HUBSPOT INC,0,-21500,0,-12.68M,CLOSE,0%
Total,,,,,183.27M,8.71M,+5.3%,100%
