CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
98850P109,YUMC,YUM CHINA HLDGS INC,551429,551429,24.83M,24.83M,NEW,5.1%
44332N106,HTHT,H WORLD GROUP LTD,616337,616337,22.93M,22.93M,NEW,4.7%
70432V102,PAYC,PAYCOM SOFTWARE INC,12395,12395,2.06M,2.06M,NEW,0.43%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,315547,5600,43.97M,780.42K,+1.8%,9.1%
722304102,PDD,PDD HOLDINGS INC,319389,1700,43.06M,229.18K,+0.5%,8.9%
M98068105,WIX,WIX COM LTD,396280,0,66.25M,0,NO CHANGE,13.7%
244199105,DE,DEERE & CO,5001,0,2.09M,0,NO CHANGE,0.43%
79466L302,CRM,SALESFORCE INC,7000,0,1.92M,0,NO CHANGE,0.4%
225310101,CACC,CREDIT ACCEP CORP MICH,134188,-3500,59.5M,-1.55M,-2.5%,12.3%
146869102,CVNA,CARVANA CO,761731,-57900,132.62M,-10.08M,-7.1%,27.4%
30303M102,META,META PLATFORMS INC,149583,-33500,85.63M,-19.18M,-18.3%,17.7%
Total,,,,,484.85M,20.02M,+4.8%,100%
