CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
11135F101,AVGO,Broadcom Inc,67418,60002,11.63M,10.35M,+809.1%,5.3%
172908105,CTAS,Cintas Corp,5911,4296,1.22M,884.46K,+266%,0.55%
86800U104,SUPER,SUPER MICRO COMPUTER INC,8460,8460,352.27K,352.27K,NEW,0.16%
256746108,DLTR,Dollar Tree Inc,3130,-282,220.1K,-19.83K,-8.3%,0.1%
G39387108,GFS,GLOBALFOUNDRIES Inc,7914,-599,318.54K,-24.11K,-7%,0.14%
042068205,ARM,ARM Holdings PLC,1708,-186,244.26K,-26.6K,-9.8%,0.11%
60937P106,MDB,MongoDB Inc,1053,-106,284.68K,-28.66K,-9.1%,0.13%
22160N109,CSGP,CoStar Group Inc,5982,-401,451.28K,-30.25K,-6.3%,0.21%
452327109,ILMN,Illumina Inc,2282,-235,297.6K,-30.65K,-9.3%,0.14%
60770K107,MRNA,Moderna Inc,5527,-490,369.37K,-32.75K,-8.1%,0.17%
934423104,WBD,Warner Bros Discovery Inc,34901,-3970,287.93K,-32.75K,-10.2%,0.13%
98980G102,ZS,Zscaler Inc,2141,-214,365.98K,-36.58K,-9.1%,0.17%
03662Q105,ANSS,ANSYS Inc,1272,-116,405.3K,-36.96K,-8.4%,0.18%
252131107,DXCM,Dexcom Inc,5591,-600,374.82K,-40.22K,-9.7%,0.17%
23804L103,DDOG,Datadog Inc,4512,-355,519.15K,-40.85K,-7.3%,0.24%
05722G100,BKR,Baker Hughes Co,14520,-1135,524.9K,-41.03K,-7.3%,0.24%
09062X103,BIIB,Biogen Inc,2092,-215,405.51K,-41.68K,-9.3%,0.18%
682189105,ON,ON Semiconductor Corp,6227,-577,452.14K,-41.9K,-8.5%,0.21%
N07059210,ASML,ASML Holding NV,1337,-52,1.11M,-43.33K,-3.7%,0.51%
25278X109,FANG,Diamondback Energy Inc,2626,-252,452.72K,-43.44K,-8.8%,0.21%
874054109,TTWO,Take-Two Interactive Software Inc,2419,-285,371.82K,-43.81K,-10.5%,0.17%
G25839104,CCEP,Coca-Cola Europacific Partners PLC,6684,-560,526.37K,-44.1K,-7.7%,0.24%
12514G108,CDW,CDW Corp/DE,1944,-216,439.93K,-48.88K,-10%,0.2%
049468101,TEAM,Atlassian Corp,2192,-333,348.11K,-52.88K,-13.2%,0.16%
550021109,LULU,Lululemon Athletica Inc,1741,-195,472.42K,-52.91K,-10.1%,0.21%
92345Y106,VRSK,Verisk Analytics Inc,2066,-213,553.61K,-57.08K,-9.3%,0.25%
36266G107,GEHC,GE HealthCare Technologies Inc,6656,-629,624.67K,-59.03K,-8.6%,0.28%
595017104,MCHP,Microchip Technology Inc,7813,-737,627.31K,-59.17K,-8.6%,0.29%
192446102,CTSH,Cognizant Technology Solutions Corp,7190,-773,554.92K,-59.66K,-9.7%,0.25%
046353108,AZN,AstraZeneca PLC,8486,-768,661.14K,-59.83K,-8.3%,0.3%
285512109,EA,Electronic Arts Inc,3824,-421,548.51K,-60.39K,-9.9%,0.25%
693718108,PCAR,PACCAR Inc,7639,-625,753.82K,-61.68K,-7.6%,0.34%
98389B100,XEL,Xcel Energy Inc,7879,-983,514.5K,-64.19K,-11.1%,0.23%
98138H101,WDAY,Workday Inc,3065,-275,749.12K,-67.21K,-8.2%,0.34%
009066101,ABNB,Airbnb Inc,6511,-531,825.66K,-67.34K,-7.5%,0.38%
500754106,KHC,Kraft Heinz Co/The,17337,-1931,608.7K,-67.8K,-10%,0.28%
61174X109,MNST,Monster Beverage Corp,15147,-1304,790.22K,-68.03K,-7.9%,0.36%
217204106,CPRT,Copart Inc,13984,-1300,732.76K,-68.12K,-8.5%,0.33%
311900104,FAST,Fastenal Co,8168,-982,583.36K,-70.13K,-10.7%,0.27%
052769106,ADSK,Autodesk Inc,3156,-255,869.41K,-70.25K,-7.5%,0.4%
704326107,PAYX,Paychex Inc,5232,-530,702.08K,-71.12K,-9.2%,0.32%
30161N101,EXC,Exelon Corp,14412,-1761,584.41K,-71.41K,-10.9%,0.27%
25809K105,DASH,DoorDash Inc,5546,-506,791.58K,-72.22K,-8.4%,0.36%
679580100,ODFL,Old Dominion Freight Line Inc,3106,-371,616.98K,-73.7K,-10.7%,0.28%
88339J105,TTD,Trade Desk Inc/The,6408,-677,702.64K,-74.23K,-9.6%,0.32%
025537101,AEP,American Electric Power Co Inc,7601,-757,779.86K,-77.67K,-9.1%,0.35%
16119P108,CHTR,Charter Communications Inc,2091,-246,677.65K,-79.72K,-10.5%,0.31%
778296103,ROST,Ross Stores Inc,4871,-531,733.13K,-79.92K,-9.8%,0.33%
45168D104,IDXX,IDEXX Laboratories Inc,1184,-168,598.18K,-84.88K,-12.4%,0.27%
776696106,ROP,Roper Technologies Inc,1543,-157,858.59K,-87.36K,-9.2%,0.39%
573874104,MRVL,MARVELL TECHNOLOGY INC,12542,-1238,904.53K,-89.28K,-9%,0.41%
22788C105,CRWD,Crowdstrike Holdings Inc,3329,-322,933.68K,-90.31K,-8.8%,0.42%
49271V100,KDP,Keurig Dr Pepper Inc,19633,-2472,735.85K,-92.65K,-11.2%,0.33%
126408103,CSX,CSX Corp,28410,-2800,981K,-96.68K,-9%,0.45%
697435105,PANW,Palo Alto Networks Inc,4807,-295,1.64M,-100.83K,-5.8%,0.75%
N6596X109,NXPI,NXP Semiconductors NV,3672,-426,881.32K,-102.24K,-10.4%,0.4%
34959E109,FTNT,Fortinet Inc,10889,-1375,844.44K,-106.63K,-11.2%,0.38%
871607107,SNPS,Synopsys Inc,2211,-216,1.12M,-109.38K,-8.9%,0.51%
21037T109,CEG,Constellation Energy Corp,4586,-424,1.19M,-110.25K,-8.5%,0.54%
127387108,CDNS,Cadence Design Systems Inc,3920,-411,1.06M,-111.39K,-9.5%,0.48%
571903202,MAR,Marriott International Inc/MD,4165,-478,1.04M,-118.83K,-10.3%,0.47%
482480100,KLAC,KLA CORP,1996,-157,1.55M,-121.58K,-7.3%,0.7%
67103H107,ORLY,O'Reilly Automotive Inc,849,-107,977.71K,-123.22K,-11.2%,0.44%
512807108,LRCX.MX,Lam Research Corp,1936,-163,1.58M,-133.02K,-7.8%,0.72%
375558103,GILD,Gilead Sciences Inc,18215,-1603,1.53M,-134.4K,-8.1%,0.69%
609207105,MDLZ,Mondelez International Inc,19426,-1853,1.43M,-136.51K,-8.7%,0.65%
458140100,INTC,Intel Corp,61238,-5833,1.44M,-136.84K,-8.7%,0.65%
032654105,ADI,Analog Devices Inc,7189,-618,1.65M,-142.25K,-7.9%,0.75%
70450Y103,PYPL,PayPal Holdings Inc,15112,-2030,1.18M,-158.4K,-11.8%,0.54%
931427108,WBA,Walgreens Boots Alliance Inc,0,-13513,0,-163.44K,CLOSE,0%
75886F107,REGN,Regeneron Pharmaceuticals Inc,1557,-157,1.64M,-165.04K,-9.2%,0.74%
855244109,SBUX,Starbucks Corp,16371,-1737,1.6M,-169.34K,-9.6%,0.73%
053015103,ADP,Automatic Data Processing Inc,5918,-616,1.64M,-170.47K,-9.4%,0.75%
722304102,PDD,PDD Holdings Inc,9365,-1269,1.26M,-171.07K,-11.9%,0.57%
595112103,MU,Micron Technology Inc,15867,-1664,1.65M,-172.57K,-9.5%,0.75%
58733R102,MELI,MercadoLibre Inc,735,-86,1.51M,-176.47K,-10.5%,0.69%
92532F100,VRTX,Vertex Pharmaceuticals Inc,3701,-420,1.72M,-195.33K,-10.2%,0.78%
438516106,HON,Honeywell International Inc,9413,-951,1.95M,-196.58K,-9.2%,0.89%
038222105,AMAT,Applied Materials Inc,12257,-983,2.48M,-198.62K,-7.4%,1.1%
882508104,TXN,Texas Instruments Inc,13298,-1042,2.75M,-215.25K,-7.3%,1.2%
46120E602,ISRG,Intuitive Surgical Inc,5149,-440,2.53M,-216.16K,-7.9%,1.2%
031162100,AMGN,Amgen Inc,7835,-716,2.52M,-230.7K,-8.4%,1.1%
09857L108,BKNG,Booking Holdings Inc,501,-59,2.11M,-248.52K,-10.5%,0.96%
747525103,QCOM,QUALCOMM Inc,16262,-1471,2.77M,-250.14K,-8.3%,1.3%
20030N101,CMCSA,Comcast Corp,56366,-6567,2.35M,-274.3K,-10.4%,1.1%
461202103,INTU,Intuit Inc,4039,-460,2.51M,-285.66K,-10.2%,1.1%
713448108,PEP,PepsiCo Inc,19886,-1885,3.38M,-320.54K,-8.7%,1.5%
G54950103,LIN,Linde PLC,6963,-713,3.32M,-340K,-9.3%,1.5%
00724F101,ADBE,Adobe Inc,6509,-680,3.37M,-352.09K,-9.5%,1.5%
17275R102,CSCO,Cisco Systems Inc,57067,-7495,3.04M,-398.88K,-11.6%,1.4%
007903107,AMD,Advanced Micro Devices Inc,23194,-2444,3.81M,-401.01K,-9.5%,1.7%
872590104,TMUS,T-Mobile US Inc,16839,-2051,3.47M,-423.24K,-10.9%,1.6%
22160K105,COST,Costco Wholesale Corp,6457,-594,5.72M,-526.59K,-8.4%,2.6%
64110L106,NFLX,Netflix Inc,6125,-801,4.34M,-568.13K,-11.6%,2%
02079K305,GOOGL,Alphabet Inc,32468,-3687,5.38M,-611.49K,-10.2%,2.5%
02079K107,GOOG,Alphabet Inc,31067,-3756,5.19M,-627.97K,-10.8%,2.4%
88160R101,TSLA,Tesla Inc,26744,-2998,7M,-784.37K,-10.1%,3.2%
023135106,AMZN,Amazon.com Inc,58363,-5395,10.87M,-1.01M,-8.5%,4.9%
30303M102,META,Meta Platforms Inc,19838,-1762,11.36M,-1.01M,-8.2%,5.2%
594918104,MSFT,Microsoft Corp,41830,-3938,18M,-1.69M,-8.6%,8.2%
67066G104,NVDA,NVIDIA Corp,135985,-16260,16.51M,-1.97M,-10.7%,7.5%
037833100,AAPL,Apple Inc,85324,-9300,19.88M,-2.17M,-9.8%,9%
Total,,,,,219.78M,-9.9M,-4.2%,100%
