CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
910047109,UAL,UNITED AIRLS HLDGS INC,4985032,3427232,284.45M,195.56M,+220%,4.8%
254687106,DIS,DISNEY WALT CO,1949900,1949900,187.56M,187.56M,NEW,3.1%
219350105,GLW,CORNING INC,4112000,4112000,185.66M,185.66M,NEW,3.1%
958102105,WDC,WESTERN DIGITAL CORP.,6412703,2611730,437.92M,178.36M,+68.7%,7.3%
171779309,CIEN,CIENA CORP,2855400,2855400,175.86M,175.86M,NEW,2.9%
934423104,WBD,WARNER BROS DISCOVERY INC,17420000,17420000,143.72M,143.72M,NEW,2.4%
247361702,DAL,DELTA AIR LINES INC DEL,6487000,2370000,329.47M,120.37M,+57.6%,5.5%
92556H206,PSKY,PARAMOUNT GLOBAL,8845000,8845000,93.93M,93.93M,NEW,1.6%
01609W102,BABA,ALIBABA GROUP HLDG LTD,1929300,762800,204.74M,80.95M,+65.4%,3.4%
02376R102,AAL,AMERICAN AIRLS GROUP INC,16152994,7099994,181.56M,79.8M,+78.4%,3%
654902204,NOK,NOKIA CORP,26325103,16768000,115.04M,73.28M,+175.5%,1.9%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,11969000,3623000,152.84M,46.27M,+43.4%,2.6%
47215P106,JD,JD.COM INC,2458000,1106000,98.32M,44.24M,+81.8%,1.6%
17275R102,CSCO,CISCO SYS INC,4559172,680172,242.64M,36.2M,+17.5%,4.1%
165167735,EXE,CHESAPEAKE ENERGY CORP,230379,230379,18.95M,18.95M,NEW,0.32%
830879102,SKYW,SKYWEST INC,352700,202500,29.99M,17.22M,+134.8%,0.5%
04280A100,ARWR,ARROWHEAD PHARMACEUTICALS IN,4885000,746000,94.62M,14.45M,+18%,1.6%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,1062000,1062000,9.52M,9.52M,NEW,0.16%
477143101,JBLU,JETBLUE AWYS CORP,554000,554000,3.63M,3.63M,NEW,0.06%
844741108,LUV,SOUTHWEST AIRLS CO,108000,108000,3.2M,3.2M,NEW,0.05%
88160R101,TSLA,TESLA INC,146600,11300,38.35M,2.96M,+8.4%,0.64%
697900108,PAAS,PAN AMERN SILVER CORP,5393000,136000,112.55M,2.84M,+2.6%,1.9%
874080104,TAL,TAL EDUCATION GROUP,216000,216000,2.56M,2.56M,NEW,0.04%
517834107,LVS,LAS VEGAS SANDS CORP,46300,46300,2.33M,2.33M,NEW,0.04%
98850P109,YUMC,YUM CHINA HLDGS INC,50800,50800,2.29M,2.29M,NEW,0.04%
00912X302,AL,AIR LEASE CORP,387900,24400,17.57M,1.11M,+6.7%,0.29%
013872106,AA,ALCOA CORP,3731141,0,143.95M,0,NO CHANGE,2.4%
482497104,BEKE,KE HLDGS INC,4902058,0,97.6M,0,NO CHANGE,1.6%
17888H103,CIVI,CIVITAS RESOURCES INC,1809935,0,91.71M,0,NO CHANGE,1.5%
650111107,NYT,NEW YORK TIMES CO,1508000,0,83.95M,0,NO CHANGE,1.4%
35909D109,FYBR,FRONTIER COMMUNICATIONS PARE,2299679,0,81.71M,0,NO CHANGE,1.4%
88642R109,TDW,TIDEWATER INC NEW,647000,0,46.45M,0,NO CHANGE,0.78%
450056106,IRTC,IRHYTHM TECHNOLOGIES INC,510500,0,37.9M,0,NO CHANGE,0.64%
G7997W102,SDRL,SEADRILL 2021 LTD,558700,0,22.2M,0,NO CHANGE,0.37%
056752108,BIDU,BAIDU INC,182900,0,19.26M,0,NO CHANGE,0.32%
82575P107,SBSW,SIBANYE STILLWATER LTD,3079000,0,12.65M,0,NO CHANGE,0.21%
156431108,CENX,CENTURY ALUM CO,598000,0,9.71M,0,NO CHANGE,0.16%
00534A102,IVVD,INVIVYD INC,3735000,0,3.81M,0,NO CHANGE,0.06%
34385P108,LAB,STANDARD BIOTOOLS INC,1615000,0,3.12M,0,NO CHANGE,0.05%
22978P106,CUE,CUE BIOPHARMA INC,2402455,0,1.82M,0,NO CHANGE,0.03%
72765Q882,PLG,PLATINUM GROUP METALS LTD,900000,0,1.29M,0,NO CHANGE,0.02%
23255M204,CYCN,CYCLERION THERAPEUTICS INC,357880,0,926.91K,0,NO CHANGE,0.02%
051774115,AUROW,AURORA INNOVATION INC,437500,0,362.69K,0,NO CHANGE,<.01%
G1261Q115,,BLUERIVER ACQUISITION CORP,0,-200000,0,-3.02K,CLOSE,0%
433539111,,HIPPO HLDGS INC,0,-350000,0,-7.74K,CLOSE,0%
65344D208,NEXI,NEXIMMUNE INC,0,-36999,0,-102.11K,CLOSE,0%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,3080673,-30533,337.43M,-3.34M,-1%,5.7%
G85158106,STNE,STONECO LTD,6667000,-618000,75.07M,-6.96M,-8.5%,1.3%
369604301,GE,GE AEROSPACE,489300,-48200,92.27M,-9.09M,-9%,1.5%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,0,-691000,0,-9.27M,CLOSE,0%
G9460G101,VAL,VALARIS LTD,677000,-205000,37.74M,-11.43M,-23.2%,0.63%
G29018101,DLO,DLOCAL LTD,0,-1547000,0,-12.52M,CLOSE,0%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,0,-411174,0,-14.42M,CLOSE,0%
651639106,NEM,NEWMONT CORP,1293504,-275496,69.14M,-14.73M,-17.6%,1.2%
62955J103,NOV,NOV INC,1655134,-1192866,26.43M,-19.05M,-41.9%,0.44%
92189F791,GDXJ,VANECK ETF TRUST,1473000,-492000,71.9M,-24.01M,-25%,1.2%
878742204,TECK,TECK RESOURCES LTD,3487853,-461200,182.21M,-24.09M,-11.7%,3.1%
912909108,X,UNITED STATES STL CORP NEW,533000,-742537,18.83M,-26.23M,-58.2%,0.32%
H8817H100,RIG,TRANSOCEAN LTD,22018550,-8983995,93.58M,-38.18M,-29%,1.6%
N00985106,AER,AERCAP HOLDINGS NV,1556000,-442000,147.38M,-41.87M,-22.1%,2.5%
893641100,TDG,TRANSDIGM GROUP INC,0,-34300,0,-43.82M,CLOSE,0%
500767306,KWEB,KRANESHARES TRUST,3662037,-1353000,124.58M,-46.03M,-27%,2.1%
067901108,B,BARRICK GOLD CORP,0,-3272000,0,-54.58M,CLOSE,0%
68622V106,OGN,ORGANON & CO,2463963,-2929823,47.14M,-56.05M,-54.3%,0.79%
36828A101,GEV,GE VERNOVA INC,554268,-256100,141.33M,-65.3M,-31.6%,2.4%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,22056,-216315,7.15M,-70.1M,-90.7%,0.12%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,8765125,-3541875,179.33M,-72.47M,-28.8%,3%
92189F106,GDX,VANECK ETF TRUST,1737000,-2013000,69.17M,-80.16M,-53.7%,1.2%
81141R100,SE,SEA LTD,1829900,-1020300,172.52M,-96.19M,-35.8%,2.9%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,13668233,-6522951,246.3M,-117.54M,-32.3%,4.1%
Total,,,,,5.97B,765.24M,+15.5%,100%
