CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
770700102,HOOD,ROBINHOOD MKTS INC,1625158,1463578,38.06M,34.28M,+905.8%,34.8%
G5S37H101,MRX,MAREX GROUP PLC,812068,812068,19.18M,19.18M,NEW,17.6%
91531W106,TIGR,UP FINTECH HLDG LTD,3148128,1675296,16.81M,8.95M,+113.7%,15.4%
29357K103,ENVA,ENOVA INTL INC,333352,0,27.93M,0,NO CHANGE,25.6%
36118L106,FUTU,FUTU HLDG LTD,0,-27529,0,-1.81M,CLOSE,0%
356390104,FRHC,FREEDOM HLDG CORP NEV,0,-26478,0,-2M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-14625,0,-2.83M,CLOSE,0%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,52177,-31503,7.27M,-4.39M,-37.6%,6.7%
85208P881,COPP,SPROTT FDS TR,0,-101424,0,-4.58M,CLOSE,0%
464286772,EWY,ISHARES INC,0,-118100,0,-7.81M,CLOSE,0%
37950E101,NORW,GLOBAL X FDS,0,-312180,0,-8.02M,CLOSE,0%
46434G772,EWT,ISHARES INC,0,-153944,0,-8.34M,CLOSE,0%
46090E103,QQQ,INVESCO QQQ TR,0,-27417,0,-13.14M,CLOSE,0%
464287200,IVV,ISHARES TR,0,-42061,0,-23.02M,CLOSE,0%
Total,,,,,109.26M,-13.51M,-12%,100%
