CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
21874C102,CNM,CORE & MAIN INC,1500000,1200000,66.6M,53.28M,+400%,3.3%
073685109,BECN,BEACON ROOFING SUPPLY INC,203000,100000,17.55M,8.64M,+97.1%,0.86%
146869102,CVNA,CARVANA CO,5000000,0,870.55M,0,NO CHANGE,42.7%
03831W108,APP,APPLOVIN CORP,3600000,0,469.98M,0,NO CHANGE,23%
194693107,CIGI,COLLIERS INTL GROUP INC,1301132,0,197.45M,0,NO CHANGE,9.7%
G2143T103,CMPR,CIMPRESS PLC,2058904,0,168.67M,0,NO CHANGE,8.3%
94419L101,W,WAYFAIR INC,2637000,0,148.15M,0,NO CHANGE,7.3%
36262G101,GXO,GXO LOGISTICS INCORPORATED,900000,0,46.86M,0,NO CHANGE,2.3%
25809K105,DASH,DOORDASH INC,300000,0,42.82M,0,NO CHANGE,2.1%
398905109,GPI,GROUP 1 AUTOMOTIVE INC,29500,0,11.3M,0,NO CHANGE,0.55%
Total,,,,,2.04B,61.92M,+4.1%,100%
