CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92840M102,VST,VISTRA CORP,101650,101650,14.01M,14.01M,NEW,13.7%
42809H107,HES,HESS CORP,86150,86150,11.46M,11.46M,NEW,11.2%
925815102,VICR,VICOR CORP,190002,190002,9.18M,9.18M,NEW,9%
02079K305,GOOGL,ALPHABET INC,36675,36675,6.94M,6.94M,NEW,6.8%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,121500,121500,6.87M,6.87M,NEW,6.7%
03674X106,AR,ANTERO RESOURCES CORP,133250,133250,4.67M,4.67M,NEW,4.6%
460146103,IP,INTERNATIONAL PAPER CO,80750,80750,4.35M,4.35M,NEW,4.3%
61945C103,MOS,MOSAIC CO NEW,164000,164000,4.03M,4.03M,NEW,4%
126650100,CVS,CVS HEALTH CORP,86350,86350,3.88M,3.88M,NEW,3.8%
67077M108,NTR,NUTRIEN LTD,85500,85500,3.86M,3.86M,NEW,3.8%
651639106,NEM,NEWMONT CORP,102750,102750,3.82M,3.82M,NEW,3.7%
G5960L103,MDT,MEDTRONIC PLC,38060,38060,3.07M,3.07M,NEW,3%
747525103,QCOM,QUALCOMM INC,19500,19500,3M,3M,NEW,2.9%
20030N101,CMCSA,COMCAST CORP NEW,79500,79500,2.98M,2.98M,NEW,2.9%
H11356104,BG,BUNGE GLOBAL SA,36000,36000,2.8M,2.8M,NEW,2.7%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,13150,13150,2.77M,2.77M,NEW,2.7%
00287Y109,ABBV,ABBVIE INC,15500,15500,2.75M,2.75M,NEW,2.7%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,5950,5950,2.7M,2.7M,NEW,2.6%
125523100,CI,THE CIGNA GROUP,8250,8250,2.28M,2.28M,NEW,2.2%
008474108,AEM,AGNICO EAGLE MINES LTD,23300,23300,1.82M,1.82M,NEW,1.8%
037833100,AAPL,APPLE INC,5948,5948,1.49M,1.49M,NEW,1.5%
594918104,MSFT,MICROSOFT CORP,3475,3475,1.46M,1.46M,NEW,1.4%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,1696,1696,682.98K,682.98K,NEW,0.67%
46625H100,JPM,JPMORGAN CHASE & CO.,1500,1500,359.56K,359.56K,NEW,0.35%
742718109,PG,PROCTER AND GAMBLE CO,1650,1650,276.62K,276.62K,NEW,0.27%
166764100,CVX,CHEVRON CORP NEW,1818,1818,263.32K,263.32K,NEW,0.26%
806857108,SLB,SCHLUMBERGER LTD,5500,5500,212.38K,212.38K,NEW,0.21%
Total,,,,,101.99M,101.99M,+100%,100%
