CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
808524722,SCHK,SCHWAB STRATEGIC TR,120288,60144,3.41M,1.7M,+100%,0.08%
580135101,MCD,MCDONALDS CORP,5025,5025,1.46M,1.46M,NEW,0.03%
697435105,PANW,PALO ALTO NETWORKS INC,15232,7616,2.77M,1.39M,+100%,0.06%
464287200,IVV,ISHARES TR,5355,1722,3.15M,1.01M,+47.4%,0.07%
464288240,ACWX,ISHARES TR,8144,8144,424.79K,424.79K,NEW,<.01%
808524771,FNDX,SCHWAB STRATEGIC TR,24514,16381,580.5K,387.91K,+201.4%,0.01%
46432F859,ISTB,ISHARES TR,7825,7825,373.8K,373.8K,NEW,<.01%
464288612,GVI,ISHARES TR,3578,3578,372.94K,372.94K,NEW,<.01%
464287507,IJH,ISHARES TR,23793,5718,1.48M,356.28K,+31.6%,0.03%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1222,630,553.91K,285.57K,+106.4%,0.01%
33733E104,FTCS,FIRST TR EXCHANGE-TRADED FD,2763,2763,242.65K,242.65K,NEW,<.01%
464287804,IJR,ISHARES TR,6919,1484,797.22K,170.99K,+27.3%,0.02%
922908769,VTI,VANGUARD INDEX FDS,2702,342,783.07K,99.12K,+14.5%,0.02%
46432F339,QUAL,ISHARES TR,1586,295,282.43K,52.53K,+22.9%,<.01%
464287234,EEM,ISHARES TR,11887,853,497.11K,35.67K,+7.7%,0.01%
46434G822,EWJ,ISHARES INC,3926,515,263.44K,34.56K,+15.1%,<.01%
46432F834,IXUS,ISHARES TR,24122,425,1.6M,28.11K,+1.8%,0.04%
464287150,ITOT,ISHARES TR,58924,213,7.58M,27.4K,+0.4%,0.17%
46429B655,FLOT,ISHARES TR,28444,514,1.45M,26.15K,+1.8%,0.03%
037833100,AAPL,APPLE INC,8173,73,2.05M,18.28K,+0.9%,0.05%
464287465,EFA,ISHARES TR,9028,234,682.63K,17.69K,+2.7%,0.02%
464288273,SCZ,ISHARES TR,10215,231,620.57K,14.03K,+2.3%,0.01%
84265V105,SCCO,SOUTHERN COPPER CORP,10222,62,931.53K,5.65K,+0.6%,0.02%
922042742,VT,VANGUARD INTL EQUITY INDEX F,43400,0,5.1M,0,NO CHANGE,0.12%
931142103,WMT,WALMART INC,40000,0,3.61M,0,NO CHANGE,0.08%
98138H101,WDAY,WORKDAY INC,12988,0,3.35M,0,NO CHANGE,0.08%
30303M102,META,META PLATFORMS INC,5658,0,3.31M,0,NO CHANGE,0.08%
023135106,AMZN,AMAZON COM INC,5960,0,1.31M,0,NO CHANGE,0.03%
609207105,MDLZ,MONDELEZ INTL INC,21237,0,1.27M,0,NO CHANGE,0.03%
922908629,VO,VANGUARD INDEX FDS,3987,0,1.05M,0,NO CHANGE,0.02%
679295105,OKTA,OKTA INC,8775,0,691.47K,0,NO CHANGE,0.02%
922908751,VB,VANGUARD INDEX FDS,1571,0,377.48K,0,NO CHANGE,<.01%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,890,0,304.52K,0,NO CHANGE,<.01%
09260D107,BX,BLACKSTONE INC,1659,0,286.05K,0,NO CHANGE,<.01%
88160R101,TSLA,TESLA INC,7787,-25,3.14M,-10.1K,-0.3%,0.07%
88339J105,TTD,THE TRADE DESK INC,2270,-380,266.79K,-44.66K,-14.3%,<.01%
78468R523,BILS,SPDR SER TR,24239,-1154,2.4M,-114.42K,-4.5%,0.05%
363576109,AJG,GALLAGHER ARTHUR J & CO,16030,-3450,4.55M,-979.28K,-17.7%,0.1%
771049103,RBLX,ROBLOX CORP,65703,-36773,3.8M,-2.13M,-35.9%,0.09%
67066G104,NVDA,NVIDIA CORPORATION,32231590,-819930,4.33B,-110.11M,-2.5%,98.5%
Total,,,,,4.4B,-104.85M,-2.6%,100%
