CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
881624209,TEVA,Teva Pharmaceutical Inds Ltd,8997400,7569450,198.3M,166.83M,+530.1%,5.6%
910047109,UAL,United Airls Hldgs Inc,1043805,1043805,101.35M,101.35M,NEW,2.9%
830566105,SKX,Skechers U S A Inc,1074840,1074840,72.27M,72.27M,NEW,2%
023135106,AMZN,Amazon Com Inc,328400,328400,72.05M,72.05M,NEW,2%
78442P106,SLM,Slm Corp,2520275,2520275,69.51M,69.51M,NEW,2%
984245100,YPF,Ypf Sociedad Anonima,1687716,1257616,71.75M,53.46M,+292.4%,2%
247361702,DAL,Delta Air Lines Inc Del,817740,817740,49.47M,49.47M,NEW,1.4%
934423104,WBD,Warner Bros Discovery Inc,4657650,4657650,49.23M,49.23M,NEW,1.4%
532457108,LLY,Eli Lilly & Co,62190,62190,48.01M,48.01M,NEW,1.4%
457669307,INSM,Insmed Inc,593470,573470,40.97M,39.59M,+2867.3%,1.2%
11271J107,BN,Brookfield Corp,610225,610225,35.06M,35.06M,NEW,0.99%
595112103,MU,Micron Technology Inc,408885,408885,34.41M,34.41M,NEW,0.97%
05605H100,BWXT,Bwx Technologies Inc,299171,299171,33.33M,33.33M,NEW,0.94%
912909108,X,United States Stl Corp,1610040,946950,54.73M,32.19M,+142.8%,1.5%
980745103,WWD,Woodward Inc,1225750,168035,203.99M,27.96M,+15.9%,5.7%
718172109,PM,Philip Morris Intl Inc,1352255,217620,162.74M,26.19M,+19.2%,4.6%
36828A101,GEV,Ge Vernova Inc,99750,70500,32.81M,23.19M,+241%,0.92%
37950E259,ARGT,Global X Fds,548800,266800,45.37M,22.06M,+94.6%,1.3%
958102105,WDC,Western Digital Corp,417160,345755,24.88M,20.62M,+484.2%,0.7%
042068205,ARM,Arm Holdings Plc,178394,156784,22.01M,19.34M,+725.5%,0.62%
929740108,WAB,Wabtec,280060,100410,53.1M,19.04M,+55.9%,1.5%
74623V103,PCT,Purecycle Technologies Inc,1592500,1592500,16.32M,16.32M,NEW,0.46%
02376R102,AAL,American Airl,919928,919928,16.03M,16.03M,NEW,0.45%
06738E204,BCS,Barclays Plc,3186855,1179100,42.35M,15.67M,+58.7%,1.2%
88160R101,TSLA,Tesla Inc,37675,37675,15.21M,15.21M,NEW,0.43%
02079K305,GOOGL,Alphabet Inc,76680,76680,14.52M,14.52M,NEW,0.41%
902973304,USB,Us Bancorp Del,503595,286195,24.09M,13.69M,+131.6%,0.68%
949746101,WFC,Wells Fargo Co New,157100,157100,11.04M,11.04M,NEW,0.31%
538034109,LYV,Live Nation Entertainment In,79635,79635,10.31M,10.31M,NEW,0.29%
874039100,TSM,Taiwan Semiconductor Mfg Ltd,107515,50160,21.23M,9.91M,+87.5%,0.6%
58733R102,MELI,Mercadolibre Inc,53725,5615,91.36M,9.55M,+11.7%,2.6%
925050106,VRNA,Verona Pharma Plc,887580,201535,41.22M,9.36M,+29.4%,1.2%
697435105,PANW,Palo Alto Networks Inc,87424,43712,15.91M,7.95M,+100%,0.45%
60471A101,MIR,Mirion Technologies Inc,342700,342700,5.98M,5.98M,NEW,0.17%
05961W105,BMA,Banco Macro Sa,485430,61300,46.97M,5.93M,+14.5%,1.3%
