CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
576323109,MTZ,MASTEC INC,170000,170000,23.14M,23.14M,NEW,17%
92840M102,VST,VISTRA CORP,140000,140000,19.3M,19.3M,NEW,14.2%
65290E101,NXT,NEXTRACKER INC,520000,520000,19M,19M,NEW,14%
165167735,EXE,EXPAND ENERGY CORPORATION,160000,160000,15.93M,15.93M,NEW,11.7%
03674X106,AR,ANTERO RESOURCES CORP,400000,400000,14.02M,14.02M,NEW,10.3%
92537N108,VRT,VERTIV HOLDINGS CO,120000,120000,13.63M,13.63M,NEW,10%
36828A101,GEV,GE VERNOVA INC,35000,35000,11.51M,11.51M,NEW,8.5%
74164F103,PRIM,PRIMORIS SVCS CORP,125000,125000,9.55M,9.55M,NEW,7%
82489W107,SHLS,SHOALS TECHNOLOGIES GROUP IN,1500000,1500000,8.29M,8.29M,NEW,6.1%
55405W104,MYRG,MYR GROUP INC DEL,10000,10000,1.49M,1.49M,NEW,1.1%
Total,,,,,135.87M,135.87M,+100%,100%
