CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
11135F101,AVGO,BROADCOM INC,34000,34000,7.88M,7.88M,NEW,8.7%
19247G107,COHR,COHERENT CORP,80000,80000,7.58M,7.58M,NEW,8.3%
Y8162K204,SBLK,STAR BULK CARRIERS CORP.,740000,200000,11.06M,2.99M,+37%,12.2%
573874104,MRVL,MARVELL TECHNOLOGY INC,45000,0,4.97M,0,NO CHANGE,5.5%
N07059210,ASML,ASML HOLDING N V,3000,0,2.08M,0,NO CHANGE,2.3%
861012102,STM,STMICROELECTRONICS N V,0,-70000,0,-2.08M,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,300000,-30000,34.57M,-3.46M,-9.1%,38%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,0,-15000,0,-3.6M,CLOSE,0%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,5150,-141000,330.53K,-9.05M,-96.5%,0.36%
722304102,PDD,PDD HOLDINGS INC,0,-71230,0,-9.6M,CLOSE,0%
037833100,AAPL,APPLE INC,0,-60000,0,-13.98M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,168000,-262000,22.56M,-35.18M,-60.9%,24.8%
Total,,,,,91.04M,-58.5M,-38.9%,100%
