CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
Y2573F102,FLEX,FLEX LTD,604960,604960,23.22M,23.22M,NEW,7.1%
55024U109,LITE,LUMENTUM HLDGS INC,226640,226640,19.03M,19.03M,NEW,5.8%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,116950,116950,18.79M,18.79M,NEW,5.8%
732908108,PONY,PONY AI INC,1005000,1005000,14.42M,14.42M,NEW,4.4%
36118L106,FUTU,FUTU HLDGS LTD,155000,155000,12.4M,12.4M,NEW,3.8%
773903109,ROK,ROCKWELL AUTOMATION INC,36600,36600,10.46M,10.46M,NEW,3.2%
090043100,BILL,BILL HOLDINGS INC,94900,94900,8.04M,8.04M,NEW,2.5%
654902204,NOK,NOKIA CORP,1806000,1806000,8M,8M,NEW,2.5%
M7S64H106,MNDY,MONDAY COM LTD,30585,30585,7.2M,7.2M,NEW,2.2%
852234103,XYZ,BLOCK INC,77900,77900,6.62M,6.62M,NEW,2%
528877103,LX,LEXINFINTECH HLDGS LTD,1130000,1130000,6.55M,6.55M,NEW,2%
47215P106,JD,JD.COM INC,164500,164500,5.7M,5.7M,NEW,1.7%
98980F104,GTM,ZOOMINFO TECHNOLOGIES INC,569800,526600,5.99M,5.53M,+1219%,1.8%
767292105,RIOT,RIOT PLATFORMS INC,431350,431350,4.4M,4.4M,NEW,1.3%
M98068105,WIX,WIX COM LTD,35270,19200,7.57M,4.12M,+119.5%,2.3%
171779309,CIEN,CIENA CORP,48100,48100,4.08M,4.08M,NEW,1.3%
18452B209,CLSK,CLEANSPARK INC,430950,430950,3.97M,3.97M,NEW,1.2%
565788106,MARA,MARA HOLDINGS INC,222050,222050,3.72M,3.72M,NEW,1.1%
83406F102,SOFI,SOFI TECHNOLOGIES INC,217400,217400,3.35M,3.35M,NEW,1%
57776J100,MXL,MAXLINEAR INC,167700,167700,3.32M,3.32M,NEW,1%
91680M107,UPST,UPSTART HLDGS INC,51940,51940,3.2M,3.2M,NEW,0.98%
17253J106,CIFR,CIPHER MINING INC,920035,607035,4.27M,2.82M,+193.9%,1.3%
09239B109,BL,BLACKLINE INC,45030,45030,2.74M,2.74M,NEW,0.84%
37637K108,GTLB,GITLAB INC,62980,46990,3.55M,2.65M,+293.9%,1.1%
23804L103,DDOG,DATADOG INC,25575,18150,3.65M,2.59M,+244.4%,1.1%
N14506104,ESTC,ELASTIC N V,37160,26020,3.68M,2.58M,+233.6%,1.1%
Q4982L109,IREN,IREN LIMITED,395800,262150,3.89M,2.57M,+196.1%,1.2%
98980L101,ZM,ZOOM COMMUNICATIONS INC,31265,31265,2.55M,2.55M,NEW,0.78%
20717M103,CFLT,CONFLUENT INC,119802,90920,3.35M,2.54M,+314.8%,1%
15101Q207,CLS,CELESTICA INC,27500,27500,2.54M,2.54M,NEW,0.78%
G6331P104,AOSL,ALPHA & OMEGA SEMICONDUCTOR,68135,68135,2.52M,2.52M,NEW,0.77%
594972408,MSTR,MICROSTRATEGY INC,8615,8615,2.5M,2.5M,NEW,0.76%
70435P102,PYCR,PAYCOR HCM INC,127910,127910,2.38M,2.38M,NEW,0.73%
256163106,DOCU,DOCUSIGN INC,25280,25280,2.27M,2.27M,NEW,0.7%
88080T104,WULF,TERAWULF INC,398500,398500,2.26M,2.26M,NEW,0.69%
336433107,FSLR,FIRST SOLAR INC,12450,12450,2.19M,2.19M,NEW,0.67%
M6191J100,FROG,JFROG LTD,73410,73410,2.16M,2.16M,NEW,0.66%
443573100,HUBS,HUBSPOT INC,4835,3060,3.37M,2.13M,+172.4%,1%
380237107,GDDY,GODADDY INC,10500,10500,2.07M,2.07M,NEW,0.64%
01609W102,BABA,ALIBABA GROUP HLDG LTD,23700,23700,2.01M,2.01M,NEW,0.62%
00827B106,AFRM,AFFIRM HLDGS INC,49545,29545,3.02M,1.8M,+147.7%,0.92%
86771W105,RUN,SUNRUN INC,193230,193230,1.79M,1.79M,NEW,0.55%
81730H109,S,SENTINELONE INC,79800,79800,1.77M,1.77M,NEW,0.54%
98980G102,ZS,ZSCALER INC,10380,7730,1.87M,1.39M,+291.7%,0.57%
60937P106,MDB,MONGODB INC,8760,5830,2.04M,1.36M,+199%,0.62%
70432V102,PAYC,PAYCOM SOFTWARE INC,6000,6000,1.23M,1.23M,NEW,0.38%
05368X102,AVDX,AVIDXCHANGE HOLDINGS INC,117180,117180,1.21M,1.21M,NEW,0.37%
89677Q107,TCOM,TRIP COM GROUP LTD,17600,17600,1.21M,1.21M,NEW,0.37%
82452J109,FOUR,SHIFT4 PMTS INC,11160,11160,1.16M,1.16M,NEW,0.35%
268150109,DT,DYNATRACE INC,25500,17000,1.39M,923.95K,+200%,0.42%
219948106,CPAY,CORPAY INC,2725,2725,922.2K,922.2K,NEW,0.28%
19247G107,COHR,COHERENT CORP,8400,8400,795.73K,795.73K,NEW,0.24%
833445109,SNOW,SNOWFLAKE INC,7965,4165,1.23M,643.12K,+109.6%,0.38%
09173B107,KEEL,BITFARMS LTD,420000,420000,625.8K,625.8K,NEW,0.19%
79466L302,CRM,SALESFORCE INC,8050,1655,2.69M,553.32K,+25.9%,0.82%
679295105,OKTA,OKTA INC,6700,6700,527.96K,527.96K,NEW,0.16%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,4000,4000,519.64K,519.64K,NEW,0.16%
69553P100,PD,PAGERDUTY INC,26500,26500,483.89K,483.89K,NEW,0.15%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,22480,4305,1.68M,322.57K,+23.7%,0.52%
91347P105,OLED,UNIVERSAL DISPLAY CORP,14240,0,2.08M,0,NO CHANGE,0.64%
37940X102,GPN,GLOBAL PMTS INC,15575,-100,1.75M,-11.21K,-0.6%,0.53%
44812J104,HUT,HUT 8 CORP,192910,-11290,3.95M,-231.33K,-5.5%,1.2%
98138H101,WDAY,WORKDAY INC,6310,-1270,1.63M,-327.7K,-16.8%,0.5%
337738108,FISV,FISERV INC,11750,-2500,2.41M,-513.55K,-17.5%,0.74%
70450Y103,PYPL,PAYPAL HLDGS INC,31050,-10750,2.65M,-917.51K,-25.7%,0.81%
464287515,IGV,ISHARES TR,0,-10500,0,-930.3K,CLOSE,0%
67079K100,SMR,NUSCALE PWR CORP,0,-100000,0,-1.16M,CLOSE,0%
98954M200,Z,ZILLOW GROUP INC,0,-20855,0,-1.33M,CLOSE,0%
031652100,AMKR,AMKOR TECHNOLOGY INC,284545,-57250,7.31M,-1.47M,-16.7%,2.2%
70438V106,PCTY,PAYLOCITY HLDG CORP,5505,-8235,1.1M,-1.64M,-59.9%,0.34%
880770102,TER,TERADYNE INC,0,-12356,0,-1.65M,CLOSE,0%
00724F101,ADBE,ADOBE INC,0,-3230,0,-1.67M,CLOSE,0%
36257Y109,GOTU,GAOTU TECHEDU INC,751800,-855137,1.65M,-1.87M,-53.2%,0.5%
278642103,EBAY,EBAY INC.,0,-29900,0,-1.95M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,-11700,0,-2.03M,CLOSE,0%
46138G706,TAN,INVESCO EXCH TRADED FD TR II,0,-114930,0,-2.08M,CLOSE,0%
81762P102,NOW,SERVICENOW INC,1030,-2000,1.09M,-2.12M,-66%,0.33%
31620M106,FIS,FIDELITY NATL INFORMATION SV,0,-31120,0,-2.61M,CLOSE,0%
037833100,AAPL,APPLE INC,0,-12780,0,-2.98M,CLOSE,0%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-258857,0,-3.07M,CLOSE,0%
00215W100,ASX,ASE TECHNOLOGY HLDG CO LTD,651850,-323150,6.56M,-3.25M,-33.1%,2%
093712107,BE,BLOOM ENERGY CORP,212930,-211470,4.73M,-4.7M,-49.8%,1.4%
233051879,ASHR,DBX ETF TR,0,-172000,0,-4.92M,CLOSE,0%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,262580,-229760,5.69M,-4.98M,-46.7%,1.7%
67066G104,NVDA,NVIDIA CORPORATION,0,-52115,0,-6.33M,CLOSE,0%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,208200,-103449,13.36M,-6.64M,-33.2%,4.1%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,3230,-22065,1.11M,-7.55M,-87.2%,0.34%
88160R101,TSLA,TESLA INC,10304,-19096,4.16M,-7.71M,-65%,1.3%
64110W102,NTES,NETEASE INC,0,-90800,0,-8.49M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-16255,0,-9.31M,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,0,-59457,0,-15.16M,CLOSE,0%
464287655,IWM,ISHARES TR,0,-72480,0,-16.01M,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,19972,-106100,4.96M,-26.34M,-84.2%,1.5%
Total,,,,,326.33M,89.48M,+42.2%,100%
