CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K107,GOOG,ALPHABET INC,60000,60000,11.43M,11.43M,NEW,6%
G8068L108,SN,SHARKNINJA INC,110000,110000,10.71M,10.71M,NEW,5.7%
23834J201,DAVE,DAVE INC,62394,62394,5.42M,5.42M,NEW,2.9%
83304A106,SNAP,SNAP INC,498000,498000,5.36M,5.36M,NEW,2.8%
M7S64H106,MNDY,MONDAY COM LTD,43075,13775,10.14M,3.24M,+47%,5.4%
G6683N103,NU,NU HLDGS LTD,275000,275000,2.85M,2.85M,NEW,1.5%
87427V103,TALK,TALKSPACE INC,742812,742812,2.3M,2.3M,NEW,1.2%
20464U100,COMP,COMPASS INC,1898209,360320,11.1M,2.11M,+23.4%,5.9%
22266T109,CPNG,COUPANG INC,483912,75000,10.64M,1.65M,+18.3%,5.6%
767292105,RIOT,RIOT PLATFORMS INC,150000,150000,1.53M,1.53M,NEW,0.81%
09352U108,BLND,BLEND LABS INC,4804101,290623,20.23M,1.22M,+6.4%,10.7%
88080T104,WULF,TERAWULF INC,200000,200000,1.13M,1.13M,NEW,0.6%
770700102,HOOD,ROBINHOOD MKTS INC,20000,20000,745.2K,745.2K,NEW,0.39%
716382106,PETS,PETMED EXPRESS INC,340302,111194,1.64M,535.96K,+48.5%,0.87%
72703H101,PLNT,PLANET FITNESS INC,47470,0,4.69M,0,NO CHANGE,2.5%
G9889V101,ZENV,ZENVIA INC,1030830,0,2.4M,0,NO CHANGE,1.3%
M8744T114,TBLAW,TABOOLA.COM LTD,481774,0,168.02K,0,NO CHANGE,0.09%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,220000,-70000,3.09M,-983.5K,-24.1%,1.6%
44812J104,HUT,HUT 8 CORP,147500,-52500,3.02M,-1.08M,-26.2%,1.6%
226718104,CRTO,CRITEO S A,144889,-49122,5.73M,-1.94M,-25.3%,3%
77543R102,ROKU,ROKU INC,52000,-28000,3.87M,-2.08M,-35%,2%
227046109,CROX,CROCS INC,0,-15000,0,-2.17M,CLOSE,0%
30303M102,META,META PLATFORMS INC,1957,-3891,1.15M,-2.28M,-66.5%,0.61%
62482R107,COOP,MR COOPER GROUP INC,65600,-25000,6.3M,-2.4M,-27.6%,3.3%
87422Q109,TLN,TALEN ENERGY CORP,24814,-14186,5M,-2.86M,-36.4%,2.6%
48251W104,KKR,KKR & CO INC,20000,-20000,2.96M,-2.96M,-50%,1.6%
146869102,CVNA,CARVANA CO,66564,-18500,13.54M,-3.76M,-21.7%,7.2%
92537N108,VRT,VERTIV HOLDINGS CO,0,-38000,0,-3.78M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,32906,-22000,7.22M,-4.83M,-40.1%,3.8%
532457108,LLY,ELI LILLY & CO,0,-5471,0,-4.85M,CLOSE,0%
433000106,HIMS,HIMS & HERS HEALTH INC,187423,-247000,4.53M,-5.97M,-56.9%,2.4%
23804L103,DDOG,DATADOG INC,0,-52000,0,-5.98M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,0,-50000,0,-6.07M,CLOSE,0%
72352L106,PINS,PINTEREST INC,0,-242694,0,-7.86M,CLOSE,0%
70451X104,PAYO,PAYONEER GLOBAL INC,1211118,-850000,12.16M,-8.53M,-41.2%,6.4%
03831W108,APP,APPLOVIN CORP,55721,-74000,18.04M,-23.96M,-57%,9.5%
Total,,,,,189.09M,-44.11M,-23.1%,100%
