CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
129500104,CAL,CALERES INC,791713,791713,18.34M,18.34M,NEW,8.5%
G7633M120,DRDBU,ROMAN DBDR ACQUISITION CORP,733600,733600,7.31M,7.31M,NEW,3.4%
644535106,NGD,NEW GOLD INC CDA,4147296,2782296,10.29M,6.9M,+203.8%,4.7%
578605107,MEC,MAYVILLE ENGR CO INC,449792,328223,7.07M,5.16M,+270%,3.3%
51509P103,LSEA,LANDSEA HOMES CORP,1643572,558834,13.95M,4.74M,+51.5%,6.4%
172967424,C,CITIGROUP INC,63991,63991,4.5M,4.5M,NEW,2.1%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,51100,51100,2.71M,2.71M,NEW,1.3%
358010106,FEIM,FREQUENCY ELECTRS INC,96009,96009,1.78M,1.78M,NEW,0.82%
03674X106,AR,ANTERO RESOURCES CORP,166900,42145,5.85M,1.48M,+33.8%,2.7%
G7997W102,SDRL,SEADRILL 2021 LTD,275066,25762,10.71M,1M,+10.3%,4.9%
78463V107,GLD,SPDR GOLD TR,11267,3969,2.73M,961.01K,+54.4%,1.3%
443628102,HBM,HUDBAY MINERALS INC,709312,100990,5.75M,818.02K,+16.6%,2.7%
817323306,SQNS,SEQUANS COMMUNICATIONS S A,187114,187114,653.03K,653.03K,NEW,0.3%
127537207,CDZI,CADIZ INC,120000,120000,624K,624K,NEW,0.29%
889478103,TOL,TOLL BROTHERS INC,4100,4100,516.39K,516.39K,NEW,0.24%
85207Q104,SPPP,SPROTT PHYSICAL PLAT PALLAD,412923,56734,3.67M,504.37K,+15.9%,1.7%
87266M107,TRTX,TPG RE FIN TR INC,204673,30000,1.74M,255K,+17.2%,0.8%
98423J101,XPER,XPERI INC,17234,17234,176.99K,176.99K,NEW,0.08%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,53700,15900,518.21K,153.44K,+42.1%,0.24%
00489Q102,ACR,ACRES COMMERCIAL REALTY CORP,264597,2889,4.27M,46.66K,+1.1%,2%
55903Q104,MAG,MAG SILVER CORP,885043,0,12.04M,0,NO CHANGE,5.6%
65340P106,NXE,NEXGEN ENERGY LTD,1248548,0,8.24M,0,NO CHANGE,3.8%
156492100,CNTY,CENTURY CASINOS INC,2296939,0,7.44M,0,NO CHANGE,3.4%
032108649,SILJ,AMPLIFY ETF TR,417847,0,4.15M,0,NO CHANGE,1.9%
92189F791,GDXJ,VANECK ETF TRUST,92515,0,3.96M,0,NO CHANGE,1.8%
55445L100,MNR,MACH NATURAL RESOURCES LP,213253,0,3.66M,0,NO CHANGE,1.7%
011532108,AGI,ALAMOS GOLD INC NEW,185380,0,3.42M,0,NO CHANGE,1.6%
577345101,MLP,MAUI LD & PINEAPPLE INC,91270,0,2.01M,0,NO CHANGE,0.93%
78574H104,SOC,SABLE OFFSHORE CORP,83005,0,1.9M,0,NO CHANGE,0.88%
85208P303,URNM,SPROTT FDS TR,19662,0,792.58K,0,NO CHANGE,0.37%
60743G118,MOBXW,MOBIX LABS INC,30093,0,3.69K,0,NO CHANGE,<.01%
87313P103,TXO,TXO PARTNERS LP,163812,-200,2.76M,-3.37K,-0.1%,1.3%
552953101,MGM,MGM RESORTS INTERNATIONAL,421214,-100,14.6M,-3.46K,-0%,6.7%
05580M108,RILY,B. RILEY FINANCIAL INC,41655,-8700,191.2K,-39.93K,-17.3%,0.09%
152006102,CGAU,CENTERRA GOLD INC,141783,-9700,806.75K,-55.19K,-6.4%,0.37%
83056P715,SKE,SKEENA RES LTD NEW,24157,-9443,210.65K,-82.34K,-28.1%,0.1%
49435R102,KRP,KIMBELL RTY PARTNERS LP,109470,-6628,1.78M,-107.57K,-5.7%,0.82%
39525U107,GFR,GREENFIRE RES LTD NEW,1161725,-24000,8.2M,-169.44K,-2%,3.8%
Y62267409,NMM,NAVIOS MARITIME PARTNERS L P,82328,-5356,3.56M,-231.86K,-6.1%,1.6%
008474108,AEM,AGNICO EAGLE MINES LTD,102465,-3262,8.01M,-255.12K,-3.1%,3.7%
714266103,PPTA,PERPETUA RESOURCES CORP,62033,-35600,661.89K,-379.85K,-36.5%,0.31%
52110H100,GORV,LAZYDAYS HLDGS INC,0,-377742,0,-566.61K,CLOSE,0%
817323207,,SEQUANS COMMUNICATIONS S A,0,-523300,0,-622.73K,CLOSE,0%
29273V100,ET,ENERGY TRANSFER L P,0,-53279,0,-855.13K,CLOSE,0%
02157M207,AEAEU,ALTENERGY ACQUISITION CORP,0,-168938,0,-1.87M,CLOSE,0%
644393100,NFE,NEW FORTRESS ENERGY INC,0,-215749,0,-1.96M,CLOSE,0%
92189F106,GDX,VANECK ETF TRUST,330726,-58800,11.21M,-1.99M,-15.1%,5.2%
77867R209,,ROTH CH ACQUISITION V CO,0,-200100,0,-2.36M,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-21764,0,-2.58M,CLOSE,0%
07556Q881,BZH,BEAZER HOMES USA INC,312545,-94586,8.58M,-2.6M,-23.2%,4%
03940R107,ARCH,ARCH RESOURCES INC,0,-22727,0,-3.14M,CLOSE,0%
Y27183600,GSL,GLOBAL SHIP LEASE INC NEW,0,-205406,0,-5.47M,CLOSE,0%
44952J104,CRGY,CRESCENT ENERGY COMPANY,107525,-472402,1.57M,-6.9M,-81.5%,0.72%
038169207,APLD,APPLIED DIGITAL CORP,494482,-2282497,3.78M,-17.44M,-82.2%,1.7%
Total,,,,,216.69M,8.95M,+4%,100%
