CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,54850,40250,10.38M,7.62M,+275.7%,9.9%
60937P106,MDB,MONGODB INC,29500,29500,6.87M,6.87M,NEW,6.5%
67066G104,NVDA,NVIDIA CORPORATION,42700,42700,5.73M,5.73M,NEW,5.4%
90353T100,UBER,UBER TECHNOLOGIES INC,226500,88500,13.66M,5.34M,+64.1%,13%
94419L101,W,WAYFAIR INC,99500,99500,4.41M,4.41M,NEW,4.2%
146869102,CVNA,CARVANA CO,18300,18300,3.72M,3.72M,NEW,3.5%
N07059210,ASML,ASML HOLDING N V,7750,4750,5.37M,3.29M,+158.3%,5.1%
594918104,MSFT,MICROSOFT CORP,7600,7600,3.2M,3.2M,NEW,3%
G6683N103,NU,NU HLDGS LTD,1175000,285000,12.17M,2.95M,+32%,11.6%
512807306,LRCX,LAM RESEARCH CORP,39750,39750,2.87M,2.87M,NEW,2.7%
58733R102,MELI,MERCADOLIBRE INC,1425,1425,2.42M,2.42M,NEW,2.3%
22266T109,CPNG,COUPANG INC,374500,101500,8.23M,2.23M,+37.2%,7.8%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,524000,204000,5.67M,2.21M,+63.7%,5.4%
458140100,INTC,INTEL CORP,80000,80000,1.6M,1.6M,NEW,1.5%
37637K108,GTLB,GITLAB INC,93100,26500,5.25M,1.49M,+39.8%,5%
770700102,HOOD,ROBINHOOD MKTS INC,13250,13250,493.69K,493.69K,NEW,0.47%
98980G102,ZS,ZSCALER INC,0,-5800,0,-991.45K,CLOSE,0%
48553T106,BZ,KANZHUN LIMITED,0,-61100,0,-1.06M,CLOSE,0%
10576N102,BRZE,BRAZE INC,0,-74500,0,-2.41M,CLOSE,0%
512807108,LRCX.MX,LAM RESEARCH CORP,0,-3075,0,-2.51M,CLOSE,0%
25809K105,DASH,DOORDASH INC,0,-30320,0,-4.33M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-39300,0,-5.3M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,24300,-25000,5.33M,-5.48M,-50.7%,5.1%
30303M102,META,META PLATFORMS INC,850,-9700,497.68K,-5.68M,-91.9%,0.47%
833445109,SNOW,SNOWFLAKE INC,33200,-54300,5.13M,-8.38M,-62.1%,4.9%
781154109,RBRK,RUBRIK INC.,35460,-201450,2.32M,-13.17M,-85%,2.2%
Total,,,,,105.34M,7.15M,+7.9%,100%
