CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
007903107,AMD,Advanced Micro Devices Inc,102800,14000,12.42M,1.69M,+15.8%,5.6%
833445109,SNOW,Snowflake Inc,76900,8500,11.87M,1.31M,+12.4%,5.4%
773122106,RKLB,Rocket Lab Corporation,209000,46000,5.32M,1.17M,+28.2%,2.4%
594918104,MSFT,Microsoft Corp,29800,2400,12.56M,1.01M,+8.8%,5.7%
00217D100,ASTS,AST Spacemobile Inc,500500,40500,10.56M,854.55K,+8.8%,4.8%
88160R101,TSLA,Tesla Inc,2000,2000,807.68K,807.68K,NEW,0.37%
22788C105,CRWD,CrowdStrike Holdings Inc,51000,1700,17.45M,581.67K,+3.4%,7.9%
67066G104,NVDA,NVIDIA Corporation,485800,3800,65.24M,510.3K,+0.8%,29.6%
389930207,BTC,Grayscale Bitcoin Mini Trust ETF,21540,7058,901.88K,295.53K,+48.7%,0.41%
L8681T102,SPOT,Spotify Technology SA,40100,0,17.94M,0,NO CHANGE,8.1%
573874104,MRVL,Marvell Technology Inc,157600,0,17.41M,0,NO CHANGE,7.9%
023135106,AMZN,Amazon Com Inc,59400,0,13.03M,0,NO CHANGE,5.9%
389637109,GBTC,Grayscale Bitcoin Trust ETF,107700,0,7.97M,0,NO CHANGE,3.6%
72352L106,PINS,Pinterest Inc,206700,0,5.99M,0,NO CHANGE,2.7%
81762P102,NOW,ServiceNow Inc,3100,0,3.29M,0,NO CHANGE,1.5%
67079K100,SMR,NuScale Power Corporation,90500,0,1.62M,0,NO CHANGE,0.74%
92766K403,SPCE,Virgin Galactic Holdings Inc,0,-26060,0,-158.97K,CLOSE,0%
87918A105,TDOC,Teladoc Health Inc,0,-23500,0,-215.73K,CLOSE,0%
037833100,AAPL,Apple Inc,63450,-134400,15.89M,-33.66M,-67.9%,7.2%
Total,,,,,220.28M,-25.79M,-11.7%,100%
