CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
90353T100,UBER,UBER TECHNOLOGIES INC,368092,368092,22.2M,22.2M,NEW,18.5%
023135106,AMZN,AMAZON COM INC,101000,101000,22.16M,22.16M,NEW,18.4%
64125C109,NBIX,NEUROCRINE BIOSCIENCES INC,128802,128802,17.58M,17.58M,NEW,14.6%
35671D857,FCX,FREEPORT-MCMORAN INC,442755,442755,16.86M,16.86M,NEW,14%
74347M108,PUMP,PROPETRO HLDG CORP,810787,810787,7.56M,7.56M,NEW,6.3%
02079K305,GOOGL,ALPHABET INC,38891,38891,7.36M,7.36M,NEW,6.1%
958102105,WDC,WESTERN DIGITAL CORP,101000,101000,6.02M,6.02M,NEW,5%
25179M103,DVN,DEVON ENERGY CORP NEW,177491,177491,5.81M,5.81M,NEW,4.8%
70450Y103,PYPL,PAYPAL HLDGS INC,60000,60000,5.12M,5.12M,NEW,4.3%
20825C104,COP,CONOCOPHILLIPS,31000,31000,3.07M,3.07M,NEW,2.6%
595112103,MU,MICRON TECHNOLOGY INC,27500,27500,2.31M,2.31M,NEW,1.9%
651639106,NEM,NEWMONT CORP,50000,50000,1.86M,1.86M,NEW,1.5%
24703L202,DELL,DELL TECHNOLOGIES INC,13000,13000,1.5M,1.5M,NEW,1.2%
61945C103,MOS,MOSAIC CO NEW,35000,35000,860.3K,860.3K,NEW,0.72%
Total,,,,,120.29M,120.29M,+100%,100%
