CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
770700102,HOOD,ROBINHOOD MKTS INC,55704,55704,2.08M,2.08M,NEW,3%
053604104,AVPT,AVEPOINT INC,29102,29102,480.47K,480.47K,NEW,0.69%
77664L207,ROOT,ROOT INC,783012,0,56.84M,0,NO CHANGE,81.8%
679295105,OKTA,OKTA INC,53152,0,4.19M,0,NO CHANGE,6%
05464T104,AXSM,AXSOME THERAPEUTICS INC,33849,0,2.86M,0,NO CHANGE,4.1%
72703X106,PL,PLANET LABS PBC,172097,0,695.27K,0,NO CHANGE,1%
83067L208,FIRY,SKILLZ INC,13950,0,70.17K,0,NO CHANGE,0.1%
69404D108,PACB,PACIFIC BIOSCIENCES CALIF IN,20586,0,37.67K,0,NO CHANGE,0.05%
19260Q107,COIN,COINBASE GLOBAL INC,8832,-404536,2.19M,-100.45M,-97.9%,3.2%
Total,,,,,69.44M,-97.89M,-88.4%,100%
