CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
644393100,NFE,NEW FORTRESS ENERGY INC,746393,665618,11.29M,10.06M,+824%,7.4%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,205880,84672,1.92M,789.99K,+69.9%,1.3%
717081103,PFE,PFIZER INC,84718,16748,2.25M,444.32K,+24.6%,1.5%
500754106,KHC,KRAFT HEINZ CO,38148,14248,1.17M,437.56K,+59.6%,0.77%
G1466R173,BORR,BORR DRILLING LTD,85800,85800,334.62K,334.62K,NEW,0.22%
13462K109,CWH,CAMPING WORLD HLDGS INC,15200,15200,320.42K,320.42K,NEW,0.21%
665531307,NOG,NORTHERN OIL & GAS INC,8300,8300,308.43K,308.43K,NEW,0.2%
595112103,MU,MICRON TECHNOLOGY INC,3216,2816,270.66K,236.99K,+704%,0.18%
165167735,EXE,EXPAND ENERGY CORPORATION,2013,2013,200.39K,200.39K,NEW,0.13%
35953C106,FIP,FTAI INFRASTRUCTURE INC,1421269,25900,10.32M,188.03K,+1.9%,6.8%
112463104,BKD,BROOKDALE SR LIVING INC,193184,32800,971.72K,164.98K,+20.5%,0.64%
464287432,TLT,ISHARES TR,1500,1500,131K,131K,NEW,0.09%
293594107,ENVX,ENOVIX CORPORATION,10700,10700,116.31K,116.31K,NEW,0.08%
023135106,AMZN,AMAZON COM INC,7695,430,1.69M,94.34K,+5.9%,1.1%
53814X102,LVO,LIVEONE INC,64040,64040,94.14K,94.14K,NEW,0.06%
74967X103,RH,RH,200,200,78.72K,78.72K,NEW,0.05%
01609W102,BABA,ALIBABA GROUP HLDG LTD,34878,800,2.96M,67.83K,+2.3%,1.9%
02079K107,GOOG,ALPHABET INC,2450,350,466.58K,66.65K,+16.7%,0.31%
037833100,AAPL,APPLE INC,9121,250,2.28M,62.61K,+2.8%,1.5%
344849104,FL,FOOT LOCKER INC,2800,2800,60.93K,60.93K,NEW,0.04%
580135101,MCD,MCDONALDS CORP,3342,200,968.81K,57.98K,+6.4%,0.64%
892356106,TSCO,TRACTOR SUPPLY CO,1000,800,53.06K,42.45K,+400%,0.03%
668771108,GEN,GEN DIGITAL INC,1500,1500,41.07K,41.07K,NEW,0.03%
690370101,BBBY,BEYOND INC,8300,8300,40.92K,40.92K,NEW,0.03%
067901108,B,BARRICK GOLD CORP,3500,2500,54.25K,38.75K,+250%,0.04%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,22810,576,1.29M,32.58K,+2.6%,0.85%
697435105,PANW,PALO ALTO NETWORKS INC,280,140,50.95K,25.47K,+100%,0.03%
22275C105,PODC,PODCASTONE INC,7524,7524,16.25K,16.25K,NEW,0.01%
29364G103,ETR,ENTERGY CORP NEW,260,130,19.71K,9.86K,+100%,0.01%
798241105,SJT,SAN JUAN BASIN RTY TR,279688,2300,1.07M,8.81K,+0.8%,0.7%
L0175J104,ASPS,ALTISOURCE PORTFOLIO SOLNS S,12000,12000,7.89K,7.89K,NEW,<.01%
21037T109,CEG,CONSTELLATION ENERGY CORP,30,30,6.71K,6.71K,NEW,<.01%
127097103,CTRA,COTERRA ENERGY INC,137917,200,3.52M,5.11K,+0.1%,2.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,2795,25,337.61K,3.02K,+0.9%,0.22%
75134P501,METCB,RAMACO RES INC,50,50,494,494,NEW,<.01%
00206R102,T,AT&T INC,141443,0,3.22M,0,NO CHANGE,2.1%
29273V100,ET,ENERGY TRANSFER L P,113656,0,2.23M,0,NO CHANGE,1.5%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,8190,0,1.8M,0,NO CHANGE,1.2%
30231G102,XOM,EXXON MOBIL CORP,16665,0,1.79M,0,NO CHANGE,1.2%
49456B101,KMI,KINDER MORGAN INC DEL,61700,0,1.69M,0,NO CHANGE,1.1%
55336V100,MPLX,MPLX LP,30823,0,1.48M,0,NO CHANGE,0.97%
532457108,LLY,ELI LILLY & CO,1900,0,1.47M,0,NO CHANGE,0.96%
58933Y105,MRK,MERCK & CO INC,12979,0,1.29M,0,NO CHANGE,0.85%
71425H100,PVL,PERMIANVILLE RTY TR,902508,0,1.22M,0,NO CHANGE,0.8%
780259305,SHEL,SHELL PLC,19345,0,1.21M,0,NO CHANGE,0.79%
478160104,JNJ,JOHNSON & JOHNSON,5079,0,734.52K,0,NO CHANGE,0.48%
742718109,PG,PROCTER AND GAMBLE CO,3597,0,603.04K,0,NO CHANGE,0.4%
36472T109,TDAY,GANNETT CO INC,109787,0,555.52K,0,NO CHANGE,0.36%
25179M103,DVN,DEVON ENERGY CORP NEW,16422,0,537.49K,0,NO CHANGE,0.35%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,1600,0,468.37K,0,NO CHANGE,0.31%
