CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G6683N103,NU,NU HLDGS LTD,25243753,4575000,261.53M,47.4M,+22.1%,29.6%
19260Q107,COIN,COINBASE GLOBAL INC,527600,133500,131M,33.15M,+33.9%,14.8%
18467V109,YOU,CLEAR SECURE INC,547978,547978,14.6M,14.6M,NEW,1.7%
58733R102,MELI,MERCADOLIBRE INC,10673,6040,18.15M,10.27M,+130.4%,2.1%
389930207,BTC,GRAYSCALE BITCOIN MINI TR BT,5861,5861,245.4K,245.4K,NEW,0.03%
81141R100,SE,SEA LTD,1100179,0,116.73M,0,NO CHANGE,13.2%
852234103,XYZ,BLOCK INC,1001500,0,85.12M,0,NO CHANGE,9.6%
G29018101,DLO,DLOCAL LTD,3891900,0,43.82M,0,NO CHANGE,5%
389637109,GBTC,GRAYSCALE BITCOIN TRUST ETF,29309,0,1.63M,0,NO CHANGE,0.18%
77664L207,ROOT,ROOT INC,1221783,-446220,88.69M,-32.39M,-26.8%,10%
770700102,HOOD,ROBINHOOD MKTS INC,3288667,-32922956,122.54M,-1.23B,-90.9%,13.9%
Total,,,,,884.05M,-1.15B,-77.3%,100%
