CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03676B102,AM,ANTERO MIDSTREAM CORP,1175000,1175000,17.73M,17.73M,NEW,24.1%
92840M102,VST,VISTRA CORP,86000,86000,11.86M,11.86M,NEW,16.1%
464288513,HYG,ISHARES TR,150000,150000,11.8M,11.8M,NEW,16%
87422Q109,TLN,TALEN ENERGY CORP,40000,40000,8.06M,8.06M,NEW,11%
13321L108,CCJ,CAMECO CORP,140000,140000,7.19M,7.19M,NEW,9.8%
26884L109,EQT,EQT CORP,117500,117500,5.42M,5.42M,NEW,7.4%
878742204,TECK,TECK RESOURCES LTD,125000,125000,5.07M,5.07M,NEW,6.9%
867224107,SU,SUNCOR ENERGY INC NEW,100100,100100,3.57M,3.57M,NEW,4.9%
21037T109,CEG,CONSTELLATION ENERGY CORP,10000,10000,2.24M,2.24M,NEW,3%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,37195,37195,522.59K,522.59K,NEW,0.71%
17253J106,CIFR,CIPHER MINING INC,14684,14684,68.13K,68.13K,NEW,0.09%
Total,,,,,73.52M,73.52M,+100%,100%
