CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
097023105,BA,BOEING CO,477000,477000,84.43M,84.43M,NEW,26.4%
G0772R208,NTB,BANK OF NT BUTTERFIELD&SON L,1793437,1793437,65.57M,65.57M,NEW,20.5%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,1773655,1773655,46.79M,46.79M,NEW,14.6%
464287655,IWM,ISHARES TR,90000,90000,19.89M,19.89M,NEW,6.2%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,100000,100000,17.65M,17.65M,NEW,5.5%
02079K305,GOOGL,ALPHABET INC,80000,80000,15.15M,15.15M,NEW,4.7%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,150000,150000,10.86M,10.86M,NEW,3.4%
44332N106,HTHT,H WORLD GROUP LTD,250000,250000,8.26M,8.26M,NEW,2.6%
09857L108,BKNG,BOOKING HOLDINGS INC,1500,1500,7.46M,7.46M,NEW,2.3%
G17977110,BUR,BURFORD CAP LTD,575000,575000,7.45M,7.45M,NEW,2.3%
482497104,BEKE,KE HLDGS INC,400000,400000,7.36M,7.36M,NEW,2.3%
90353T100,UBER,UBER TECHNOLOGIES INC,110000,110000,6.64M,6.64M,NEW,2.1%
23344D108,DADA,DADA NEXUS LTD,4613268,4613268,5.54M,5.54M,NEW,1.7%
G1466R173,BORR,BORR DRILLING LTD,1300000,1300000,5.07M,5.07M,NEW,1.6%
233051879,ASHR,DBX ETF TR,150000,150000,3.97M,3.97M,NEW,1.2%
464287184,FXI,ISHARES TR,125000,125000,3.81M,3.81M,NEW,1.2%
500767306,KWEB,KRANESHARES TR,100000,100000,2.92M,2.92M,NEW,0.91%
00218A105,ASPI,ASP ISOTOPES INC,218972,218972,989.75K,989.75K,NEW,0.31%
Total,,,,,319.78M,319.78M,+100%,100%
