CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
573874104,MRVL,MARVELL TECHNOLOGY INC,582588,582588,64.35M,64.35M,NEW,15.2%
67066G104,NVDA,NVIDIA CORPORATION,328300,328300,44.09M,44.09M,NEW,10.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,223000,223000,44.04M,44.04M,NEW,10.4%
882508104,TXN,TEXAS INSTRS INC,130900,130900,24.55M,24.55M,NEW,5.8%
032654105,ADI,ANALOG DEVICES INC,115300,115300,24.5M,24.5M,NEW,5.8%
219350105,GLW,CORNING INC,490600,490600,23.31M,23.31M,NEW,5.5%
N07059210,ASML,ASML HOLDING N V,31700,31700,21.97M,21.97M,NEW,5.2%
040413205,ANET,ARISTA NETWORKS INC,168700,168700,18.65M,18.65M,NEW,4.4%
880770102,TER,TERADYNE INC,147100,147100,18.52M,18.52M,NEW,4.4%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,199500,199500,17.22M,17.22M,NEW,4.1%
871607107,SNPS,SYNOPSYS INC,34700,34700,16.84M,16.84M,NEW,4%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,743144,743144,16.25M,16.25M,NEW,3.8%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,85400,85400,13.72M,13.72M,NEW,3.2%
19247G107,COHR,COHERENT CORP,141100,141100,13.37M,13.37M,NEW,3.2%
682189105,ON,ON SEMICONDUCTOR CORP,211385,211385,13.33M,13.33M,NEW,3.1%
032095101,APH,AMPHENOL CORP NEW,140500,140500,9.76M,9.76M,NEW,2.3%
74736K101,QRVO,QORVO INC,133100,133100,9.31M,9.31M,NEW,2.2%
654902204,NOK,NOKIA CORP,2064700,2064700,9.15M,9.15M,NEW,2.2%
038222105,AMAT,APPLIED MATLS INC,55200,55200,8.98M,8.98M,NEW,2.1%
60741F104,MBLY,MOBILEYE GLOBAL INC,349600,349600,6.96M,6.96M,NEW,1.6%
64110D104,NTAP,NETAPP INC,38500,38500,4.47M,4.47M,NEW,1.1%
Total,,,,,423.31M,423.31M,+100%,100%
