CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69349H107,TXNM,TXNM ENERGY INC,297968,297968,14.65M,14.65M,NEW,13.9%
29364G103,ETR,ENTERGY CORP NEW,148450,148450,11.26M,11.26M,NEW,10.7%
87422Q109,TLN,TALEN ENERGY CORP,51509,51509,10.38M,10.38M,NEW,9.9%
30034W106,EVRG,EVERGY INC,168364,168364,10.36M,10.36M,NEW,9.8%
98389B100,XEL,XCEL ENERGY INC,153000,153000,10.33M,10.33M,NEW,9.8%
92840M102,VST,VISTRA CORP,74193,74193,10.23M,10.23M,NEW,9.7%
65473P105,NI,NISOURCE INC,262000,262000,9.63M,9.63M,NEW,9.1%
69331C108,PCG,PG&E CORP,369900,369900,7.46M,7.46M,NEW,7.1%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,432271,432271,6.07M,6.07M,NEW,5.8%
30040W108,ES,EVERSOURCE ENERGY,88171,88171,5.06M,5.06M,NEW,4.8%
038169207,APLD,APPLIED DIGITAL CORP,364713,364713,2.79M,2.79M,NEW,2.6%
44812J104,HUT,HUT 8 CORP,117800,117800,2.41M,2.41M,NEW,2.3%
88080T104,WULF,TERAWULF INC,351994,351994,1.99M,1.99M,NEW,1.9%
17253J106,CIFR,CIPHER MINING INC,295200,295200,1.37M,1.37M,NEW,1.3%
767292105,RIOT,RIOT PLATFORMS INC,127042,127042,1.3M,1.3M,NEW,1.2%
Total,,,,,105.3M,105.3M,+100%,100%
