CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,2429412,2429412,1.26B,1.26B,NEW,3.3%
693475105,PNC,PNC FINL SVCS GROUP INC,7956766,5581102,1.6B,1.12B,+234.9%,4.2%
64110L106,NFLX,NETFLIX INC,500812,500812,600.43M,600.43M,NEW,1.6%
G51502105,JCI,JOHNSON CTLS INTL PLC,6796942,5346130,747.32M,587.81M,+368.5%,1.9%
26142V105,DKNG,DRAFTKINGS INC NEW,15003351,15003351,561.13M,561.13M,NEW,1.5%
254687106,DIS,DISNEY WALT CO,10449711,4601645,1.2B,526.89M,+78.7%,3.1%
G0403H108,AON,AON PLC,1414618,1414618,504.42M,504.42M,NEW,1.3%
09290D101,BLK,BLACKROCK INC,619492,424388,722.25M,494.78M,+217.5%,1.9%
30303M102,META,META PLATFORMS INC,929003,663504,682.24M,487.26M,+249.9%,1.8%
92826C839,V,VISA INC,2897030,1276308,988.99M,435.71M,+78.7%,2.6%
H42097107,UBS,UBS GROUP AG,13096560,10516148,534.85M,429.47M,+407.5%,1.4%
15101Q207,CLS,CELESTICA INC,1722780,1722780,424.46M,424.46M,NEW,1.1%
009158106,APD,AIR PRODS & CHEMS INC,3667119,1512965,1B,412.62M,+70.2%,2.6%
146869102,CVNA,CARVANA CO,2101241,1023265,792.67M,386.02M,+94.9%,2.1%
59522J103,MAA,MID-AMER APT CMNTYS INC,2645082,2645082,369.6M,369.6M,NEW,0.96%
007903107,AMD,ADVANCED MICRO DEVICES INC,4181269,2270698,676.49M,367.38M,+118.8%,1.8%
14040H105,COF,CAPITAL ONE FINL CORP,7388506,1717148,1.57B,365.03M,+30.3%,4.1%
48251W104,KKR,KKR & CO INC,2709024,2709024,352.04M,352.04M,NEW,0.91%
46625H100,JPM,JPMORGAN CHASE & CO.,5059060,1017026,1.6B,320.8M,+25.2%,4.1%
824348106,SHW,SHERWIN WILLIAMS CO,2881091,923341,997.61M,319.72M,+47.2%,2.6%
