CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
22052L104,CTVA,Corteva Inc,383610,383610,25.71M,25.71M,NEW,7.2%
26614N102,DD,Dupont De Nemours Inc,1207393,556827,48.54M,22.38M,+85.6%,13.6%
573284106,MLM,Martin Marietta Materials Inc,32000,32000,19.93M,19.93M,NEW,5.6%
35671D857,FCX,Freeport-McMoRan Inc,1313952,363952,66.74M,18.49M,+38.3%,18.7%
156431108,CENX,Century Aluminum Co,313376,313376,12.28M,12.28M,NEW,3.4%
06849F108,B,Barrick Mining Corp,1384920,179920,60.31M,7.84M,+14.9%,16.9%
013872106,AA,Alcoa Corp,1060523,130915,56.36M,6.96M,+14.1%,15.8%
65340P106,NXE,Nexgen Energy Ltd,579064,22593,5.33M,207.86K,+4.1%,1.5%
30231G102,XOM,Exxon Mobil Corp,215230,-1903,25.9M,-229.01K,-0.9%,7.2%
201723103,CMC,Commercial Metals Co,215166,-56819,14.89M,-3.93M,-20.9%,4.2%
277432100,EMN,Eastman Chemical Co,0,-75033,0,-4.73M,CLOSE,0%
878742204,TECK,Teck Resources Ltd,445923,-434077,21.36M,-20.79M,-49.3%,6%
13321L108,CCJ,Cameco Corp,0,-266669,0,-22.36M,CLOSE,0%
26884L109,EQT,EQT Corp,0,-481162,0,-26.19M,CLOSE,0%
G25508105,CRH,CRH PLC,0,-265000,0,-31.77M,CLOSE,0%
Total,,,,,357.34M,3.78M,+1.2%,100%
