CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
482480100,KLAC,KLA CORP,366830,354604,110.66M,106.97M,+2900.4%,1.1%
H42097107,UBS,UBS GROUP AG,2401020,1083910,119.24M,53.83M,+82.3%,1.2%
09857L108,BKNG,BOOKING HOLDINGS INC,277101,265458,49.39M,47.31M,+2280%,0.51%
595112103,MU,MICRON TECHNOLOGY INC,142187,26440,164.08M,30.51M,+22.8%,1.7%
37045V100,GM,GENERAL MTRS CO,297365,297365,22.92M,22.92M,NEW,0.24%
512807306,LRCX,LAM RESEARCH CORP,172453,47767,74.73M,20.7M,+38.3%,0.77%
59156R108,MET,METLIFE INC,250947,212953,21.23M,18.02M,+560.5%,0.22%
G3223R108,EG,EVEREST GROUP LTD,57365,50140,20.49M,17.91M,+694%,0.21%
74251V102,PFG,PRINCIPAL FINANCIAL GROUP IN,176618,157919,19.04M,17.02M,+844.5%,0.2%
174610105,CFG,CITIZENS FINL GROUP INC,265973,238703,18.64M,16.73M,+875.3%,0.19%
540424108,L,LOEWS CORP,140844,140844,15.94M,15.94M,NEW,0.16%
65249B109,NWSA,NEWS CORP NEW,668257,631975,16.59M,15.69M,+1741.8%,0.17%
G0450A105,ACGL,ARCH CAP GROUP LTD,222451,154213,21.59M,14.97M,+226%,0.22%
744320102,PRU,PRUDENTIAL FINL INC,206001,136870,22.23M,14.77M,+198%,0.23%
020002101,ALL,ALLSTATE CORP,115156,62011,27.4M,14.75M,+116.7%,0.28%
125523100,CI,THE CIGNA GROUP,86888,52382,23.95M,14.44M,+151.8%,0.25%
87165B103,SYF,SYNCHRONY FINANCIAL,187420,183033,14.25M,13.92M,+4172.2%,0.15%
92343V104,VZ,VERIZON COMMUNICATIONS INC,761041,327226,32.22M,13.85M,+75.4%,0.33%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,468931,232072,27.02M,13.37M,+98%,0.28%
74144T108,TROW,PRICE T ROWE GROUP INC,145867,116152,16.58M,13.2M,+390.9%,0.17%
880770102,TER,TERADYNE INC,39118,26860,18.92M,12.99M,+219.1%,0.19%
925652109,VICI,VICI PPTYS INC,477365,477365,12.67M,12.67M,NEW,0.13%
N97284108,NBIS,NEBIUS GROUP N.V.,48665,45465,13.44M,12.55M,+1420.8%,0.14%
20030N101,CMCSA,COMCAST CORP NEW,1070725,510409,26.28M,12.53M,+91.1%,0.27%
500754106,KHC,KRAFT HEINZ CO,600132,503888,14.17M,11.9M,+523.6%,0.15%
247361702,DAL,DELTA AIR LINES INC,124337,117554,11.65M,11.01M,+1733.1%,0.12%
89417E109,TRV,TRAVELERS COMPANIES INC,75350,32735,24.87M,10.81M,+76.8%,0.26%
199908104,FIX,COMFORT SYS USA INC,8834,5370,17.51M,10.64M,+155%,0.18%
89832Q109,TFC,TRUIST FINL CORP,314231,203835,15.65M,10.15M,+184.6%,0.16%
902973304,USB,US BANCORP,320156,160963,19.34M,9.72M,+101.1%,0.2%
91307C102,UTHR,UNITED THERAPEUTICS CORP DEL,19047,17826,10.32M,9.66M,+1460%,0.11%
26614N201,DD,DUPONT DE NEMOURS INC,76494,69808,10.38M,9.47M,+1044.2%,0.11%
23331A109,DHI,D R HORTON INC,55841,55460,9.1M,9.03M,+14556.4%,0.09%
55261F104,MTB,M & T BK CORP,42805,37447,10.19M,8.91M,+698.9%,0.1%
281020107,EIX,EDISON INTL,283835,118086,21.13M,8.79M,+71.2%,0.22%
745867101,PHM,PULTE GROUP INC,63627,63627,8.73M,8.73M,NEW,0.09%
N00985106,AER,AERCAP HOLDINGS NV,62106,59826,9.05M,8.72M,+2623.9%,0.09%
