CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,303555,303555,10.11M,10.11M,NEW,6.6%
04965N104,RNA,ATRIUM THERAPEUTICS INC,641539,641539,8.63M,8.63M,NEW,5.7%
091947101,BTGO,BITGO HOLDINGS INC-CL A,1312171,1312171,6.8M,6.8M,NEW,4.5%
464285204,IAU,ISHARES GOLD TRUST ETF,1313821,63951,99.21M,4.83M,+5.1%,65.2%
46436E718,SGOV,ISHARES 0-3 MONTH TREASURY B,47241,47241,4.76M,4.76M,NEW,3.1%
92859G608,VZLA,VIZSLA SILVER CORP,848216,848216,2.8M,2.8M,NEW,1.8%
72814P109,PLBY,PLAYBOY INC,5757807,1412290,7.02M,1.72M,+32.5%,4.6%
337185102,TRAX,FIRST TRACKS BIOTHERAPEUTICS,35340,35340,711.04K,711.04K,NEW,0.47%
G7257A105,PCAP,PROCAP ACQUISITION CORP - A,160656,8289,1.65M,85.21K,+5.4%,1.1%
47089W104,AIFC,AI FINANCIAL CORP,12701530,90000,7.43M,52.66K,+0.7%,4.9%
G7257A121,PCAPW,PROCAP ACQUISITION CORP,102735,102735,32.88K,32.88K,NEW,0.02%
499238202,USBC,USBC INC.,555325,0,173.82K,0,NO CHANGE,0.11%
G70077105,PCSC,PERCEPTIVE CAPITAL SOLUTIONS,97265,-18980,1.06M,-206.5K,-16.3%,0.7%
12233L206,BNR,BURNING ROCK BIOTECH LTD-ADR,211997,-70100,1.77M,-586.74K,-24.8%,1.2%
852312305,STAA,STAAR SURGICAL CO,0,-100000,0,-1.87M,CLOSE,0%
Total,,,,,152.15M,37.86M,+26.8%,100%
