CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92826C839,V,VISA INC,33912,26741,11.63M,9.17M,+372.9%,7%
67066G104,NVDA,NVIDIA CORPORATION,27341,27341,5.47M,5.47M,NEW,3.3%
697435105,PANW,PALO ALTO NETWORKS INC,15739,15739,5.37M,5.37M,NEW,3.2%
14040H105,COF,CAPITAL ONE FINL CORP,24400,24400,4.9M,4.9M,NEW,2.9%
852234103,XYZ,BLOCK INC,61200,61200,4.65M,4.65M,NEW,2.8%
172967424,C,CITIGROUP INC,32739,32739,4.58M,4.58M,NEW,2.7%
N00985106,AER,AERCAP HOLDINGS NV,30000,30000,4.37M,4.37M,NEW,2.6%
615369105,MCO,MOODYS CORP,9200,9200,4.17M,4.17M,NEW,2.5%
928254101,VIRT,VIRTU FINL INC,64300,64300,3.83M,3.83M,NEW,2.3%
770700102,HOOD,ROBINHOOD MKTS INC,88494,36593,8.87M,3.67M,+70.5%,5.3%
12572Q105,CME,CME GROUP INC,16471,16471,3.64M,3.64M,NEW,2.2%
00827B106,AFRM,AFFIRM HLDGS INC,43000,43000,3.51M,3.51M,NEW,2.1%
064058100,BNY,BANK OF NY MELLON CORP,22987,22987,3.32M,3.32M,NEW,2%
253868103,DLR,DIGITAL RLTY TR INC,15800,15800,2.84M,2.84M,NEW,1.7%
55354G100,MSCI,MSCI INC,5000,5000,2.8M,2.8M,NEW,1.7%
46625H100,JPM,JPMORGAN CHASE & CO,14891,8138,4.87M,2.66M,+120.5%,2.9%
57636Q104,MA,MASTERCARD INCORPORATED,9108,4715,4.68M,2.42M,+107.3%,2.8%
44916Y106,PURR,HYPERLIQUID STRATEGIES INC,291954,291954,2.3M,2.3M,NEW,1.4%
594918104,MSFT,MICROSOFT CORP,13741,5994,5.13M,2.24M,+77.4%,3.1%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,65981,65981,2.03M,2.03M,NEW,1.2%
77311W101,RKT,ROCKET COS INC,125100,125100,1.97M,1.97M,NEW,1.2%
486917107,KEEL,KEEL INFRASTRUCTURE CORP,1349632,305676,7.75M,1.75M,+29.3%,4.6%
01644J108,ALKT,ALKAMI TECHNOLOGY INC,96600,96600,1.75M,1.75M,NEW,1%
34631F102,FPS,FORGENT POWER SOLUTIONS INC,24130,24130,1.35M,1.35M,NEW,0.81%
09290D101,BLK,BLACKROCK INC,3131,1291,3.01M,1.24M,+70.2%,1.8%
09940T100,BRUN,BOOST RUN INC,28209,28209,1.09M,1.09M,NEW,0.66%
65339F101,NEE,NEXTERA ENERGY INC,7242,7242,635.63K,635.63K,NEW,0.38%
443510607,HUBB,HUBBELL INC,1476,1173,772.24K,613.71K,+387.1%,0.46%
29364G103,ETR,ENTERGY CORP NEW,5542,4976,636.55K,571.54K,+879.2%,0.38%
018802108,LNT,ALLIANT ENERGY CORP,8391,7220,640.15K,550.81K,+616.6%,0.38%
35671D857,FCX,FREEPORT MCMORAN INC,11372,8542,715.18K,537.21K,+301.8%,0.43%
739128106,POWL,POWELL INDS INC,3461,1440,991.09K,412.36K,+71.3%,0.59%
432705309,CNTN,CANTON STRATEGIC HOLDINGS IN,116451,116451,328.39K,328.39K,NEW,0.2%
30231G102,XOM,EXXON MOBIL CORP,2022,2022,276.45K,276.45K,NEW,0.17%
34354P105,FLS,FLOWSERVE CORP,4691,3085,347.88K,228.78K,+192.1%,0.21%
032095101,APH,AMPHENOL CORP,11117,749,1.96M,132.06K,+7.2%,1.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,5215,230,2.49M,109.84K,+4.6%,1.5%
19247G107,COHR,COHERENT CORP,457,176,180.27K,69.43K,+62.6%,0.11%
87615L107,TH,TARGET HOSPITALITY CORP,9559,2365,194.62K,48.15K,+32.9%,0.12%
15643U104,LEU,CENTRUS ENERGY CORP,0,-68,0,-11.8K,CLOSE,0%
025537101,AEP,AMERICAN ELEC PWR CO INC,0,-528,0,-69.21K,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-190,0,-70.63K,CLOSE,0%
G6700G107,NVT,NVENT ELEC PLC,8588,-504,1.46M,-85.48K,-5.5%,0.87%
617446448,MS,MORGAN STANLEY,9216,-663,1.93M,-138.59K,-6.7%,1.2%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,6210,-653,4.74M,-498.33K,-9.5%,2.8%
19260Q107,COIN,COINBASE GLOBAL INC,0,-3097,0,-540.77K,CLOSE,0%
512807306,LRCX,LAM RESEARCH CORP,4192,-1722,1.82M,-746.19K,-29.1%,1.1%
92864M822,SOLZ,VOLATILITY SHS TR,0,-98292,0,-821.66K,CLOSE,0%
46438R105,ETHA,ISHARES ETHEREUM TR,0,-52015,0,-823.4K,CLOSE,0%
G9675P102,WLAC,WILLOW LANE ACQUISITION CORP,0,-109975,0,-1.17M,CLOSE,0%
79466L302,CRM,SALESFORCE INC,0,-7475,0,-1.4M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,3849,-4781,1.29M,-1.6M,-55.4%,0.77%
00724F101,ADBE,ADOBE INC,0,-7367,0,-1.79M,CLOSE,0%
038222105,AMAT,APPLIED MATLS INC,2140,-3337,1.55M,-2.41M,-60.9%,0.93%
44812J104,HUT,HUT 8 CORP,0,-70940,0,-3.33M,CLOSE,0%
88080T104,WULF,TERAWULF INC,94618,-139430,2.34M,-3.44M,-59.6%,1.4%
17253J106,CIFR,CIPHER DIGITAL INC,354788,-150678,8.69M,-3.69M,-29.8%,5.2%
18452B209,CLSK,CLEANSPARK INC,360540,-273705,5.25M,-3.98M,-43.2%,3.1%
23804L103,DDOG,DATADOG INC,13706,-16769,3.57M,-4.37M,-55%,2.1%
595112103,MU,MICRON TECHNOLOGY INC,2972,-5727,3.43M,-6.61M,-65.8%,2.1%
767292105,RIOT,RIOT PLATFORMS INC,390786,-402711,10.7M,-11.03M,-50.8%,6.4%
Total,,,,,166.79M,42.98M,+55.3%,100%
