CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO,1085165,836519,71.43M,55.06M,+336.4%,42.6%
67066G104,NVDA,NVIDIA CORPORATION,37500,37500,7.5M,7.5M,NEW,4.5%
91332U101,U,UNITY SOFTWARE INC,167600,167600,4.79M,4.79M,NEW,2.9%
81141R100,SE,SEA LTD,196968,49900,18.88M,4.78M,+33.9%,11.3%
G4412G101,HLF,HERBALIFE LTD,355121,355121,4.67M,4.67M,NEW,2.8%
25809K105,DASH,DOORDASH INC,40852,19440,7.54M,3.59M,+90.8%,4.5%
G3730V105,FTAI,FTAI AVIATION LTD,18973,10963,5.13M,2.97M,+136.9%,3.1%
48138M105,JMIA,JUMIA TECHNOLOGIES AG,1163922,319836,8.21M,2.25M,+37.9%,4.9%
G6683N103,NU,NU HLDGS LTD,582400,60000,7.78M,801.6K,+11.5%,4.6%
88338K103,STKS,THE ONE GROUP HOSPITALITY INC,818390,169264,1.64M,340.22K,+26.1%,0.98%
68280L101,ONEW,ONEWATER MARINE INC,634421,0,7.15M,0,NO CHANGE,4.3%
687793109,OSCR,OSCAR HEALTH INC,240000,0,6.84M,0,NO CHANGE,4.1%
00827B106,AFRM,AFFIRM HLDGS INC,0,-39301,0,-1.8M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,30918,-4702,15.93M,-2.42M,-13.2%,9.5%
Total,,,,,167.49M,82.53M,+61.3%,100%
