CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67623C307,OPI,OFFICE PPTYS INCOME TR,5551715,5551715,94.38M,94.38M,NEW,25.4%
81761L102,SVC,SERVICE PPTYS TR,54700000,54700000,92.44M,92.44M,NEW,24.9%
934423104,WBD,WARNER BROS DISCOVERY INC,150000,150000,4M,4M,NEW,1.1%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,4550000,139000,116.43M,3.56M,+3.2%,31.4%
02156K103,OPTU,OPTIMUM COMMUNICATIONS INC,2520000,820000,3.65M,1.19M,+48.2%,0.99%
G63212107,VLOS,M3BRIGADE ACQUISITION V CORP,300300,300300,1000K,1000K,NEW,0.27%
203668108,CYH,COMMUNITY HEALTH SYS INC NEW,400000,200000,1.34M,668K,+100%,0.36%
379378201,GNL,GLOBAL NET LEASE INC,3021832,0,27.02M,0,NO CHANGE,7.3%
14040H105,COF,CAPITAL ONE FINL CORP,77100,0,15.47M,0,NO CHANGE,4.2%
720190206,PDM,PIEDMONT REALTY TRUST INC,0,-439787,0,-2.89M,CLOSE,0%
278768106,ECHO,ECHOSTAR CORP,149258,-32062,15.15M,-3.25M,-17.7%,4.1%
17253J106,CIFR,CIPHER DIGITAL INC,0,-279200,0,-3.59M,CLOSE,0%
87165B103,SYF,SYNCHRONY FINANCIAL,0,-77000,0,-5.24M,CLOSE,0%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,0,-20900,0,-5.75M,CLOSE,0%
70932M107,PFSI,PENNYMAC FINL SVCS INC NEW,0,-79000,0,-6.9M,CLOSE,0%
Total,,,,,370.88M,169.6M,+108.2%,100%
