CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
923725105,VET,VERMILION ENERGY INC,3691000,533400,34.47M,4.98M,+16.9%,23.9%
388689101,GPK,GRAPHIC PACKAGING HLDG CO,783000,423000,8.28M,4.47M,+117.5%,5.7%
38500T200,GTE,GRAN TIERRA ENERGY INC,4365420,320000,27.28M,2M,+7.9%,18.9%
18270D106,CMTG,CLAROS MTG TR INC,1846000,446000,4.34M,1.05M,+31.9%,3%
105368203,BDN,BRANDYWINE RLTY TR,3369000,-371000,10.68M,-1.18M,-9.9%,7.4%
015658107,ASTL,ALGOMA STL GROUP INC,1016000,-749000,4.11M,-3.03M,-42.4%,2.8%
382550101,GT,GOODYEAR TIRE & RUBR CO,1450000,-590000,9.57M,-3.89M,-28.9%,6.6%
550241103,LUMN,LUMEN TECHNOLOGIES INC,4202000,-755000,32.27M,-5.8M,-15.2%,22.3%
879512309,TSAT,TELESAT CORP,266350,-116300,13.48M,-5.89M,-30.4%,9.3%
Total,,,,,144.49M,-7.29M,-4.4%,100%
