CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
532457108,LLY,Eli Lilly & Co,79678,79678,95.57M,95.57M,NEW,21.4%
02079K305,GOOGL,Alphabet Inc Cl A,190258,190258,67.99M,67.99M,NEW,15.2%
88160R101,TSLA,Tesla Inc,82118,82118,34.54M,34.54M,NEW,7.7%
G3730V105,FTAI,FTAI Aviation Ltd,69991,69991,18.93M,18.93M,NEW,4.2%
22788C105,CRWD,Crowdstrike Holdings A,24215,24215,18.48M,18.48M,NEW,4.1%
46284V101,IRM,Iron Mountain Inc,113164,113164,14.29M,14.29M,NEW,3.2%
833445109,SNOW,Snowflake Inc Cl A,51779,51779,13.18M,13.18M,NEW,2.9%
023135106,AMZN,Amazon.com Inc,51168,51168,12.2M,12.2M,NEW,2.7%
458140100,INTC,Intel Corp,80191,80191,11.2M,11.2M,NEW,2.5%
57776J100,MXL,Maxlinear Inc,79729,79729,10.21M,10.21M,NEW,2.3%
01625V104,ALHC,Alignment Healthcare Inc,372715,372715,8.87M,8.87M,NEW,2%
45337C102,INCY,Incyte Corporation,75950,75950,8.61M,8.61M,NEW,1.9%
38141G104,GS,Goldman Sachs Group Inc,8508,8508,8.6M,8.6M,NEW,1.9%
218352102,CORT,Corcept Therapeutics Inc,98334,98334,8.55M,8.55M,NEW,1.9%
46090E103,QQQ,Invesco Qqq Trust Sr 1,11803,9972,8.69M,7.34M,+544.6%,1.9%
302492103,FLYW,Flywire Corp,401686,401686,7.06M,7.06M,NEW,1.6%
093712107,BE,Bloom Energy Corp Cl A,23088,23088,6.99M,6.99M,NEW,1.6%
751212101,RL,Ralph Lauren Corp Cl A,15604,15604,6.26M,6.26M,NEW,1.4%
67066G104,NVDA,Nvidia Corp,28270,28270,5.66M,5.66M,NEW,1.3%
74350P675,SQQQ,Proshrs UltraPro Sh Qqq,138231,138231,5.02M,5.02M,NEW,1.1%
852234103,XYZ,Block Inc Cl A,64789,64789,4.92M,4.92M,NEW,1.1%
369604301,GE,GE Aerospace,12713,12713,4.75M,4.75M,NEW,1.1%
36828A101,GEV,GE Vernova Inc,4212,3806,4.95M,4.47M,+937.4%,1.1%
55405Y100,MTSI,Macom Tech Solution Hldg,11689,11689,4.45M,4.45M,NEW,0.99%
512807306,LRCX,Lam Research Corp,8931,8931,3.87M,3.87M,NEW,0.87%
00287Y109,ABBV,AbbVie Inc,13706,13706,3.45M,3.45M,NEW,0.77%
83418M103,SEI,Solaris Energy Infra Inc,39462,39462,3.18M,3.18M,NEW,0.71%
595112103,MU,Micron Technology Inc,2557,2557,2.95M,2.95M,NEW,0.66%
199908104,FIX,Comfort Systems U S A,1479,1479,2.93M,2.93M,NEW,0.66%
617446448,MS,Morgan Stanley,13629,13629,2.85M,2.85M,NEW,0.64%
87305R109,TTMI,T T M Technologies Inc,12748,12748,2.38M,2.38M,NEW,0.53%
032095101,APH,Amphenol Corp Cl A,12804,12804,2.26M,2.26M,NEW,0.5%
28618M106,ESI,Element Solutions Inc,45662,45662,2.18M,2.18M,NEW,0.49%
149123101,CAT,Caterpillar Inc,2657,2041,2.83M,2.17M,+331.3%,0.63%
031652100,AMKR,Amkor Technology Inc,25177,25177,2.17M,2.17M,NEW,0.49%
00827B106,AFRM,Affirm Holdings Inc Cl A,26576,26576,2.17M,2.17M,NEW,0.48%
55306N104,MKSI,MKS Inc,3402,3402,1.51M,1.51M,NEW,0.34%
607828100,MOD,Modine Mfg Co,5307,5307,1.42M,1.42M,NEW,0.32%
861012102,STM,StmicroelectronicsNV Adr,17488,17488,1.31M,1.31M,NEW,0.29%
346375108,FORM,Formfactor Inc,7819,7819,1.25M,1.25M,NEW,0.28%
770700102,HOOD,Robinhood Markets Cl A,12188,12188,1.22M,1.22M,NEW,0.27%
300426103,ECG,Everus Construction Grup,7349,7349,1.22M,1.22M,NEW,0.27%
82706C108,SIMO,Silicon Motion Tech Ads,3558,3558,1.19M,1.19M,NEW,0.27%
518415104,LSCC,Lattice Semiconductor,7740,7740,1.18M,1.18M,NEW,0.26%
880770102,TER,Teradyne Inc,2366,2366,1.14M,1.14M,NEW,0.26%
192422103,CGNX,Cognex Corp,15714,15714,1.14M,1.14M,NEW,0.25%
443201108,HWM,Howmet Aerospace Inc,4021,4021,1.08M,1.08M,NEW,0.24%
G7997R103,STX,Seagate Technology Hldgs,1084,1084,1.05M,1.05M,NEW,0.23%
573874104,MRVL,Marvell Technology Inc,3439,3439,1.02M,1.02M,NEW,0.23%
032654105,ADI,Analog Devices Inc,2331,2331,925.8K,925.8K,NEW,0.21%
14149Y108,CAH,Cardinal Health Inc,3350,3350,795.83K,795.83K,NEW,0.18%
482480100,KLAC,KLA Corp,2505,2505,755.78K,755.78K,NEW,0.17%
172967424,C,Citigroup Inc,4552,4552,637.1K,637.1K,NEW,0.14%
