CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92528V200,VMET,VERSAMET ROYALTIES CORP,1027453,1027453,12.64M,12.64M,NEW,5.8%
152006102,CGAU,CENTERRA GOLD INC,492816,492816,7.81M,7.81M,NEW,3.6%
878742204,TECK,TECK RESOURCES LTD,112539,112539,6.69M,6.69M,NEW,3%
74022D407,PDS,PRECISION DRILLING CORP,62689,62689,4.81M,4.81M,NEW,2.2%
343412102,FLR,FLUOR CORP,91333,91333,4.78M,4.78M,NEW,2.2%
13321L108,CCJ,CAMECO CORP,78252,46874,7.97M,4.77M,+149.4%,3.6%
125269100,CF,CF INDUSTRIES HOLD,40695,40695,4.41M,4.41M,NEW,2%
284902509,EGO,ELDORADO GOLD CORP NEW,141112,141112,4.39M,4.39M,NEW,2%
248356107,DNN,DENISON MINES CORP,1400127,1400127,4.29M,4.29M,NEW,2%
675222400,OGC,OCEANAGOLD CORP,166563,166563,4.17M,4.17M,NEW,1.9%
443628102,HBM,HUDBAY MINERALS INC,170937,170937,4.03M,4.03M,NEW,1.8%
61945C103,MOS,MOSAIC CO,97820,97820,2.07M,2.07M,NEW,0.94%
65340P106,NXE,NEXGEN ENERGY LTD,187926,187926,1.76M,1.76M,NEW,0.8%
H5012F103,LAR,LITHIUM ARGENTINA AG,396732,175415,3.28M,1.45M,+79.3%,1.5%
156431108,CENX,CENTURY ALUM CO,83768,14931,3.85M,686.98K,+21.7%,1.8%
833635105,SQM,SOCIEDAD QUIMICA Y MINERA DE,135933,8554,10.06M,633.34K,+6.7%,4.6%
59151K108,MEOH,METHANEX CORP,96548,4441,4.46M,204.93K,+4.8%,2%
83056P715,SKE,SKEENA RES LTD NEW,2775640,0,73.91M,0,NO CHANGE,33.7%
83419D201,SLSR,SOLARIS RES INC,2700000,0,22.63M,0,NO CHANGE,10.3%
46655E100,DC,DAKOTA GOLD CORP,4181766,0,17.81M,0,NO CHANGE,8.1%
35671D857,FCX,FREEPORT MCMORAN INC,64765,-128,4.07M,-8.05K,-0.2%,1.9%
82835P103,SVM,SILVERCORP METALS INC,557663,-104307,5.64M,-1.06M,-15.8%,2.6%
351858105,FNV,FRANCO NEV CORP,9377,-5456,1.95M,-1.14M,-36.8%,0.89%
714266103,PPTA,PERPETUA RESOURCES CORP,0,-56935,0,-1.6M,CLOSE,0%
384313607,EAF,GRAFTECH INTL LTD SR NT,0,-245668,0,-1.67M,CLOSE,0%
64782A107,NEWP,NEW PAC METALS CORP,0,-616769,0,-2.56M,CLOSE,0%
29446Y502,EQX,EQUINOX GOLD CORP,0,-211493,0,-3.05M,CLOSE,0%
858119100,STLD,STEEL DYNAMICS INC,8485,-17865,1.95M,-4.1M,-67.8%,0.89%
784730103,SSRM,SSR MINING IN,0,-161838,0,-4.75M,CLOSE,0%
450913108,IAG,IAMGOLD CORP,0,-389851,0,-7.33M,CLOSE,0%
G0378L100,AU,ANGLOGOLD ASHANTI PLC,0,-81189,0,-7.9M,CLOSE,0%
44955L106,IAUX,I-80 GOLD CORP,0,-12537281,0,-19.01M,CLOSE,0%
Total,,,,,219.44M,15.43M,+7%,100%
