CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
595112103,MU,MICRON TECHNOLOGY INC,10000,10000,11.54M,11.54M,NEW,5%
05464T104,AXSM,AXSOME THERAPEUTICS INC.,44000,44000,10.77M,10.77M,NEW,4.6%
67066G104,NVDA,NVIDIA CORPORATION,65268,40282,13.06M,8.06M,+161.2%,5.6%
336433107,FSLR,FIRST SOLAR INC,32500,32500,7.67M,7.67M,NEW,3.3%
433313103,HNGE,HINGE HEALTH INC,136065,91065,11.29M,7.56M,+202.4%,4.9%
778920306,SHAZ,SHARONAI HOLDINGS INC,106874,86874,9.05M,7.35M,+434.4%,3.9%
17306X102,CTRN,CITI TRENDS INC,122500,122500,7.09M,7.09M,NEW,3%
79466L302,CRM,SALESFORCE INC,25000,25000,3.92M,3.92M,NEW,1.7%
833445109,SNOW,SNOWFLAKE INC,24501,15000,6.24M,3.82M,+157.9%,2.7%
30303M102,META,META PLATFORMS INC,5000,5000,2.82M,2.82M,NEW,1.2%
25400W102,APPS,DIGITAL TURBINE INC,195000,195000,2.52M,2.52M,NEW,1.1%
03676C100,ATEX,ANTERIX INC,154377,19377,15.89M,1.99M,+14.4%,6.8%
125141101,CECO,CECO ENVIRONMENTAL CORP,87460,20894,7.94M,1.9M,+31.4%,3.4%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,95000,95000,1.87M,1.87M,NEW,0.8%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,40275,1799,38.87M,1.74M,+4.7%,16.7%
500600101,KOPN,KOPIN CORP,350000,350000,1.57M,1.57M,NEW,0.67%
79589L106,IOT,SAMSARA INC,40000,40000,1.3M,1.3M,NEW,0.56%
023135106,AMZN,AMAZON COM INC,39251,5000,9.36M,1.19M,+14.6%,4%
74587B101,PLSE,PULSE BIOSCIENCES INC,98054,40000,2.72M,1.11M,+68.9%,1.2%
82728C102,SVCO,SILVACO GROUP INC,75000,75000,1.03M,1.03M,NEW,0.44%
093919108,AIB,AIB DATA CENTERS INC,479550,479550,1.02M,1.02M,NEW,0.44%
19247G107,COHR,COHERENT CORP,2500,2500,986.17K,986.18K,NEW,0.42%
401382106,GMTL,GUARDIAN METAL RES PLC,70000,70000,980.7K,980.7K,NEW,0.42%
501270102,KRUS,KURA SUSHI USA INC,65000,15000,3.74M,863.4K,+30%,1.6%
29772L108,ETON,ETON PHARMACEUTICALS INC,208192,23192,7.54M,839.55K,+12.5%,3.2%
33829M101,FIVE,FIVE BELOW INC,42798,3500,7.69M,629.26K,+8.9%,3.3%
70614W100,PTON,PELOTON INTERACTIVE INC,631629,100000,3.73M,591K,+18.8%,1.6%
09940T100,BRUN,BOOST RUN INC,15000,15000,582.15K,582.15K,NEW,0.25%
032332504,ASYS,AMTECH SYS INC,25000,25000,577K,577K,NEW,0.25%
68236X100,STLN,THE ONCOLOGY INSTITUTE INC,100000,100000,543K,543K,NEW,0.23%
23282W605,CYTK,CYTOKINETICS INC,2500,2500,212.97K,212.97K,NEW,0.09%
40637H109,HALO,HALOZYME THERAPEUTICS INC,116416,0,9.11M,0,NO CHANGE,3.9%
09352U108,BLND,BLEND LABS INC,772689,0,1.32M,0,NO CHANGE,0.57%
60741F104,MBLY,MOBILEYE GLOBAL INC,50000,0,484K,0,NO CHANGE,0.21%
753040104,ROC,RANK ONE COMPUTING CORP,76681,-98319,404.11K,-518.14K,-56.2%,0.17%
532275104,LWLG,LIGHTWAVE LOGIC INC,0,-75000,0,-527.25K,CLOSE,0%
64134X201,NRXS,NEURAXIS INC,115000,-75000,840.65K,-548.25K,-39.5%,0.36%
B5950S113,MDXH,MDXHEALTH SA,0,-238668,0,-548.94K,CLOSE,0%
610236101,MNRO,MONRO INC,143663,-35000,2.46M,-598.85K,-19.6%,1.1%
30049H102,EVLV,EVOLV TECHNOLOGIES HLDNGS IN,0,-133619,0,-808.39K,CLOSE,0%
855244109,SBUX,STARBUCKS CORP,0,-10100,0,-904.86K,CLOSE,0%
733245104,PRCH,PORCH GROUP INC,189900,-80000,2.86M,-1.2M,-29.6%,1.2%
G65773106,NAT,NORDIC AMERICAN TANKERS LIMI,0,-225000,0,-1.32M,CLOSE,0%
25278X109,FANG,DIAMONDBACK ENERGY INC,0,-7500,0,-1.48M,CLOSE,0%
651718504,NPKI,NPK INTERNATIONAL INC,0,-127754,0,-1.85M,CLOSE,0%
97785W106,WOLF,WOLFSPEED INC,0,-140000,0,-2.28M,CLOSE,0%
578605107,MEC,MAYVILLE ENGR CO INC,70000,-70000,2.62M,-2.62M,-50%,1.1%
682189105,ON,ON SEMICONDUCTOR CORP,0,-57500,0,-3.56M,CLOSE,0%
607828100,MOD,MODINE MFG CO,12866,-13374,3.44M,-3.57M,-51%,1.5%
94419L101,W,WAYFAIR INC,26227,-40000,2.42M,-3.7M,-60.4%,1%
90138F102,TWLO,TWILIO INC,36483,-19206,7.53M,-3.96M,-34.5%,3.2%
099406100,BOOT,BOOT BARN HLDGS INC,0,-28104,0,-4.11M,CLOSE,0%
16411R208,LNG,CHENIERE ENERGY INC,0,-15000,0,-4.26M,CLOSE,0%
532457108,LLY,ELI LILLY & CO,0,-5231,0,-4.81M,CLOSE,0%
64110L106,NFLX,NETFLIX INC.,0,-60200,0,-5.79M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,5645,-13541,4.84M,-11.62M,-70.6%,2.1%
Total,,,,,232.42M,34.03M,+23.9%,100%
