CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
40434L105,HPQ,HP INC,40500,30550,888.57K,670.27K,+307%,0.71%
60510V108,AVO,MISSION PRODUCE INC,47839,47839,564.02K,564.02K,NEW,0.45%
351858105,FNV,FRANCO NEV CORP F,6695,1405,1.4M,292.86K,+26.6%,1.1%
086516101,BBY,BEST BUY INC,2950,2950,223.85K,223.85K,NEW,0.18%
780287108,RGLD,ROYAL GOLD INC,11885,1030,2.37M,205.6K,+9.5%,1.9%
G0250X149,AMCR,AMCOR PLC F,34431,4535,1.49M,196.59K,+15.2%,1.2%
370334104,GIS,GENERAL MLS INC,5675,5275,197.49K,183.57K,+1318.8%,0.16%
532257805,LPTH,LIGHTPATH TECHNOLOGIES ICLASS A,11125,11125,181.89K,181.89K,NEW,0.15%
00217D100,ASTS,AST SpaceMobile Inc,1875,1675,166.61K,148.84K,+837.5%,0.13%
422806109,HEI,HEICO CORP NEW,406,406,144.61K,144.61K,NEW,0.12%
55336V100,MPLX,MPLX LP LP,2515,2515,141.67K,141.67K,NEW,0.11%
43849R105,HONA,HONEYWELL AEROSPACE INC,614,614,135.74K,135.74K,NEW,0.11%
292765104,EPAC,ENERPAC TOOL GROUP CORP CLASS A,3590,3590,128.74K,128.74K,NEW,0.1%
31816X106,FLY,FIREFLY AEROSPACE INC,3510,3510,103.19K,103.19K,NEW,0.08%
46125A100,LUNR,INTUITIVE MACHS INC CLASS A,4705,4705,100.64K,100.64K,NEW,0.08%
058498106,BALL,BALL CORP,2490,1175,155.38K,73.32K,+89.4%,0.12%
052769106,ADSK,AUTODESK INC,612,289,118.98K,56.19K,+89.5%,0.1%
896239100,TRMB,TRIMBLE INC,2354,1069,120.48K,54.71K,+83.2%,0.1%
30231G102,XOM,EXXON MOBIL CORP,10131,385,1.39M,52.64K,+4%,1.1%
428291108,HXL,HEXCEL CORP NEW,1554,519,155.49K,51.93K,+50.1%,0.12%
478160104,JNJ,JOHNSON & JOHNSON,3470,200,881.28K,50.79K,+6.1%,0.7%
65487X102,NOAH,NORTHERN OIL & GAS INC,2350,2350,42.65K,42.65K,NEW,0.03%
149123101,CAT,Caterpillar Inc,540,40,575.05K,42.6K,+8%,0.46%
369604301,GE,GE AEROSPACE,111,111,41.48K,41.48K,NEW,0.03%
742718109,PG,PROCTER & GAMBLE CO,6735,220,987.62K,32.26K,+3.4%,0.79%
36828A101,GEV,GE VERNOVA INC,27,27,31.72K,31.72K,NEW,0.03%
110122108,BMY,BRISTOL MYERS SQUIBB CO,19245,480,1.11M,27.66K,+2.6%,0.89%
025537101,AEP,AMERICAN ELEC PWR CO INC,200,200,27.36K,27.36K,NEW,0.02%
910873405,UMC,UNITED MICROELECTRONIC FSPONSORED ADR 1 ADR REPS 5 ORD SHS,7600,1000,206.8K,27.21K,+15.2%,0.17%
Y27183600,GSL,GLOBAL SHIP LEASE INC FCLASS CLASS A,20575,670,773.62K,25.19K,+3.4%,0.62%
