CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G9600F104,VGNT,VERSIGENT PLC,172483,172483,7.25M,7.25M,NEW,3.2%
612160101,AIRJ,AIRJOULE TECHNOLOGIES CORP,2280601,99069,12.63M,548.84K,+4.5%,5.6%
278768106,ECHO,ECHOSTAR CORP,422000,0,42.83M,0,NO CHANGE,19%
023135106,AMZN,AMAZON COM INC,121300,0,28.91M,0,NO CHANGE,12.8%
594918104,MSFT,MICROSOFT CORP,67600,0,25.22M,0,NO CHANGE,11.2%
N07059210,ASML,ASML HLDG NV,12000,0,23.87M,0,NO CHANGE,10.6%
920253101,VMI,VALMONT INDS INC,33000,0,19.06M,0,NO CHANGE,8.5%
82846H405,QXO,QXO INC,795000,0,13.74M,0,NO CHANGE,6.1%
368736104,GNRC,GENERAC HLDGS INC,32000,0,9.37M,0,NO CHANGE,4.2%
34354P105,FLS,FLOWSERVE CORP,125000,0,9.27M,0,NO CHANGE,4.1%
893641100,TDG,TRANSDIGM GROUP INC,6200,0,8.26M,0,NO CHANGE,3.7%
03674X106,AR,ANTERO RESOURCES CORP,213269,0,7.49M,0,NO CHANGE,3.3%
02079K305,GOOGL,ALPHABET INC,20100,0,7.18M,0,NO CHANGE,3.2%
165167735,EXE,EXPAND ENERGY CORPORATION,69700,0,6.36M,0,NO CHANGE,2.8%
92537N108,VRT,VERTIV HOLDINGS CO,10800,0,3.62M,0,NO CHANGE,1.6%
71385M107,PRM,PERIMETER SOLUTIONS INC,0,-58737,0,-1.43M,CLOSE,0%
Total,,,,,225.06M,6.36M,+3.2%,100%
