CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29364G103,ETR,ENTERGY CORP NEW,117500,117500,13.5M,13.5M,NEW,2%
78463V107,GLD,SPDR GOLD TR,40000,35000,14.74M,12.89M,+700%,2.2%
816850101,SMTC,SEMTECH CORP,69200,69200,11.2M,11.2M,NEW,1.7%
023135106,AMZN,AMAZON COM INC,39285,37933,9.36M,9.04M,+2805.7%,1.4%
02079K305,GOOGL,ALPHABET INC,42570,19346,15.21M,6.91M,+83.3%,2.3%
192576106,COHU,COHU INC,79846,79846,5.9M,5.9M,NEW,0.87%
345370860,F,FORD MTR CO,406323,348164,5.65M,4.84M,+598.6%,0.84%
23331A109,DHI,D R HORTON INC,28687,28687,4.67M,4.67M,NEW,0.69%
486917107,KEEL,KEEL INFRASTRUCTURE CORP,742020,742020,4.26M,4.26M,NEW,0.63%
65473P105,NI,NISOURCE INC,160000,85000,7.61M,4.04M,+113.3%,1.1%
77543R102,ROKU,ROKU INC,28608,28608,3.95M,3.95M,NEW,0.59%
012653101,ALB,ALBEMARLE CORP,31562,26593,4.26M,3.59M,+535.2%,0.63%
29476L107,EQR,EQUITY RESIDENTIAL,47199,47199,3.21M,3.21M,NEW,0.47%
446150104,HBAN,HUNTINGTON BANCSHARES INC,179615,179615,3.18M,3.18M,NEW,0.47%
750940108,RAL,RALLIANT CORP,42948,42948,3.16M,3.16M,NEW,0.47%
89832Q109,TFC,TRUIST FINL CORP,78425,63273,3.91M,3.15M,+417.6%,0.58%
573874104,MRVL,MARVELL TECHNOLOGY INC,13793,10214,4.11M,3.04M,+285.4%,0.61%
093712107,BE,BLOOM ENERGY CORP,10000,10000,3.03M,3.03M,NEW,0.45%
617446448,MS,MORGAN STANLEY,15224,13338,3.18M,2.79M,+707.2%,0.47%
G8068L108,SN,SHARKNINJA INC,18152,18152,2.76M,2.76M,NEW,0.41%
171779309,CIEN,CIENA CORP,7147,5634,3.51M,2.76M,+372.4%,0.52%
718546104,PSX,PHILLIPS 66,21157,15733,3.58M,2.66M,+290.1%,0.53%
97785W106,WOLF,WOLFSPEED INC,54648,54648,2.64M,2.64M,NEW,0.39%
20825C104,COP,CONOCOPHILLIPS,26920,24634,2.8M,2.56M,+1077.6%,0.41%
032654105,ADI,ANALOG DEVICES INC,9889,6125,3.93M,2.43M,+162.7%,0.58%
674599105,OXY,OCCIDENTAL PETE CORP,58306,50070,2.83M,2.43M,+607.9%,0.42%
83406F102,SOFI,SOFI TECHNOLOGIES INC,153684,133558,2.76M,2.39M,+663.6%,0.41%
882681109,TXRH,TEXAS ROADHOUSE INC,12079,12079,2.33M,2.33M,NEW,0.35%
743315103,PGR,PROGRESSIVE CORP,12181,10400,2.66M,2.27M,+583.9%,0.39%
52603A208,LC,HAPPEN INC,108213,108213,2.24M,2.24M,NEW,0.33%
25809K105,DASH,DOORDASH INC,13486,11961,2.49M,2.21M,+784.3%,0.37%
01741R102,ATI,ATI INC,15144,11189,2.98M,2.21M,+282.9%,0.44%
778296103,ROST,ROSS STORES INC,17719,10260,3.77M,2.18M,+137.6%,0.56%
26441C204,DUK,DUKE ENERGY CORP NEW,17226,17226,2.18M,2.18M,NEW,0.32%
