CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
98386P102,XE,X-ENERGY INC,14475734,14475734,265.77M,265.77M,NEW,61.1%
92840M102,VST,VISTRA CORP,295956,130956,46.95M,20.77M,+79.4%,10.8%
629377508,NRG,NRG ENERGY INC,130000,130000,18.99M,18.99M,NEW,4.4%
34354P105,FLS,FLOWSERVE CORP,222600,222600,16.51M,16.51M,NEW,3.8%
023939101,AMTM,AMENTUM HOLDINGS INC,2037890,425164,42.12M,8.79M,+26.4%,9.7%
21037T109,CEG,CONSTELLATION ENERGY CORP,128040,5040,31.8M,1.25M,+4.1%,7.3%
N85083108,NKLR,TERRA INNOVATUM GLOBAL NV,2617152,82812,12.88M,407.44K,+3.3%,3%
91688R108,URG,UR-ENERGY INC,0,-1599286,0,-2.38M,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,0,-15000,0,-13.09M,CLOSE,0%
Total,,,,,435.02M,317.01M,+246.8%,100%
