CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
595112103,MU,MICRON TECHNOLOGY INC,4828786,4811424,5.57B,5.55B,+27712.4%,27.6%
80004C200,SNDK,SANDISK CORP,2495344,1355225,5.67B,3.08B,+118.9%,28.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,2649035,2626612,1.27B,1.25B,+11713.9%,6.3%
N97284108,NBIS,NEBIUS GROUP N.V.,4464260,4464260,1.23B,1.23B,NEW,6.1%
861012102,STM,STMICROELECTRONICS,7802700,7802700,584.34M,584.34M,NEW,2.9%
778920306,SHAZ,SHARONAI HOLDINGS INC,5396127,4600019,456.84M,389.44M,+577.8%,2.3%
767292105,RIOT,RIOT PLATFORMS INC,17100000,5597863,468.2M,153.27M,+48.7%,2.3%
486917107,KEEL,KEEL INFRASTRUCTURE CORP,26451393,19699148,151.83M,113.07M,+291.7%,0.75%
038169207,APLD,APPLIED DIGITAL CORP,15384616,1906178,469.02M,58.11M,+14.1%,2.3%
21873S108,CRWV,COREWEAVE INC,7479558,301639,744.52M,30.03M,+4.2%,3.7%
433921103,HIVE,HIVE DIGITAL TECHNOLOGIES LT,9133726,5742179,33.25M,20.9M,+169.3%,0.16%
928298108,VSH,VISHAY INTERTECHNOLOGY INC,375000,375000,20.17M,20.17M,NEW,0.1%
74347M108,PUMP,PROPETRO HLDG CORP,1960382,1050082,28.11M,15.06M,+115.4%,0.14%
05614L209,BW,BABCOCK & WILCOX ENTERPRISES,2027451,673551,28.59M,9.5M,+49.7%,0.14%
15675D103,CBRS,CEREBRAS SYSTEMS INC,10000,10000,2.21M,2.21M,NEW,0.01%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,1129621,24070,90.89M,1.94M,+2.2%,0.45%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,26008473,0,665.56M,0,NO CHANGE,3.3%
18452B209,CLSK,CLEANSPARK INC,12276139,0,178.62M,0,NO CHANGE,0.89%
G96115103,WYFI,WHITEFIBER INC,1757600,0,68.28M,0,NO CHANGE,0.34%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,3439450,0,54.58M,0,NO CHANGE,0.27%
67066G104,NVDA,NVIDIA CORPORATION,0,-2855,0,-497.91K,CLOSE,0%
219350105,GLW,CORNING INC,0,-5283,0,-718.33K,CLOSE,0%
N07059210,ASML,ASML HLDG NV N Y REGISTRY,0,-4633,0,-6.12M,CLOSE,0%
458140100,INTC,INTEL CORP,0,-202344,0,-8.93M,CLOSE,0%
92189F676,SMH,VANECK ETF TRUST,0,-26950,0,-10.33M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-99138,0,-20.17M,CLOSE,0%
73933G202,PSIX,POWER SOLUTIONS INTL INC,0,-432300,0,-26.32M,CLOSE,0%
35834F104,TE,T1 ENERGY INC,4900000,-5100000,46.45M,-48.35M,-51%,0.23%
093712107,BE,BLOOM ENERGY CORP,6272808,-212600,1.9B,-64.35M,-3.3%,9.4%
Q4982L109,IREN,IREN LIMITED,9474099,-2224736,433.25M,-101.74M,-19%,2.1%
Total,,,,,20.17B,12.23B,+317.3%,100%
