CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
80004C200,SNDK,SANDISK CORP,710,710,1.61M,1.61M,NEW,1.2%
443628102,HBM,HUDBAY MINERALS INC,65600,65600,1.55M,1.55M,NEW,1.1%
552953101,MGM,MGM RESORTS INTERNATIONAL,21000,21000,1M,1M,NEW,0.72%
46435U135,IHAK,ISHARES TR,32723,9164,1.99M,556.35K,+38.9%,1.4%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,20400,20400,522.04K,522.04K,NEW,0.37%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,2211,344,1.11M,172.13K,+18.4%,0.79%
66510M204,NAK,NORTHERN DYNASTY MINERALS LT,2046000,0,3.93M,0,NO CHANGE,2.8%
987084100,YSS,YORK SPACE SYSTEMS INC,110651,0,2.72M,0,NO CHANGE,2%
46428Q109,SLV,ISHARES SILVER TR,27700,0,1.48M,0,NO CHANGE,1.1%
87256C101,TKO,TKO GROUP HOLDINGS INC,5300,0,1.07M,0,NO CHANGE,0.76%
85208R101,CEF,SPROTT ASSET MANAGEMENT LP,15000,0,603.45K,0,NO CHANGE,0.43%
46137V142,PHO,INVESCO EXCHANGE TRADED FD T,7400,0,511.19K,0,NO CHANGE,0.37%
G25508105,CRH,CRH PLC,0,-8400,0,-883.01K,CLOSE,0%
78463V107,GLD,SPDR GOLD TR,321659,-3342,118.49M,-1.23M,-1%,84.9%
44812J104,HUT,HUT 8 CORP,0,-67550,0,-3.17M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,0,-33810,0,-5.9M,CLOSE,0%
N00985106,AER,AERCAP HOLDINGS NV,0,-44900,0,-6.16M,CLOSE,0%
87422Q109,TLN,TALEN ENERGY CORP,0,-21500,0,-6.86M,CLOSE,0%
907818108,UNP,UNION PAC CORP,0,-31338,0,-7.6M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,4700,-33580,1.12M,-8M,-87.7%,0.8%
438516106,HON,HONEYWELL INTL INC,0,-37441,0,-8.46M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,4047,-18491,1.93M,-8.83M,-82%,1.4%
Total,,,,,139.64M,-51.68M,-25.1%,100%
