CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
831865209,AOS,SMITH A O CORP,1200700,416800,75.31M,26.14M,+53.2%,16.1%
G3223R108,EG,EVEREST GROUP LTD,281800,57100,100.67M,20.4M,+25.4%,21.5%
G5960L103,MDT,MEDTRONIC PLC,729900,232400,57.1M,18.18M,+46.7%,12.2%
40434L105,HPQ,HP INC,2043100,0,44.83M,0,NO CHANGE,9.6%
92939U106,WEC,WEC ENERGY GROUP INC,291300,0,34.02M,0,NO CHANGE,7.3%
00724F101,ADBE,ADOBE INC,38000,0,7.79M,0,NO CHANGE,1.7%
651639106,NEM,NEWMONT CORP,26800,0,2.5M,0,NO CHANGE,0.54%
770323103,RHI,ROBERT HALF INC.,928900,-1000,28.52M,-30.7K,-0.1%,6.1%
G02602103,DOX,AMDOCS LTD,130500,-57700,6.6M,-2.92M,-30.7%,1.4%
717081103,PFE,PFIZER INC,1656200,-123900,39.88M,-2.98M,-7%,8.5%
26875P101,EOG,EOG RES INC,267700,-308400,34.73M,-40.01M,-53.5%,7.4%
H1467J104,CB,CHUBB LIMITED,103800,-119500,35.37M,-40.72M,-53.5%,7.6%
Total,,,,,467.3M,-21.94M,-4.4%,100%
