"date","correlation","stocks"
"2016-01-04","0.2901","83"
"2016-01-05","0.261","83"
"2016-01-06","0.2707","83"
"2016-01-07","0.2923","83"
"2016-01-08","0.2953","83"
"2016-01-11","0.2931","83"
"2016-01-12","0.2972","83"
"2016-01-13","0.3067","83"
"2016-01-14","0.3082","83"
"2016-01-15","0.321","83"
"2016-01-19","0.3184","83"
"2016-01-20","0.3224","83"
"2016-01-21","0.3306","83"
"2016-01-22","0.3532","83"
"2016-01-25","0.352","83"
"2016-01-26","0.3605","83"
"2016-01-27","0.3593","83"
"2016-01-28","0.3535","83"
"2016-01-29","0.373","83"
"2016-02-01","0.3821","83"
"2016-02-02","0.3847","83"
"2016-02-03","0.3739","83"
"2016-02-04","0.3636","83"
"2016-02-05","0.3725","83"
"2016-02-08","0.3986","83"
"2016-02-09","0.404","83"
"2016-02-10","0.4057","83"
"2016-02-11","0.4055","83"
"2016-02-12","0.4114","83"
"2016-02-16","0.4244","83"
"2016-02-17","0.4302","83"
"2016-02-18","0.4276","83"
"2016-02-19","0.4244","83"
"2016-02-22","0.4327","83"
"2016-02-23","0.4314","83"
"2016-02-24","0.4362","83"
"2016-02-25","0.4448","83"
"2016-02-26","0.4457","83"
"2016-02-29","0.4428","83"
"2016-03-01","0.4465","83"
"2016-03-02","0.448","83"
"2016-03-03","0.4476","83"
"2016-03-04","0.4489","83"
"2016-03-07","0.446","83"
"2016-03-08","0.446","83"
"2016-03-09","0.4454","83"
"2016-03-10","0.447","83"
"2016-03-11","0.4478","84"
"2016-03-14","0.4498","84"
"2016-03-15","0.4451","84"
"2016-03-16","0.445","84"
"2016-03-17","0.4397","84"
"2016-03-18","0.4393","84"
"2016-03-21","0.4394","84"
"2016-03-22","0.4309","84"
"2016-03-23","0.4318","84"
"2016-03-24","0.4313","84"
"2016-03-28","0.4294","84"
"2016-03-29","0.4305","84"
"2016-03-30","0.4327","84"
"2016-03-31","0.4281","84"
"2016-04-01","0.4246","84"
"2016-04-04","0.4198","84"
"2016-04-05","0.4035","84"
"2016-04-06","0.4025","84"
"2016-04-07","0.402","84"
"2016-04-08","0.3882","84"
"2016-04-11","0.3858","84"
"2016-04-12","0.3856","84"
"2016-04-13","0.3876","84"
"2016-04-14","0.3779","84"
