"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001562087","Thiel Macro","Peter Thiel","Thiel Macro LLC","","https://www.linkedin.com/company/thiel-macro"
"0001067983","Berkshire Hathaway","Warren Buffett","Berkshire Hathaway Inc","","https://www.berkshirehathaway.com/"
"0001029160","Soros Fund Management","George Soros","Soros Fund Management LLC","","https://sorosfundmgmt.com/"
"0001336528","Pershing Square","Bill Ackman","Pershing Square Capital Management, L.P.","","https://pershingsquareholdings.com/"
"0002012383","BlackRock","Larry Fink","BlackRock, Inc.","","https://www.blackrock.com/"
"0001649339","Scion Asset Management","Michael Burry","Scion Asset Management, LLC","","https://www.scionasset.com/"
"0001423053","Citadel Advisors","Ken Griffin","Citadel Advisors LLC","","https://www.citadel.com/"
"0001350694","Bridgewater Associates","Ray Dalio","Bridgewater Associates, LP","","https://www.bridgewater.com/"
"0001037389","Renaissance","Jim Simons","Renaissance Technologies LLC","","https://www.rentec.com/"
"0001603466","Point72","Steven Cohen","Point72 Asset Management, L.P.","","https://point72.com/"
"0000921669","Icahn Enterprises","Carl Icahn","Carl C. Icahn","","https://www.ielp.com/"
"0000315066","FMR","Abigail Johnson","FMR LLC","","https://www.fidelity.com/"
"0001166559","Gates Foundation Trust","Bill Gates","Gates Foundation Trust","","https://www.gatesfoundation.org/about/financials/foundation-trust"
"0001035674","Paulson & Co.","John Paulson","Paulson & Co. Inc.","","https://paulsonco.com/"
"0001318757","Marshall Wace","Paul Marshall & Ian Wace","Marshall Wace, LLP","","https://www.mwam.com/"
"0001908450","Newlands","Jan Koum","Newlands Management Operations LLC","","https://www.thenewlands.com/"
"0001540358","a16z","Ben Horowitz","a16z Capital Management, L.L.C.","","https://a16z.com/"
"0001656456","Appaloosa","David Tepper","Appaloosa LP","","https://www.appaloosawm.com/"
"0001214822","Steadfast Capital Management","Robert Pitts","Steadfast Capital Management LP","","https://www.steadfast.com/"
"0000923093","Tudor Investment Corporation","Paul Tudor Jones","Tudor Investment Corporation","","https://www.tudorfunds.com/"
"0001214717","Geode Capital Management","David Lane","Geode Capital Management, LLC","","https://www.geodecapital.com/"
"0001541617","Altimeter Capital Management","Brad Gerstner","Altimeter Capital Management, LP","","https://www.altimeter.com/"
"0001647251","The Children's Investment","Chris Hohn","TCI Fund Management Limited","","https://ciff.org/"
"0001088875","Baillie Gifford","Tim Campbell","Baillie Gifford & Co","","https://www.bailliegifford.com/"
"0000354204","Dimensional Fund Advisors","David Booth","Dimensional Fund Advisors LP","","https://www.dimensional.com/"
"0001352662","GMO","Jeremy Grantham","Grantham, Mayo, Van Otterloo & Co. LLC","","https://www.gmo.com/"
"0001549575","Dalal Street","Mohnish Pabrai","Dalal Street, LLC","","https://www.dalalstreetinvestments.com/"
"0001273087","Millennium Management","Israel Englander","Millennium Management LLC","","https://www.mlp.com/"
"0001595888","Jane Street","Robert Granieri","Jane Street Capital, LLC","","https://www.janestreet.com/"
"0001009207","DE Shaw","David Shaw","D. E. Shaw & Co., Inc.","","https://www.deshaw.com/"
"0001709323","Himalaya Capital Management","Li Lu","Himalaya Capital Management LLC","","https://www.himcap.com/"
"0001167557","AQR Capital Management","Cliff Asness","AQR Capital Management, LLC","","https://www.aqr.com/"
"0001900110","DGS Capital Management","Ashish Sharma","DGS Capital Management, LLC","","https://www.dgs.capital/"
"0001040273","Third Point","Daniel Loeb","Third Point LLC","","https://www.thirdpoint.com/"
"0001218710","Balyasny Asset Management","Dmitry Balyasny","Balyasny Asset Management L.P.","","https://www.bamfunds.com/"
"0001729829","Qube Research & Technologies","Pierre-Yves Morlat","Qube Research & Technologies Ltd","","https://www.qube-rt.com/"
"0000850529","Fisher Asset Management","Ken Fisher","Fisher Asset Management, LLC","","https://www.fisherinvestments.com/"
"0001871926","Nuveen","William Huffman","Nuveen, LLC","","https://www.nuveen.com/"
"0001167483","Tiger Global","Chase Coleman","Tiger Global Management, LLC","","https://www.tigerglobal.com/"
"0001510387","Gotham Funds","Joel Greenblatt","Gotham Asset Management, LLC","","https://www.gothamfunds.com/"
"0001274173","Janus Henderson Investors","Ali Dibadj","Janus Henderson Group PLC","","https://www.janushenderson.com/"
"0001389507","Discovery Capital Management","Robert Citrone","Discovery Capital Management, LLC","","https://discoverycapitalmanagement.com/"
"0001135730","Coatue","Philippe Laffont","Coatue Management, L.L.C.","","https://www.coatue.com/"
"0001478735","Two Sigma","John Overdeck","Two Sigma Investments, LP","","https://www.twosigma.com/"
"0000807249","GAMCO Investors","Mario Gabelli","GAMCO Asset Management Inc.","","https://gabelli.com/"
"0001665241","Schonfeld Strategic Advisors","Steven Schonfeld","Schonfeld Strategic Advisors LLC","","https://www.schonfeld.com/"
"0001393825","Hudson Bay Capital Management","Sander Gerber","Hudson Bay Capital Management LP","","https://www.hudsonbaycapital.com/"
"0001789082","Crake Asset Management","Richard Walker","Crake Asset Management LLP","","https://crakeam.com/"
"0001423442","O'Shaughnessy Asset Management","James O'Shaughnessy","O'Shaughnessy Asset Management, LLC","","https://www.osam.com/"
"0001389544","Allen Operations","Herbert Allen III","Allen Operations LLC","","https://www.allenandcompany.net/"
"0000934639","Maverick Capital","Lee Ainslie","Maverick Capital, Ltd.","","https://www.maverickcap.com/"
"0001698218","Ritholtz Wealth Management","Barry Ritholtz","Ritholtz Wealth Management","","https://www.ritholtzwealth.com/"
"0001688511","ThornTree Capital","Mark Moore","Thorntree Capital Partners, LP","","https://www.thorntreecap.com/"
"0001791786","Elliott Investment","Paul Singer","Elliott Investment Management L.P.","","https://www.elliottmgmt.com/"
"0001332784","Silver Point Capital","Edward Mule","Silver Point Capital, L.P.","","https://www.silverpointcapital.com/"
"0000844150","NatWest Group","Paul Thwaite","Natwest Group PLC","","https://www.natwestgroup.com/"
"0001421669","3G Capital","Jorge Paulo Lehman","3G Capital Partners LP","","https://www.3g-capital.com/"
"0002049221","ABC Arbitrage","Dominique Ceolin","ABC Arbitrage SA","","https://www.abc-arbitrage.com/"
"0001358706","Abrams Capital Management","David Abrams","Abrams Capital Management, L.P.","","https://www.abramscapital.com/"
"0001847566","Absoluto Partners","José Zitelmann","Absoluto Partners Gestao de Recursos Ltda","","https://www.absolutopartners.com/"
"0001582844","Acuta Capital Partners","Richard Lin","Acuta Capital Partners, LLC","","https://www.acutacapital.com/"
"0002029917","ADAPT Investment Managers","Clément Mary-Dauphin","ADAPT Investment Managers SA","","https://www.adapt-im.ch/"
"0001940272","ADAR1 Capital Management","Daniel Schneeberger","ADAR1 Capital Management, LLC","","https://adar1.com/"
"0001818044","AF Advisors","Jeff Adams","AF Advisors, Inc.","","https://af-advisors.com/"
"0001512073","Aft Forsyth","Larry Aft","Aft, Forsyth & Company, Inc.","","https://aftforsyth.com/"
"0002047606","AG2R La Mondiale","Fabrice Heyriès","AG2R La Mondiale Gestion d'actifs","","https://www.ag2rlamondiale.fr/"
"0002056566","AGP Franklin","Charles David Crouch","AGP Franklin, LLC","","https://www.aspengroveassetmanagement.com/"
"0001933952","AI-Squared","Darren Kimura","AI-Squared Management Ltd","","https://aisquared.ai/"
"0001230239","Alkeon","Panayotis Sparaggis","Alkeon Capital Management LLC","","https://www.alkeon.com/"
"0001633603","All-Stars Investment","Richard Ji","All-Stars Investment Ltd","","https://www.allstarsinvestment.com/"
"0001631014","AltaRock Partners","Mark Massey","Altarock Partners LP","","https://www.altarockpartners.com/"
"0001453072","Alyeska Investment Group","Anand Parekh","Alyeska Investment Group, L.P.","","https://alyeskagroup.com/"
"0000919192","Amalgamated Bank","Priscilla Sims Brown","Amalgamated Bank","","https://www.amalgamatedbank.com/"
"0001660773","Amansa Capital","Akash Prakash","Amansa Capital Pte. Ltd.","","https://www.amansacapital.com/"
"0000820027","Ameriprise Financial","Jim Cracchiolo","Ameriprise Financial, Inc.","","https://www.ameriprise.com/"
"0001480751","Amova","Stefanie Drews","Amova Asset Management Americas, Inc.","","https://www.amova-sec.com/"
"0002007642","Anchorage Capital","Yale Baron & Thibault Gournay","Anchorage Capital Advisors, L.P.","","https://anchoragecapital.com/"
"0001426749","Ancient Art","Quincy Lee","Ancient Art, L.P.","","https://ancient.co/"
"0001513193","Arbiter Partners","Paul Isaac","Arbiter Partners Capital Management LLC","","https://arbiterpartners.net/"
"0001835730","Ardmore Road","Chris Connor","Ardmore Road Asset Management","","https://www.ardmoreroad.com/"
"0001916757","ASR Vermogensbeheer","Patrick Klijnsmit","ASR Vermogensbeheer N.V.","","https://www.asrvermogensbeheer.nl/"
"0001832439","Atmos Capital","Bruno Levacov","Atmos Capital Gestao De Recursos Ltda","","https://www.atmoscapital.com.br/"
"0001834874","Audent Global Asset Management","Paul Feinstein","Audent Global Asset Management, LLC","","https://www.audentgam.com/"
"0001948899","Avala Global","Divya Nettimi","Avala Global LP","","https://www.avalaglobal.com/"
"0001314273","Avalon Global Asset Management","Nancy Kukacka","Avalon Global Asset Management LLC","","https://avalon-global.com/"
"0002029708","Avenir Technology","Li Lin","Avenir Tech Limited","","https://www.avenir-technology.com/"
"0001274419","Banque CIC","Daniel Baal","Credit Industriel et Commercial","","https://www.cic.fr/"
"0001387818","Barton Investment Management","Jay Barton Riley","Barton Investment Management","","https://bartonim.com/"
"0001632341","Belvedere Trading","Thomas Hutchinson","Belvedere Trading LLC","","https://www.belvederetrading.com/"
"0001133742","Berkshire Capital","Malcolm Fobes III","Berkshire Capital Holdings Inc","","http://www.berkshirefunds.com/"
"0002035232","BLKBRD Asset Management","Daniel Izzo","BLKBRD Asset Management, LP","","https://www.blkbrdlp.com/"
"0001801547","Blue Whale","Stephen Yiu","Blue Whale Capital LLP","","https://bluewhale.co.uk/"
"0002066260","Bosman Wealth Management","Mike Bosman","Bosman Wealth Management, LLC","","https://bosmanwealth.com/"
"0002018299","Boxer Capital Management","Aaron Davis","Boxer Capital Management, LLC","","https://www.boxercap.com/"
"0000727117","Builder Investment Group","Allen Builder","Builder Investment Group Inc /ADV","","https://big-inc.com/"
"0001423686","Cadian Capital Management","Eric Bannasch","Cadian Capital Management, LP","","https://www.cadiancap.com/"
"0001963355","Caitong Asset Management","Qicheng Zhang","Caitong International Asset Management Co., Ltd","","https://www.ctzg.com/"
"0001316507","Calamos Investments","John Koudounis","Calamos Advisors LLC","","https://www.calamos.com/"
"0001727492","Caligan Partners","David Johnson","Caligan Partners LP","","https://www.caliganpartners.com/"
"0001323645","Capital Fund Management","Marc Potters & Jacques Saulière","Capital Fund Management","","https://www.cfm.com/"
"0001422848","Capital Research Global Investors","Mike Gitlin","Capital Research Global Investors","","https://www.capitalgroup.com/"
"0001536261","Capricorn","Ion Yadigaroglu","Capricorn Investment Group LLC","","https://www.capricornllc.com/"
"0001619124","Cardano","Harold Naus","Cardano Risk Management B.V.","","https://www.cardano.nl/"
"0001919749","Carter Financial Group","Kevin Carter","Carter Financial Group, INC.","","https://www.carterfinancialgroup.com/"
"0002051323","Caxton Associates","Andrew Law","Caxton Associates LP","","https://www.caxton.com/"
"0001722053","CenterStar Asset Management","Michelin Sloneker","CenterStar Asset Management, LLC","","https://centerstaram.com/"
"0001445893","Chicago Trading Company","Daniel Feuser","CTC LLC","","https://www.chicagotrading.com/"
"0001389403","Chou Associates","Francis Chou","Chou Associates Management Inc.","","https://www.choufunds.com/"
"0001632813","CMT Capital Markets Trading","Scott Casto & Jan-Dirk Lüders","CMT Capital Markets Trading GmbH","","https://www.capitalmarketstrading.com/"
"0001086762","Cobalt Capital Management","Wayne Cooperman","Cobalt Capital Management, L.P.","","http://www.cobaltcapital.com/"
"0001510669","Contour Asset Management","David Meyer","Contour Asset Management LLC","","https://www.contourasset.com/"
"0002054801","Contrarius","Stephen Mildenhall","Contrarius Group Holdings Ltd","","https://www.contrarius.com/"
"0002058426","Corient IA","Kurt MacAlpine","Corient IA LLC","","https://corient.com/"
"0001276470","Corsair Capital Management","Jay Petschek","Corsair Capital Management, L.P.","","https://www.corsaircap.com/"
"0001910417","Corton","David Jarvis","Corton Capital Inc.","","https://www.cortoncapital.ca/"
"0001104329","Crosslink Capital","Seymour Kaufman","Crosslink Capital, Inc.","","https://www.crosslinkcapital.com/"
"0001510668","Crystal Rock Capital Management","Jay Freedman","Crystal Rock Capital Management","","http://www.crystalrockcap.com/"
"0001081198","Cypress Funds","Michael Wang","Cypress Funds LLC","","https://www.cypress-funds.com/"
"0001747057","D1 Capital Partners","Daniel Sundheim","D1 Capital Partners L.P.","","https://portal.d1capital.com/"
"0001388838","Dalton Investments","Jamie Rosenwald","Dalton Investments, Inc.","","https://www.daltoninvestments.com/"
"0000800177","Danske Bank","Carsten Egeriis","Danske Bank A/S","","https://danskebank.com/"
"0002011221","Darden Wealth Group","Andrea Darden","Darden Wealth Group Inc","","https://dardenwealth.com/"
"0001036325","Davis Advisors","Chris Davis","Davis Selected Advisers","","https://davisfunds.com/"
"0001269950","Deltec Asset Management","Arthur Byrnes & John Gordon","Deltec Asset Management LLC","","https://www.deltec-ny.com/"
"0001860487","Deuterium","Osman Ozsan","Deuterium Capital Management, LLC","","https://www.deuterium.us/"
"0001456670","DnB Asset Management","Torkild Varran","DnB Asset Management AS","","https://www.dnbam.com/"
"0001172779","Dock Street","Daniel Ogden","Dock Street Asset Management Inc","","https://dockstreet.com/"
"0000814375","Donald Smith & Co","Donald Smith","Donald Smith & Co., Inc.","","https://www.donaldsmithandco.com/"
"0001547007","Dorsal Capital Management","Ryan Frick","Dorsal Capital Management, LP","","https://www.linkedin.com/company/dorsal-capital-management-llc/"
"0001671657","Dorsey Asset Management","Pat Dorsey","Dorsey Asset Management, LLC","","https://dorseyasset.com/"
"0001808029","Drummond Knight Asset Management","Lindsay Taylor","Drummond Knight Asset Management Pty Ltd","","https://www.dkam.com/"
"0002054496","Eleva Capital","Eric Bendahan","Eleva Capital SAS","","https://www.elevacapital.com/"
"0001953107","Enavate Sciences","James Boylan","Enavate Sciences GP, LLC","","https://enavatesciences.com/"
"0001548882","Eos Partners","Brian Young & Steven Friedman","Eos Management, L.P.","","http://www.eospartners.com/"
"0001479465","Farley Capital","Stephen Farley","Farley Capital L.P.","","https://www.farleycap.com/"
"0002020280","Fiduciary Family Office","Kathleen Grace","Fiduciary Family Office, LLC","","https://www.fiduciaryfo.com/"
"0001666504","Fiduciary Wealth Partners","Preston McSwain","Fiduciary Wealth Partners, LLC","","https://fwpwealth.com/"
"0002040901","Financially Speaking","Phil Luccock","Financially Speaking Inc","","https://financiallyspeakinginc.com/"
"0001861705","Flight Deck","Jay Kahn","Flight Deck Capital, LP","","https://flightdeckcap.com/"
"0001859388","Franchise Capital","Oleksandr Alieksieienko","Franchise Capital Ltd","","https://franchise-capital.com/"
"0000003520","Fred Alger","Fred Alger","Fred Alger Management, LLC","","https://www.alger.com/"
"0001729254","FrontRow Advisors","Michael Reid Vogel","Front Row Advisors LLC","","https://www.frontrowadvisors.com/"
"0001740839","Gables Capital Management","Eric McKenna","Gables Capital Management Inc.","","https://www.gablescapital.com/"
"0001438848","GAM Investments","Albert Saporta","GAM Holding AG","","https://www.gam.com/"
"0001963404","Gavilan Partners","Louis Chang","Gavilan Investment Partners LLC","","https://www.gavilanpartners.com/"
"0002043130","Generali Investments (Poland)","Kazimierz Fedak","Generali Investments Towarzystwo Funduszy Inwestycyjnych","","https://www.generali-investments.pl/"
"0002025905","Generate Investment Management","Henry Tongue","Generate Investment Management Ltd","","https://www.generationim.com/"
"0001910179","GHE LLC","Robert Hunt","GHE, LLC","","https://merc-invest.com/"
"0001644465","Glenmede","Elizabeth Eldridge","Glenmede Investment Management, LP","","https://www.glenmedeim.com/"
"0001698060","Gobi Capital","Thomas Tsao","Gobi Capital LLC","","https://gobi.vc/"
"0001362255","Goodnow Investment Group","Peter Gavey","Goodnow Investment Group, LLC","","https://www.goodnow.com/"
"0001869164","Gordian Capital","Mark Voumard","Gordian Capital Singapore Private Ltd","","https://www.gordiancapital.com/"
"0001715783","Grace & Mercy","Sumi Kim","Grace And Mercy Foundation, Inc.","","https://www.graceandmercy.org/"
"0001766791","GrandView","Bruce Smith","Grandview Asset Management LLC","","https://www.grandviewassetmanagement.com/"
"0001731029","Greencape","Jonathan Koh","Greencape Capital Pty Ltd","","https://www.greencapecapital.com.au/"
"0001439805","Greenwich Wealth","Michael Freeburg","Greenwich Wealth Management LLC","","https://www.greenwichwealth.com/"
"0001842665","Halter Ferguson Financial","Scott Ferguson","Halter Ferguson Financial Inc.","","https://www.hffinancial.com/"
"0002017993","Hancock Prospecting","Garry Korte","Hancock Prospecting Pty Ltd","","https://www.hancockprospecting.com.au/"
"0001802882","Harrell Investment Partners","Brian Harrell","Harrell Investment Partners, LLC","","https://harrellpartners.com/"
"0000813917","Harris Associates","Bill Nygren","Harris Associates L P","","https://harrisassoc.com/"
"0001082621","Harvard Management","Narv Narvekar","Harvard Management Co Inc","","https://www.hmc.harvard.edu/"
"0001119032","Harvey Capital Management","Robert Harvey","Harvey Capital Management Inc","","https://harveycapital.com/"
"0002036346","Headwater Capital","Robert Kantor","Headwater Capital Co Ltd","","https://headwatercapital.com/"
"0001750423","Henry James International Management","James O'Leary","Henry James International Management Inc.","","https://www.hj-intl.com/"
"0001815344","Hestia Capital Management","Kurt Wolf","Hestia Capital Management, LLC","","https://www.hestiacapital.com/"
"0001817652","Himension","Jay Chen","Himension Capital (Singapore) Pte. Ltd.","","https://himension.com/"
"0001799544","Hoey Investments","Fran Hoey","Hoey Investments, Inc","","https://www.hoeyinvestments.com/"
