Quarter,Fund,Filing_Date
2022Q1,ARK Investment,2022-04-19
2022Q1,Adage Capital Partners,2022-05-16
2022Q1,Amitell,2022-05-13
2022Q1,Anabranch,2022-05-16
2022Q1,Analog,2022-05-13
2022Q1,Andar,2022-05-12
2022Q1,Arena,2022-05-13
2022Q1,Atreides,2022-05-16
2022Q1,Augustine,2022-04-27
2022Q1,BIT,2025-02-12
2022Q1,Baupost Group,2022-05-13
2022Q1,Blue Grotto,2022-05-13
2022Q1,Brightline,2022-05-12
2022Q1,CAS,2022-05-16
2022Q1,CastleKnight,2022-05-16
2022Q1,Caxton,2022-05-16
2022Q1,CloudAlpha,2022-05-12
2022Q1,Colrain,2022-05-11
2022Q1,Cypress Point,2022-04-29
2022Q1,Cyrus,2022-05-16
2022Q1,Donor Advised,2022-04-14
2022Q1,Duquesne,2022-05-16
2022Q1,Eagle Capital Management,2022-05-16
2022Q1,Emerald,2022-04-29
2022Q1,Emerald Mutual,2022-04-29
2022Q1,Eschler,2022-05-16
2022Q1,FengHe,2022-05-05
2022Q1,Gator,2022-05-10
2022Q1,Gendell Jeffrey,2022-05-13
2022Q1,General Equity,2022-05-16
2022Q1,Generali Poland,2025-02-05
2022Q1,Gifford Fong,2022-05-12
2022Q1,Greenoaks,2022-05-16
2022Q1,Greenstone,2022-05-13
2022Q1,Helikon,2022-04-26
2022Q1,Herald,2022-05-16
2022Q1,Hiddenite,2022-05-16
2022Q1,IMC,2022-04-19
2022Q1,JAT,2022-05-16
2022Q1,Jericho,2022-05-16
2022Q1,KPS,2022-05-16
2022Q1,Keywise,2022-05-16
2022Q1,Kohlberg,2022-05-16
2022Q1,Kopernik,2022-05-12
2022Q1,Lingotto,2022-05-03
2022Q1,Long Walk,2022-05-11
2022Q1,Madison Avenue,2022-05-16
2022Q1,Maytus,2022-05-13
2022Q1,Merk,2022-05-12
2022Q1,Metavasi,2022-05-16
2022Q1,Moerus,2022-05-16
2022Q1,Monaco,2022-05-09
2022Q1,Monarch Alternative,2022-05-16
2022Q1,NewGen,2022-04-22
2022Q1,Nokomis,2022-05-16
2022Q1,North Growth,2022-04-14
2022Q1,O'Keefe,2022-04-13
2022Q1,O'Neil,2022-05-12
2022Q1,OCO,2022-05-12
2022Q1,Octahedron,2022-05-13
2022Q1,Once,2022-05-04
2022Q1,Oxbow,2022-05-16
2022Q1,Paradigm,2022-05-16
2022Q1,Peconic,2022-05-16
2022Q1,Pennant Investors,2022-05-16
2022Q1,Plustick,2022-05-16
2022Q1,Polar Capital,2022-05-16
2022Q1,QVT,2022-05-16
2022Q1,Quantum Private,2022-05-27
2022Q1,RV,2022-05-11
2022Q1,Ratan,2022-05-16
2022Q1,Redwood,2022-05-16
2022Q1,Schusterman,2022-05-16
2022Q1,Segra,2022-11-14
2022Q1,Sharp,2022-05-16
2022Q1,Slate Path,2022-05-16
2022Q1,Sprott,2022-05-16
2022Q1,Spruce House,2022-05-16
2022Q1,Steadview,2022-05-13
2022Q1,Thrive,2022-11-18
2022Q1,Trivest,2022-05-16
2022Q1,Trybe,2022-05-16
2022Q1,ValueAct Capital,2022-05-16
2022Q1,VanEck,2022-05-10
2022Q1,Viking Global Investors,2022-05-16
2022Q1,WT,2022-04-29
2022Q1,Westwood,2022-05-11
2022Q1,Whale Rock,2022-05-16
2022Q2,ARK Investment,2022-07-11
2022Q2,Adage Capital Partners,2022-08-15
2022Q2,Amitell,2022-08-12
