"date","roc"
"2016-01-04","3.7106"
"2016-01-05","1.6461"
"2016-01-06","0.4564"
"2016-01-07","-1.9507"
"2016-01-08","-3.6584"
"2016-01-11","-4.7151"
"2016-01-12","-4.1113"
"2016-01-13","-5.0443"
"2016-01-14","-4.3816"
"2016-01-15","-6.9926"
"2016-01-19","-7.2492"
"2016-01-20","-8.9839"
"2016-01-21","-8.0886"
"2016-01-22","-6.114"
"2016-01-25","-7.7405"
"2016-01-26","-8.5258"
"2016-01-27","-8.7256"
"2016-01-28","-8.5439"
"2016-01-29","-7.4759"
"2016-02-01","-7.3829"
"2016-02-02","-8.5489"
"2016-02-03","-9.3773"
"2016-02-04","-9.1799"
"2016-02-05","-10.2537"
"2016-02-08","-12.0402"
"2016-02-09","-11.6488"
"2016-02-10","-10.5345"
"2016-02-11","-12.2207"
"2016-02-12","-10.7473"
"2016-02-16","-8.0263"
"2016-02-17","-5.3211"
"2016-02-18","-5.9349"
"2016-02-19","-6.9259"
"2016-02-22","-6.4302"
"2016-02-23","-7.5072"
"2016-02-24","-8.3146"
"2016-02-25","-6.9554"
"2016-02-26","-6.371"
"2016-02-29","-7.1568"
"2016-03-01","-5.9613"
"2016-03-02","-5.0754"
"2016-03-03","-5.2203"
"2016-03-04","-4.293"
"2016-03-07","-3.0024"
"2016-03-08","-4.5857"
"2016-03-09","-4.4268"
"2016-03-10","-3.7084"
"2016-03-11","-2.1207"
"2016-03-14","-1.7997"
"2016-03-15","-0.293"
"2016-03-16","0.4638"
"2016-03-17","-0.2248"
"2016-03-18","-1.3296"
"2016-03-21","-0.7716"
"2016-03-22","1.7552"
"2016-03-23","1.1447"
"2016-03-24","-0.1445"
"2016-03-28","-1.1124"
"2016-03-29","-0.7547"
"2016-03-30","0.6624"
"2016-03-31","-0.7078"
"2016-04-01","-0.139"
"2016-04-04","0.9093"
"2016-04-05","2.2809"
"2016-04-06","2.2509"
"2016-04-07","2.7025"
"2016-04-08","4.9805"
"2016-04-11","5.9808"
"2016-04-12","7.0445"
"2016-04-13","7.5239"
"2016-04-14","9.1143"
"2016-04-15","8.8156"
"2016-04-18","11.2847"
"2016-04-19","11.4588"
"2016-04-20","13.7575"
"2016-04-21","12.0796"
"2016-04-22","9.8236"
"2016-04-25","10.5467"
"2016-04-26","10.2066"
"2016-04-27","10.6678"
"2016-04-28","10.1859"
"2016-04-29","7.1015"
"2016-05-02","7.325"
"2016-05-03","8.1463"
"2016-05-04","7.9098"
"2016-05-05","7.1582"
"2016-05-06","8.5653"
"2016-05-09","11.4208"
"2016-05-10","12.2379"
"2016-05-11","11.2416"
"2016-05-12","13.0225"
"2016-05-13","10.5448"
"2016-05-16","9.1305"
"2016-05-17","6.6995"
"2016-05-18","6.5433"
"2016-05-19","6.4198"
"2016-05-20","5.6433"
"2016-05-23","6.4303"
"2016-05-24","8.0201"
"2016-05-25","7.364"
"2016-05-26","7.0483"
"2016-05-27","8.0327"
"2016-05-31","6.5914"
"2016-06-01","5.7667"
"2016-06-02","5.5865"
"2016-06-03","4.8301"
"2016-06-06","5.4451"
"2016-06-07","6.5361"
"2016-06-08","6.5228"
"2016-06-09","6.271"
"2016-06-10","4.1762"
"2016-06-13","3.2702"
"2016-06-14","2.9633"
"2016-06-15","2.617"
"2016-06-16","1.616"
"2016-06-17","1.0621"
"2016-06-20","1.9237"
"2016-06-21","1.9206"
"2016-06-22","2.4535"
"2016-06-23","3.7713"
"2016-06-24","1.1479"
"2016-06-27","-2.1085"
"2016-06-28","-1.7672"
"2016-06-29","0.1701"
"2016-06-30","1.22"
"2016-07-01","1.6941"
"2016-07-05","1.7678"
"2016-07-06","1.5611"
"2016-07-07","2.6461"
"2016-07-08","3.6062"
"2016-07-11","4.3029"
"2016-07-12","4.5156"
"2016-07-13","3.4963"
"2016-07-14","3.8833"
"2016-07-15","3.9785"
"2016-07-18","3.7025"
"2016-07-19","3.0221"
"2016-07-20","3.2106"
"2016-07-21","3.4036"
"2016-07-22","3.9079"
"2016-07-25","3.9804"
"2016-07-26","3.6503"
"2016-07-27","3.5395"
"2016-07-28","4.079"
"2016-07-29","5.2224"
"2016-08-01","4.5682"
"2016-08-02","4.6438"
"2016-08-03","5.2464"
"2016-08-04","5.203"
"2016-08-05","6.0858"
"2016-08-08","5.9354"
"2016-08-09","5.0003"
"2016-08-10","5.1051"
"2016-08-11","5.8313"
"2016-08-12","6.3571"
"2016-08-15","6.2131"
"2016-08-16","6.2869"
"2016-08-17","6.3561"
"2016-08-18","7.2688"
"2016-08-19","6.2584"
"2016-08-22","6.3502"
"2016-08-23","5.6601"
"2016-08-24","4.3387"
"2016-08-25","3.9951"
"2016-08-26","3.6034"
"2016-08-29","3.9256"
"2016-08-30","3.8593"
"2016-08-31","3.2516"
"2016-09-01","3.385"
"2016-09-02","3.3632"
"2016-09-06","3.2241"
"2016-09-07","3.1339"
"2016-09-08","3.1645"
"2016-09-09","2.094"
"2016-09-12","2.9163"
"2016-09-13","2.7545"
"2016-09-14","2.515"
"2016-09-15","3.4103"
"2016-09-16","3.2544"
"2016-09-19","2.5767"
"2016-09-20","2.5994"
"2016-09-21","3.1589"
"2016-09-22","3.2443"
"2016-09-23","5.1783"
"2016-09-26","7.2735"
"2016-09-27","6.1427"
"2016-09-28","4.8293"
"2016-09-29","3.1986"
"2016-09-30","3.03"
"2016-10-03","3.4645"
"2016-10-04","2.9241"
"2016-10-05","2.9071"
"2016-10-06","1.6013"
"2016-10-07","0.7979"
"2016-10-10","0.8032"
"2016-10-11","-0.4607"
"2016-10-12","-1.1427"
"2016-10-13","-1.5953"
"2016-10-14","-1.2086"
"2016-10-17","-1.5601"
"2016-10-18","-1.4386"
"2016-10-19","-1.0351"
"2016-10-20","-1.4017"
"2016-10-21","-1.3637"
"2016-10-24","-0.7681"
"2016-10-25","-0.967"
"2016-10-26","-1.3146"
"2016-10-27","-1.5243"
"2016-10-28","-1.9693"
"2016-10-31","-1.368"
"2016-11-01","-2.1558"
"2016-11-02","-2.6829"
"2016-11-03","-3.8816"
"2016-11-04","-4.2014"
"2016-11-07","-3.0317"
"2016-11-08","-1.8384"
"2016-11-09","-1.4827"
"2016-11-10","-0.7189"
"2016-11-11","-1.3734"
"2016-11-14","-0.7669"
"2016-11-15","-0.0856"
"2016-11-16","-0.3872"
"2016-11-17","0.1435"
"2016-11-18","0.1374"
"2016-11-21","0.2829"
"2016-11-22","1.0671"
"2016-11-23","1.2402"
"2016-11-25","1.7513"
"2016-11-28","1.2056"
"2016-11-29","1.312"
"2016-11-30","1.6743"
"2016-12-01","1.2747"
"2016-12-02","0.6489"
"2016-12-05","1.0381"
"2016-12-06","1.153"
"2016-12-07","2.2956"
"2016-12-08","4.9024"
"2016-12-09","5.1049"
"2016-12-12","5.9434"
"2016-12-13","6.676"
"2016-12-14","5.5487"
"2016-12-15","6.3912"
"2016-12-16","5.3748"
"2016-12-19","5.4943"
"2016-12-20","5.2008"
"2016-12-21","4.0788"
"2016-12-22","4.2065"
"2016-12-23","5.1532"
"2016-12-27","5.2925"
"2016-12-28","4.1795"
"2016-12-29","4.2581"
"2016-12-30","3.4388"
"2017-01-03","4.3425"
"2017-01-04","5.2881"
"2017-01-05","4.8479"
"2017-01-06","5.305"
"2017-01-09","5.3321"
"2017-01-10","4.7885"
"2017-01-11","5.9275"
"2017-01-12","5.8031"
"2017-01-13","6.7936"
"2017-01-17","5.9282"
"2017-01-18","6.5069"
"2017-01-19","5.7743"
"2017-01-20","5.8364"
"2017-01-23","5.7223"
"2017-01-24","6.4183"
"2017-01-25","6.6637"
"2017-01-26","6.9846"
"2017-01-27","7.2112"
"2017-01-30","6.4428"
"2017-01-31","6.7802"
"2017-02-01","7.06"
"2017-02-02","7.7478"
"2017-02-03","9.0911"
"2017-02-06","9.4537"
"2017-02-07","9.6519"
"2017-02-08","8.1983"
"2017-02-09","7.7239"
"2017-02-10","7.4448"
"2017-02-13","7.2934"
"2017-02-14","7.8851"
"2017-02-15","8.2931"
"2017-02-16","7.7094"
"2017-02-17","7.756"
"2017-02-21","8.037"
"2017-02-22","8.016"
"2017-02-23","7.5182"
"2017-02-24","7.2364"
"2017-02-27","7.4954"
"2017-02-28","6.8289"
"2017-03-01","8.4778"
"2017-03-02","8.0798"
"2017-03-03","7.8867"
"2017-03-06","8.0961"
"2017-03-07","7.94"
"2017-03-08","7.2086"
"2017-03-09","6.8875"
"2017-03-10","6.2104"
"2017-03-13","5.5991"
"2017-03-14","4.7051"
"2017-03-15","5.4067"
"2017-03-16","4.7841"
"2017-03-17","4.7904"
"2017-03-20","4.3996"
"2017-03-21","4.3105"
"2017-03-22","3.7406"
"2017-03-23","3.5531"
"2017-03-24","3.5207"
"2017-03-27","3.4184"
"2017-03-28","4.0834"
"2017-03-29","3.9882"
"2017-03-30","4.8604"
"2017-03-31","5.1777"
"2017-04-03","5.0932"
"2017-04-04","4.544"
"2017-04-05","4.0902"
"2017-04-06","4.0459"
"2017-04-07","3.6689"
"2017-04-10","3.8797"
"2017-04-11","3.4798"
"2017-04-12","3.379"
"2017-04-13","3.1361"
"2017-04-17","3.0655"
"2017-04-18","3.3307"
"2017-04-19","3.2556"
"2017-04-20","3.9288"
"2017-04-21","3.5308"
"2017-04-24","4.5575"
"2017-04-25","4.8919"
"2017-04-26","4.1635"
"2017-04-27","3.9939"
"2017-04-28","4.0185"
"2017-05-01","4.968"
"2017-05-02","5.0774"
"2017-05-03","4.671"
"2017-05-04","4.8001"
"2017-05-05","4.4737"
"2017-05-08","4.652"
"2017-05-09","4.5612"
"2017-05-10","4.6511"
"2017-05-11","3.8058"
"2017-05-12","3.3405"
"2017-05-15","3.1953"
"2017-05-16","2.9747"
"2017-05-17","1.1657"
"2017-05-18","0.8839"
"2017-05-19","1.4983"
"2017-05-22","1.3207"
"2017-05-23","1.5734"
"2017-05-24","1.745"
"2017-05-25","2.2371"
"2017-05-26","2.0105"
"2017-05-30","2.1158"
"2017-05-31","0.7641"
"2017-06-01","1.7219"
"2017-06-02","2.356"
"2017-06-05","2.6949"
"2017-06-06","2.6394"
"2017-06-07","2.7878"
"2017-06-08","3.0204"
"2017-06-09","2.5369"
"2017-06-12","2.2794"
"2017-06-13","3.1549"
"2017-06-14","2.3362"
"2017-06-15","1.9922"
"2017-06-16","2.1165"
"2017-06-19","3.1557"
"2017-06-20","3.5947"
"2017-06-21","3.8479"
"2017-06-22","3.7043"
"2017-06-23","3.8825"
"2017-06-26","4.5155"
"2017-06-27","3.0883"
"2017-06-28","3.3084"
"2017-06-29","2.3938"
"2017-06-30","2.5652"
"2017-07-03","3.1945"
"2017-07-05","3.098"
"2017-07-06","2.2937"
"2017-07-07","2.6972"
"2017-07-10","2.9879"
"2017-07-11","2.7268"
"2017-07-12","3.9697"
"2017-07-13","4.2646"
"2017-07-14","5.1936"
"2017-07-17","4.95"
"2017-07-18","4.9341"
"2017-07-19","5.4777"
"2017-07-20","5.1094"
"2017-07-21","5.1049"
"2017-07-24","4.363"
"2017-07-25","3.7844"
"2017-07-26","3.6396"
"2017-07-27","3.5428"
"2017-07-28","3.5192"
"2017-07-31","3.4537"
"2017-08-01","3.5598"
"2017-08-02","3.685"
"2017-08-03","3.5613"
"2017-08-04","3.3519"
"2017-08-07","3.3892"
"2017-08-08","3.3854"
"2017-08-09","3.0227"
"2017-08-10","2.3456"
"2017-08-11","2.1741"
"2017-08-14","2.5951"
"2017-08-15","2.6778"
"2017-08-16","4.1186"
"2017-08-17","3.2157"
"2017-08-18","2.0205"
"2017-08-21","1.3759"
"2017-08-22","2.0575"
"2017-08-23","1.7331"
"2017-08-24","1.1203"
"2017-08-25","1.3102"
"2017-08-28","1.2989"
"2017-08-29","1.239"
"2017-08-30","1.1766"
"2017-08-31","1.3272"
"2017-09-01","1.6105"
"2017-09-05","1.1255"
"2017-09-06","1.3691"
"2017-09-07","1.2663"
"2017-09-08","1.3171"
"2017-09-11","2.3822"
"2017-09-12","2.2955"
"2017-09-13","2.399"
"2017-09-14","2.7355"
"2017-09-15","2.7438"
"2017-09-18","2.2173"
"2017-09-19","2.6539"
"2017-09-20","2.7739"
"2017-09-21","2.6817"
"2017-09-22","2.6032"
"2017-09-25","2.1677"
"2017-09-26","2.971"
"2017-09-27","2.7377"
"2017-09-28","3.5019"
"2017-09-29","3.6621"
"2017-10-02","3.8651"
"2017-10-03","4.1926"
"2017-10-04","5.013"
"2017-10-05","5.1852"
"2017-10-06","4.951"
"2017-10-09","5.0593"
"2017-10-10","4.3937"
"2017-10-11","4.3167"
"2017-10-12","3.8364"
"2017-10-13","3.8126"
"2017-10-16","4.0174"
"2017-10-17","3.5095"
"2017-10-18","3.5331"
