"Fund","CUSIP","Ticker","Company","Shares","Value","Avg_Price","Date","Filing_Date"
"Situational Awareness","778920306","SHAZ","SharonAI Holdings Inc.","8070950","483.13M","59.86","2026-08-27","2026-08-28"
"QVT","M0854Q105","ALLT","Allot Ltd.","5734812","42.72M","7.45","2026-08-24","2026-08-26"
"Spruce House","G2143T103","CMPR","Cimpress plc","1022633","92.21M","90.17","2026-08-18","2026-08-20"
"Redwood","67623C307","OPI","OFFICE PROPERTIES INCOME TRUST","3961992","75.95M","19.17","2026-08-18","2026-08-19"
"Redwood","67623C109","OPI","OFFICE PROPERTIES INCOME TRUST","3961992","75.52M","19.06","2026-08-17","2026-08-19"
"QVT","Y64177101","ECO","Okeanis Eco Tankers Corp.","1347038","86.75M","64.4","2026-08-13","2026-08-17"
"Kopernik","20602D101","CNXC","Concentrix Corp","3241584","68.04M","20.99","2026-06-30","2026-08-14"
"Sprott","44955L106","IAUX","i-80 Gold Corp.","37776350","54.4M","1.44","2026-06-30","2026-08-14"
"Lingotto","G9460G101","VAL","Valaris Limited","2411493","180.04M","74.66","2026-06-30","2026-08-10"
"Lingotto","91822M502","VEON","VEON Ltd.","131628075","6.81B","51.7","2026-06-30","2026-08-10"
